# num of genes	num of total genes	Log of odds ratio	P-value	Adjusted p-value	GO term ID	GO term name	GO type
11	11	3.3218233202	-	9.65e-12	GO:0060968	regulation of gene silencing	BP
4	4	3.3218233202	-	9.96e-05	GO:0090400	stress-induced premature senescence	BP
4	4	3.3218233202	-	9.96e-05	GO:0042345	regulation of NF-kappaB import into nucleus	BP
4	4	3.3218233202	-	9.96e-05	GO:1903377	negative regulation of oxidative stress-induced neuron intrinsic apoptotic signaling pathway	BP
4	4	3.3218233202	-	9.96e-05	GO:0051098	regulation of binding	BP
3	3	3.3218233202	-	9.98e-04	GO:0002553	histamine secretion by mast cell	BP
3	3	3.3218233202	-	9.98e-04	GO:1903202	negative regulation of oxidative stress-induced cell death	BP
3	3	3.3218233202	-	9.98e-04	GO:1905426	positive regulation of Wnt-mediated midbrain dopaminergic neuron differentiation	BP
3	3	3.3218233202	-	9.98e-04	GO:1902803	regulation of synaptic vesicle transport	BP
3	3	3.3218233202	-	9.98e-04	GO:1903542	negative regulation of exosomal secretion	BP
3	3	3.3218233202	-	9.98e-04	GO:0097107	postsynaptic density assembly	BP
3	3	3.3218233202	-	9.98e-04	GO:0045069	regulation of viral genome replication	BP
3	3	3.3218233202	-	9.98e-04	GO:0070141	response to UV-A	BP
3	3	3.3218233202	-	9.98e-04	GO:1903551	regulation of extracellular exosome assembly	BP
3	3	3.3218233202	-	9.98e-04	GO:0002902	regulation of B cell apoptotic process	BP
3	3	3.3218233202	-	9.98e-04	GO:0000189	MAPK import into nucleus	BP
3	3	3.3218233202	-	9.98e-04	GO:0007176	regulation of epidermal growth factor-activated receptor activity	BP
3	3	3.3218233202	-	9.98e-04	GO:0061198	fungiform papilla formation	BP
3	3	3.3218233202	-	9.98e-04	GO:0090258	negative regulation of mitochondrial fission	BP
3	3	3.3218233202	-	9.98e-04	GO:2000630	positive regulation of miRNA metabolic process	BP
3	3	3.3218233202	-	9.98e-04	GO:0030801	positive regulation of cyclic nucleotide metabolic process	BP
3	3	3.3218233202	-	9.98e-04	GO:0090063	positive regulation of microtubule nucleation	BP
3	3	3.3218233202	-	9.98e-04	GO:0018076	N-terminal peptidyl-lysine acetylation	BP
3	3	3.3218233202	-	9.98e-04	GO:0031281	positive regulation of cyclase activity	BP
3	3	3.3218233202	-	9.98e-04	GO:0070370	cellular heat acclimation	BP
2	2	3.3218233202	-	9.99e-03	GO:1900186	negative regulation of clathrin-dependent endocytosis	BP
2	2	3.3218233202	-	9.99e-03	GO:0001869	negative regulation of complement activation, lectin pathway	BP
2	2	3.3218233202	-	9.99e-03	GO:1905839	negative regulation of telomeric D-loop disassembly	BP
2	2	3.3218233202	-	9.99e-03	GO:1905663	positive regulation of telomerase RNA reverse transcriptase activity	BP
2	2	3.3218233202	-	9.99e-03	GO:0002032	desensitization of G-protein coupled receptor protein signaling pathway by arrestin	BP
2	2	3.3218233202	-	9.99e-03	GO:0032071	regulation of endodeoxyribonuclease activity	BP
2	2	3.3218233202	-	9.99e-03	GO:1902530	positive regulation of protein linear polyubiquitination	BP
2	2	3.3218233202	-	9.99e-03	GO:0036353	histone H2A-K119 monoubiquitination	BP
2	2	3.3218233202	-	9.99e-03	GO:0051563	smooth endoplasmic reticulum calcium ion homeostasis	BP
2	2	3.3218233202	-	9.99e-03	GO:1901666	positive regulation of NAD+ ADP-ribosyltransferase activity	BP
2	2	3.3218233202	-	9.99e-03	GO:0046166	glyceraldehyde-3-phosphate biosynthetic process	BP
2	2	3.3218233202	-	9.99e-03	GO:0010767	regulation of transcription from RNA polymerase II promoter in response to UV-induced DNA damage	BP
2	2	3.3218233202	-	9.99e-03	GO:0002283	neutrophil activation involved in immune response	BP
2	2	3.3218233202	-	9.99e-03	GO:2000615	regulation of histone H3-K9 acetylation	BP
2	2	3.3218233202	-	9.99e-03	GO:0032916	positive regulation of transforming growth factor beta3 production	BP
2	2	3.3218233202	-	9.99e-03	GO:1905907	negative regulation of amyloid fibril formation	BP
2	2	3.3218233202	-	9.99e-03	GO:0071174	mitotic spindle checkpoint	BP
2	2	3.3218233202	-	9.99e-03	GO:1905366	negative regulation of intralumenal vesicle formation	BP
2	2	3.3218233202	-	9.99e-03	GO:0090042	tubulin deacetylation	BP
2	2	3.3218233202	-	9.99e-03	GO:0019049	evasion or tolerance of host defenses by virus	BP
2	2	3.3218233202	-	9.99e-03	GO:0002506	polysaccharide assembly with MHC class II protein complex	BP
2	2	3.3218233202	-	9.99e-03	GO:1903894	regulation of IRE1-mediated unfolded protein response	BP
2	2	3.3218233202	-	9.99e-03	GO:0048145	regulation of fibroblast proliferation	BP
2	2	3.3218233202	-	9.99e-03	GO:1901558	response to metformin	BP
