# num of genes	num of total genes	Log of odds ratio	P-value	Adjusted p-value	GO term ID	GO term name	GO type
2	2	8.10527997456	-	1.29e-05	GO:0002506	polysaccharide assembly with MHC class II protein complex	BP
1	1	8.10527997456	-	3.63e-03	GO:0002495	antigen processing and presentation of peptide antigen via MHC class II	BP
1	1	8.10527997456	-	3.63e-03	GO:0090220	chromosome localization to nuclear envelope involved in homologous chromosome segregation	BP
1	1	8.10527997456	-	3.63e-03	GO:1904404	response to formaldehyde	BP
1	1	8.10527997456	-	3.63e-03	GO:0046327	glycerol biosynthetic process from pyruvate	BP
1	1	8.10527997456	-	3.63e-03	GO:0071301	cellular response to vitamin B1	BP
1	1	8.10527997456	-	3.63e-03	GO:0006117	acetaldehyde metabolic process	BP
1	1	8.10527997456	-	3.63e-03	GO:0034397	telomere localization	BP
1	1	8.10527997456	-	3.63e-03	GO:0002504	antigen processing and presentation of peptide or polysaccharide antigen via MHC class II	BP
1	1	8.10527997456	-	3.63e-03	GO:0038002	endocrine signaling	BP
1	1	8.10527997456	-	3.63e-03	GO:0042991	transcription factor import into nucleus	BP
1	1	8.10527997456	-	3.63e-03	GO:0032928	regulation of superoxide anion generation	BP
1	1	8.10527997456	-	3.63e-03	GO:1901340	negative regulation of store-operated calcium channel activity	BP
1	1	8.10527997456	-	3.63e-03	GO:0043969	histone H2B acetylation	BP
1	1	8.10527997456	-	3.63e-03	GO:0038133	ERBB2-ERBB3 signaling pathway	BP
1	1	8.10527997456	-	3.63e-03	GO:2000639	negative regulation of SREBP signaling pathway	BP
1	1	8.10527997456	-	3.63e-03	GO:1990654	sebum secreting cell proliferation	BP
1	1	8.10527997456	-	3.63e-03	GO:0014734	skeletal muscle hypertrophy	BP
1	1	8.10527997456	-	3.63e-03	GO:1904021	negative regulation of G-protein coupled receptor internalization	BP
1	1	8.10527997456	-	3.63e-03	GO:0090237	regulation of arachidonic acid secretion	BP
1	1	8.10527997456	-	3.63e-03	GO:0061733	peptide-lysine-N-acetyltransferase activity	MF
1	1	8.10527997456	-	3.63e-03	GO:0016849	phosphorus-oxygen lyase activity	MF
1	1	8.10527997456	-	3.63e-03	GO:0004343	glucosamine 6-phosphate N-acetyltransferase activity	MF
6	11	7.23081085665	-	2.86e-11	GO:0019864	IgG binding	MF
2	4	7.10527997456	-	7.72e-05	GO:0018393	internal peptidyl-lysine acetylation	BP
2	4	7.10527997456	-	7.72e-05	GO:0006990	positive regulation of transcription from RNA polymerase II promoter involved in unfolded protein response	BP
1	2	7.10527997456	-	3.63e-03	GO:0032823	regulation of natural killer cell differentiation	BP
1	2	7.10527997456	-	3.63e-03	GO:0051136	regulation of NK T cell differentiation	BP
1	2	7.10527997456	-	3.63e-03	GO:0033082	regulation of extrathymic T cell differentiation	BP
1	2	7.10527997456	-	7.25e-03	GO:2000331	regulation of terminal button organization	BP
1	2	7.10527997456	-	7.25e-03	GO:0097252	oligodendrocyte apoptotic process	BP
1	2	7.10527997456	-	7.25e-03	GO:0001869	negative regulation of complement activation, lectin pathway	BP
1	2	7.10527997456	-	7.25e-03	GO:1900186	negative regulation of clathrin-dependent endocytosis	BP
1	2	7.10527997456	-	7.25e-03	GO:0014040	positive regulation of Schwann cell differentiation	BP
1	2	7.10527997456	-	7.25e-03	GO:0002283	neutrophil activation involved in immune response	BP
1	2	7.10527997456	-	7.25e-03	GO:0036369	transcription factor catabolic process	BP
1	2	7.10527997456	-	7.25e-03	GO:0036496	regulation of translational initiation by eIF2 alpha dephosphorylation	BP
1	2	7.10527997456	-	7.25e-03	GO:0045401	positive regulation of interleukin-3 biosynthetic process	BP
1	2	7.10527997456	-	7.25e-03	GO:0010868	negative regulation of triglyceride biosynthetic process	BP
1	2	7.10527997456	-	7.25e-03	GO:0043313	regulation of neutrophil degranulation	BP
1	2	7.10527997456	-	7.25e-03	GO:0061402	positive regulation of transcription from RNA polymerase II promoter in response to acidic pH	BP
1	2	7.10527997456	-	7.25e-03	GO:0018205	peptidyl-lysine modification	BP
1	2	7.10527997456	-	7.25e-03	GO:0035022	positive regulation of Rac protein signal transduction	BP
1	2	7.10527997456	-	7.25e-03	GO:0043366	beta selection	BP
1	2	7.10527997456	-	7.25e-03	GO:1904379	protein localization to cytosolic proteasome complex involved in ERAD pathway	BP
1	2	7.10527997456	-	7.25e-03	GO:0006041	glucosamine metabolic process	BP
1	2	7.10527997456	-	7.25e-03	GO:0021897	forebrain astrocyte development	BP
1	2	7.10527997456	-	7.25e-03	GO:0047057	vitamin-K-epoxide reductase (warfarin-sensitive) activity	MF
1	2	7.10527997456	-	7.25e-03	GO:0019002	GMP binding	MF
1	2	7.10527997456	-	7.25e-03	GO:0034212	peptide N-acetyltransferase activity	MF
1	2	7.10527997456	-	7.25e-03	GO:0061809	NAD+ nucleotidase, cyclic ADP-ribose generating	MF
1	2	7.10527997456	-	7.25e-03	GO:0050135	NAD(P)+ nucleosidase activity	MF
1	2	7.10527997456	-	7.25e-03	GO:0004613	phosphoenolpyruvate carboxykinase (GTP) activity	MF
3	7	6.88288755322	-	1.56e-06	GO:1903071	positive regulation of ER-associated ubiquitin-dependent protein catabolic process	BP
1	3	6.52031747384	-	7.25e-03	GO:0002554	serotonin secretion by platelet	BP
1	3	6.52031747384	-	1.09e-02	GO:0071494	cellular response to UV-C	BP
1	3	6.52031747384	-	1.09e-02	GO:0071226	cellular response to molecule of fungal origin	BP
