#Id Score P-value
716 1.000000 0.0
715 0.958107 0.0
2214 0.834212 0.0
713 0.833572 0.0
2209 0.814812 0.0
712 0.805110 0.0
2212 0.780154 0.0
931 0.759588 0.0
2213 0.743577 0.0
9103 0.743577 0.0
714 0.738263 0.0
2215 0.711362 0.0
3500 0.701254 0.0002209
5105 0.390361 0.0007287
710 0.252184 0.0011676
283600 0.210612 0.0016215
952 0.198037 0.0036929
60401 0.196093 0.0036929
3122 0.191109 0.0036929
9235 0.160481 0.0057338
64841 0.156690 0.0109722
4653 0.148970 0.0360767
54413 0.144432 0.0360767
6850 0.144406 0.0360767
7597 0.143600 0.0360767
29979 0.142772 0.0360767
6449 0.141643 0.0360767
10114 0.141106 0.0360767
7917 0.141044 0.0360767
867 0.140502 0.0360767
5501 0.140270 0.0360767
3316 0.139585 0.125147
3937 0.139407 0.125147
29978 0.138478 0.125147
9063 0.138349 0.125147
5499 0.138288 0.125147
6464 0.137103 0.125147
55016 0.136587 0.125147
5970 0.136290 0.125147
3845 0.134745 0.125147
79001 0.126092 0.3282117
639 0.125224 0.3282117
147872 0.120918 0.3282117
3123 0.120470 0.3282117
10488 0.118903 0.5970011
55294 0.116895 0.5970011
4193 0.115076 0.5970011
2033 0.113916 0.5970011
916 0.112709 0.5970011
7157 0.110861 0.5970011
7329 0.110340 0.5970011
3958 0.109610 0.8351207
28396 0.109428 0.8351207
2130 0.108375 0.8351207
5335 0.107560 0.8351207
919 0.107201 0.8351207
1956 0.106318 0.8351207
11161 0.106185 0.8351207
7316 0.105777 0.8351207
6233 0.105700 0.8351207
672 0.105513 0.8351207
2207 0.105084 0.8351207
92086 0.104910 0.8351207
3543 0.104910 0.8351207
1915 0.104326 0.8351207
207 0.103992 0.8351207
1457 0.103757 0.8351207
367 0.103608 0.8351207
2885 0.103014 0.8351207
