#Id Score P-value
2908 1.000000 0.0
225689 0.868575 0.0
3290 0.854863 0.0
26137 0.698449 0.0
2063 0.480644 0.0005694
4488 0.477087 0.0005694
26130 0.461438 0.0005694
6857 0.442679 0.0007121
85441 0.434106 0.0007753
10002 0.431528 0.0007753
8031 0.411339 0.000847
79842 0.402466 0.0010631
6257 0.397716 0.0012047
4306 0.394622 0.0012047
190 0.377692 0.0017146
113179 0.374189 0.0017146
23764 0.367024 0.002016
5922 0.362901 0.002016
84986 0.362082 0.002016
84838 0.360483 0.002016
7041 0.346755 0.0027396
221895 0.338681 0.0028764
84885 0.337344 0.0028764
2782 0.321230 0.0033889
7026 0.312742 0.0038299
2784 0.310088 0.0038299
115950 0.309500 0.0043429
10891 0.309416 0.0043429
80318 0.309044 0.0043429
9214 0.308556 0.0043429
81857 0.307846 0.0043429
29893 0.302473 0.0043429
8648 0.298626 0.0045663
171023 0.298459 0.0045663
247 0.297645 0.0045663
2180 0.291866 0.0045663
1051 0.291619 0.0045663
3492 0.288795 0.0048587
10062 0.284534 0.0048587
7818 0.284465 0.0048587
4915 0.282625 0.0048587
2783 0.281995 0.0048587
8204 0.278446 0.0055803
79874 0.277420 0.0055803
4135 0.275363 0.0055803
79184 0.275058 0.0055803
8030 0.274745 0.0055803
117154 0.269934 0.0059327
22821 0.269300 0.0059327
221504 0.268130 0.0059327
23054 0.265947 0.0059327
9612 0.265587 0.0059327
4824 0.265205 0.0059327
113201 0.265058 0.0059327
79812 0.265058 0.0059327
51574 0.263125 0.0059327
9282 0.260216 0.0059327
10499 0.256706 0.0062971
50805 0.256491 0.0062971
4929 0.255925 0.0062971
8202 0.255675 0.0062971
5914 0.255144 0.0062971
9856 0.244862 0.0066606
51102 0.244842 0.0066606
9611 0.244719 0.0066606
2018 0.244190 0.0066606
7975 0.243393 0.0066606
9219 0.241574 0.0066606
284358 0.241296 0.0066606
2495 0.239526 0.0073137
51082 0.238064 0.0073137
780851 0.236587 0.0073137
55262 0.236228 0.0073137
6840 0.235714 0.0073137
56751 0.234905 0.0073137
79027 0.233777 0.0073137
7101 0.232871 0.0073137
3164 0.232544 0.0073137
9935 0.231213 0.0073137
26287 0.229786 0.0079011
10048 0.229049 0.0079011
3932 0.228921 0.0079011
80032 0.228495 0.0079011
23607 0.228214 0.0079011
10092 0.227833 0.0079011
10957 0.227307 0.0079011
9326 0.225782 0.0079011
6449 0.223409 0.0079011
11319 0.222421 0.0079011
27249 0.222089 0.0079011
10155 0.221218 0.0079011
7150 0.220353 0.0079011
5371 0.219961 0.0092588
3163 0.219709 0.0092588
857 0.219323 0.0092588
2587 0.218360 0.0092588
1994 0.218117 0.0092588
3065 0.217833 0.0092588
6714 0.217482 0.0092588
10335 0.217222 0.0092588
202658 0.217222 0.0092588
5431 0.217045 0.0092588
367 0.216335 0.0092588
5629 0.215669 0.0092588
79369 0.213373 0.0092588
30061 0.213373 0.0092588
3196 0.213284 0.0092588
55809 0.212981 0.0092588
51201 0.211967 0.0092588
3171 0.211375 0.0092588
7337 0.211343 0.0092588
11116 0.211189 0.0092588
7158 0.211161 0.0092588
9603 0.211034 0.0092588
1616 0.210565 0.0092588
10432 0.210178 0.0092588
100526737 0.210178 0.0092588
9723 0.209893 0.0110934
10919 0.209225 0.0110934
6418 0.208488 0.0110934
6597 0.207794 0.0110934
60468 0.207747 0.0110934
55644 0.206620 0.0110934
283248 0.206559 0.0110934
6039 0.206559 0.0110934
55629 0.206523 0.0110934
137872 0.206355 0.0110934
6045 0.206204 0.0110934
9325 0.205083 0.0110934
2810 0.205052 0.0110934
6993 0.203930 0.0110934
10291 0.203641 0.0110934
259249 0.203015 0.0110934
5901 0.202976 0.0110934
54929 0.202841 0.0110934
7332 0.202499 0.0110934
7025 0.202071 0.0110934
10273 0.201952 0.0110934
10236 0.201871 0.0110934
6258 0.201299 0.0110934
7329 0.201288 0.0110934
339416 0.200559 0.0110934
5915 0.199864 0.0166253
3170 0.199517 0.0166253
2649 0.199468 0.0166253
207 0.199439 0.0166253
342945 0.198950 0.0166253
7251 0.198745 0.0166253
10782 0.198625 0.0166253
81606 0.198549 0.0166253
5591 0.198306 0.0166253
10524 0.198074 0.0166253
3320 0.197668 0.0166253
389058 0.197306 0.0166253
338322 0.196572 0.0166253
1956 0.195911 0.0166253
2168 0.195470 0.0166253
1996 0.195218 0.0166253
7533 0.194817 0.0166253
7295 0.194644 0.0166253
10399 0.194627 0.0166253
130557 0.194240 0.0166253
554 0.194229 0.0166253
3329 0.193984 0.0166253
57127 0.193587 0.0166253
775 0.193549 0.0166253
54331 0.192997 0.0166253
55423 0.192051 0.0166253
3178 0.191713 0.0166253
8431 0.190529 0.0166253
3664 0.190335 0.0166253
55154 0.189951 0.0190124
153443 0.189382 0.0190124
3225 0.189106 0.0190124
3206 0.188602 0.0190124
29982 0.188600 0.0190124
59345 0.187937 0.0190124
783 0.187644 0.0190124
7181 0.187472 0.0190124
3192 0.186746 0.0190124
201501 0.186638 0.0190124
627 0.186491 0.0190124
55806 0.185988 0.0190124
64699 0.185383 0.0190124
5469 0.184248 0.0190124
932 0.183610 0.0190124
7752 0.183554 0.0190124
7068 0.182324 0.0190124
2494 0.181362 0.0190124
8693 0.180401 0.0190124
100528030 0.180401 0.0190124
159296 0.179413 0.0203902
9970 0.179382 0.0203902
7182 0.179373 0.0203902
63946 0.179143 0.0203902
5130 0.178706 0.0203902
6256 0.178649 0.0203902
9847 0.178470 0.0203902
5916 0.178362 0.0203902
6955 0.178049 0.0203902
7141 0.177835 0.0203902
64324 0.177777 0.0203902
3169 0.177013 0.0203902
5017 0.176820 0.0203902
345757 0.176687 0.0203902
784 0.176283 0.0203902
84057 0.176273 0.0203902
4542 0.175697 0.0203902
4487 0.175430 0.0203902
4664 0.174353 0.0203902
124152 0.173790 0.0203902
687 0.173565 0.0203902
221037 0.172991 0.0203902
51084 0.172771 0.0203902
5881 0.172443 0.0203902
400569 0.172244 0.0203902
4097 0.172242 0.0203902
94235 0.171935 0.0203902
197196 0.171593 0.0203902
6662 0.171281 0.0203902
430 0.170869 0.0203902
8645 0.170443 0.0203902
7089 0.170380 0.0203902
3172 0.169995 0.0243957
9441 0.169797 0.0243957
6957 0.169471 0.0243957
2516 0.169295 0.0243957
10011 0.168904 0.0243957
8437 0.168675 0.0243957
7556 0.168643 0.0243957
2078 0.167888 0.0243957
10681 0.167791 0.0243957
6940 0.167759 0.0243957
7625 0.167759 0.0243957
9862 0.167563 0.0243957
5465 0.167314 0.0243957
5083 0.167278 0.0243957
55588 0.166995 0.0243957
2785 0.166817 0.0243957
51205 0.166740 0.0243957
3174 0.166441 0.0243957
84142 0.166336 0.0243957
10025 0.166332 0.0243957
147040 0.165987 0.0243957
84159 0.165987 0.0243957
219541 0.165876 0.0243957
143384 0.165832 0.0243957
5458 0.165832 0.0243957
8856 0.165731 0.0243957
2767 0.164163 0.0243957
23172 0.164053 0.0243957
54913 0.164011 0.0243957
51174 0.163590 0.0243957
5740 0.163545 0.0243957
9968 0.163347 0.0243957
2707 0.163035 0.0243957
9925 0.162904 0.0243957
5467 0.162866 0.0243957
6096 0.162855 0.0243957
93649 0.162548 0.0243957
10001 0.162383 0.0243957
2792 0.162045 0.0243957
9969 0.161885 0.0243957
6095 0.161677 0.0243957
7080 0.161493 0.0243957
26959 0.161453 0.0243957
54797 0.161343 0.0243957
3159 0.161290 0.0243957
84547 0.161204 0.0243957
125050 0.161067 0.0243957
53335 0.160793 0.0243957
2776 0.160782 0.0243957
5991 0.160634 0.0243957
4878 0.160442 0.0243957
3938 0.160429 0.0243957
761 0.160429 0.0243957
5468 0.160247 0.0243957
8654 0.160041 0.0243957
26330 0.159523 0.0283302
2104 0.159276 0.0283302
171568 0.159140 0.0283302
10379 0.159124 0.0283302
51649 0.158905 0.0283302
23551 0.158898 0.0283302
9509 0.158777 0.0283302
10799 0.158735 0.0283302
84246 0.158733 0.0283302
2101 0.158428 0.0283302
57786 0.157958 0.0283302
90133 0.157723 0.0283302
168451 0.157702 0.0283302
374649 0.157547 0.0283302
6402 0.157332 0.0283302
7421 0.157142 0.0283302
23598 0.157083 0.0283302
8811 0.157074 0.0283302
64960 0.157027 0.0283302
4549 0.157027 0.0283302
11076 0.156699 0.0283302
239 0.156302 0.0283302
10116 0.156299 0.0283302
90 0.156254 0.0283302
4990 0.156086 0.0283302
60685 0.155756 0.0283302
130271 0.155613 0.0283302
9043 0.155462 0.0283302
79447 0.154849 0.0283302
54556 0.154820 0.0283302
8638 0.154628 0.0283302
50487 0.154372 0.0283302
9314 0.154359 0.0283302
7067 0.154198 0.0283302
4779 0.153927 0.0283302
55718 0.153826 0.0283302
101060521 0.153826 0.0283302
8668 0.153685 0.0283302
6722 0.153564 0.0283302
80023 0.153430 0.0283302
3227 0.153242 0.0283302
8295 0.153083 0.0283302
133522 0.152829 0.0283302
7404 0.152786 0.0283302
51586 0.152342 0.0283302
2357 0.152289 0.0283302
55188 0.152269 0.0283302
7376 0.152130 0.0283302
3394 0.152101 0.0283302
9477 0.151973 0.0283302
2206 0.151952 0.0283302
9412 0.151829 0.0283302
57109 0.151677 0.0283302
2788 0.151671 0.0283302
1644 0.151579 0.0283302
6049 0.151494 0.0283302
158399 0.151453 0.0283302
55509 0.151439 0.0283302
7098 0.150918 0.0283302
688 0.150655 0.0283302
8085 0.150297 0.0283302
10106 0.150204 0.0283302
283643 0.150123 0.0283302
64288 0.150123 0.0283302
85415 0.149928 0.0341486
6414 0.149805 0.0341486
23533 0.149746 0.0341486
57537 0.149705 0.0341486
406891 0.149666 0.0341486
406884 0.149666 0.0341486
6837 0.149660 0.0341486
54516 0.149657 0.0341486
6710 0.149541 0.0341486
6720 0.149526 0.0341486
111 0.149352 0.0341486
4582 0.149274 0.0341486
9440 0.148992 0.0341486
9318 0.148988 0.0341486
4047 0.148785 0.0341486
150000 0.148785 0.0341486
3662 0.148755 0.0341486
8647 0.148681 0.0341486
571 0.148576 0.0341486
284312 0.148545 0.0341486
9442 0.148488 0.0341486
51599 0.148479 0.0341486
727764 0.148379 0.0341486
9572 0.148362 0.0341486
9324 0.148089 0.0341486
3131 0.147923 0.0341486
6296 0.147895 0.0341486
11036 0.147832 0.0341486
