# num of genes	num of total genes	Log of odds ratio	P-value	Adjusted p-value	GO term ID	GO term name	GO type
1	1	10.4272080694	-	7.26e-04	GO:0010021	amylopectin biosynthetic process	BP
1	1	10.4272080694	-	7.26e-04	GO:2000486	negative regulation of glutamine transport	BP
1	1	10.4272080694	-	7.26e-04	GO:1904651	positive regulation of fat cell apoptotic process	BP
1	1	10.4272080694	-	7.26e-04	GO:0036399	TCR signalosome assembly	BP
1	1	10.4272080694	-	7.26e-04	GO:0032814	regulation of natural killer cell activation	BP
1	1	10.4272080694	-	7.26e-04	GO:0060587	regulation of lipoprotein lipid oxidation	BP
1	1	10.4272080694	-	7.26e-04	GO:0048241	epinephrine transport	BP
1	1	10.4272080694	-	7.26e-04	GO:0071298	cellular response to L-ascorbic acid	BP
1	1	10.4272080694	-	7.26e-04	GO:0004508	steroid 17-alpha-monooxygenase activity	MF
1	1	10.4272080694	-	7.26e-04	GO:0047442	17-alpha-hydroxyprogesterone aldolase activity	MF
2	3	9.84224556873	-	0.00e+00	GO:0015307	drug:proton antiporter activity	MF
1	2	9.42720806945	-	7.26e-04	GO:0044381	glucose import in response to insulin stimulus	BP
1	2	9.42720806945	-	1.45e-03	GO:1990051	activation of protein kinase C activity	BP
1	2	9.42720806945	-	1.45e-03	GO:0098868	bone growth	BP
1	2	9.42720806945	-	1.45e-03	GO:1901374	acetate ester transport	BP
1	2	9.42720806945	-	1.45e-03	GO:0072604	interleukin-6 secretion	BP
1	2	9.42720806945	-	1.45e-03	GO:0032817	regulation of natural killer cell proliferation	BP
1	2	9.42720806945	-	1.45e-03	GO:0032615	interleukin-12 production	BP
1	2	9.42720806945	-	1.45e-03	GO:0047322	[hydroxymethylglutaryl-CoA reductase (NADPH)] kinase activity	MF
1	2	9.42720806945	-	1.45e-03	GO:0050405	[acetyl-CoA carboxylase] kinase activity	MF
1	2	9.42720806945	-	1.00e+00	GO:0005451	monovalent cation:proton antiporter activity	MF
2	5	9.10527997456	-	1.42e-06	GO:0046618	drug export	BP
1	3	8.84224556873	-	7.26e-04	GO:0042269	regulation of natural killer cell mediated cytotoxicity	BP
1	3	8.84224556873	-	2.18e-03	GO:0015874	norepinephrine transport	BP
1	3	8.84224556873	-	2.18e-03	GO:0070093	negative regulation of glucagon secretion	BP
1	3	8.84224556873	-	2.18e-03	GO:2000366	positive regulation of STAT protein import into nucleus	BP
1	3	8.84224556873	-	2.18e-03	GO:0001936	regulation of endothelial cell proliferation	BP
1	3	8.84224556873	-	2.18e-03	GO:0006114	glycerol biosynthetic process	BP
1	3	8.84224556873	-	2.18e-03	GO:0032310	prostaglandin secretion	BP
1	3	8.84224556873	-	1.45e-03	GO:0005277	acetylcholine transmembrane transporter activity	MF
