# num of genes	num of total genes	Log of odds ratio	P-value	Adjusted p-value	GO term ID	GO term name	GO type
3	3	6.64061170756	-	9.85e-07	GO:0045604	regulation of epidermal cell differentiation	BP
1	1	6.64061170756	-	1.00e-02	GO:0090343	positive regulation of cell aging	BP
1	1	6.64061170756	-	1.00e-02	GO:0099641	anterograde axonal protein transport	BP
1	1	6.64061170756	-	1.00e-02	GO:0021812	neuronal-glial interaction involved in cerebral cortex radial glia guided migration	BP
1	1	6.64061170756	-	1.00e-02	GO:0051729	germline cell cycle switching, mitotic to meiotic cell cycle	BP
1	1	6.64061170756	-	1.00e-02	GO:2001229	negative regulation of response to gamma radiation	BP
1	1	6.64061170756	-	1.00e-02	GO:1901994	negative regulation of meiotic cell cycle phase transition	BP
1	1	6.64061170756	-	1.00e-02	GO:0033184	positive regulation of histone ubiquitination	BP
1	1	6.64061170756	-	1.00e-02	GO:1903788	positive regulation of glutathione biosynthetic process	BP
1	1	6.64061170756	-	1.00e-02	GO:1904404	response to formaldehyde	BP
1	1	6.64061170756	-	1.00e-02	GO:0090096	positive regulation of metanephric cap mesenchymal cell proliferation	BP
1	1	6.64061170756	-	1.00e-02	GO:0000117	regulation of transcription involved in G2/M transition of mitotic cell cycle	BP
1	1	6.64061170756	-	1.00e-02	GO:0014810	positive regulation of skeletal muscle contraction by regulation of release of sequestered calcium ion	BP
1	1	6.64061170756	-	1.00e-02	GO:0071894	histone H2B conserved C-terminal lysine ubiquitination	BP
1	1	6.64061170756	-	1.00e-02	GO:0060709	glycogen cell differentiation involved in embryonic placenta development	BP
1	1	6.64061170756	-	1.00e-02	GO:0071301	cellular response to vitamin B1	BP
1	1	6.64061170756	-	1.00e-02	GO:0006117	acetaldehyde metabolic process	BP
1	1	6.64061170756	-	1.00e-02	GO:0072431	signal transduction involved in mitotic G1 DNA damage checkpoint	BP
1	1	6.64061170756	-	1.00e-02	GO:0035437	maintenance of protein localization in endoplasmic reticulum	BP
1	1	6.64061170756	-	1.00e-02	GO:1903755	positive regulation of SUMO transferase activity	BP
1	1	6.64061170756	-	1.00e-02	GO:0044337	canonical Wnt signaling pathway involved in positive regulation of apoptotic process	BP
1	1	6.64061170756	-	1.00e-02	GO:1903897	regulation of PERK-mediated unfolded protein response	BP
1	1	6.64061170756	-	1.00e-02	GO:1903891	regulation of ATF6-mediated unfolded protein response	BP
1	1	6.64061170756	-	1.00e-02	GO:2000753	positive regulation of glucosylceramide catabolic process	BP
1	1	6.64061170756	-	1.00e-02	GO:2000755	positive regulation of sphingomyelin catabolic process	BP
1	1	6.64061170756	-	1.00e-02	GO:0038002	endocrine signaling	BP
1	1	6.64061170756	-	1.00e-02	GO:0097501	stress response to metal ion	BP
1	1	6.64061170756	-	1.00e-02	GO:0090327	negative regulation of locomotion involved in locomotory behavior	BP
1	1	6.64061170756	-	1.00e-02	GO:2001286	regulation of caveolin-mediated endocytosis	BP
1	1	6.64061170756	-	1.00e-02	GO:1905208	negative regulation of cardiocyte differentiation	BP
