# num of genes	num of total genes	Log of odds ratio	P-value	Adjusted p-value	GO term ID	GO term name	GO type
3	3	7.52031747384	-	1.55e-07	GO:0045604	regulation of epidermal cell differentiation	BP
1	1	7.52031747384	-	5.45e-03	GO:0021812	neuronal-glial interaction involved in cerebral cortex radial glia guided migration	BP
1	1	7.52031747384	-	5.45e-03	GO:1903788	positive regulation of glutathione biosynthetic process	BP
1	1	7.52031747384	-	5.45e-03	GO:0000117	regulation of transcription involved in G2/M transition of mitotic cell cycle	BP
1	1	7.52031747384	-	5.45e-03	GO:0014810	positive regulation of skeletal muscle contraction by regulation of release of sequestered calcium ion	BP
1	1	7.52031747384	-	5.45e-03	GO:0071894	histone H2B conserved C-terminal lysine ubiquitination	BP
1	1	7.52031747384	-	5.45e-03	GO:0044337	canonical Wnt signaling pathway involved in positive regulation of apoptotic process	BP
1	1	7.52031747384	-	5.45e-03	GO:2000753	positive regulation of glucosylceramide catabolic process	BP
1	1	7.52031747384	-	5.45e-03	GO:2000755	positive regulation of sphingomyelin catabolic process	BP
1	1	7.52031747384	-	5.45e-03	GO:0090327	negative regulation of locomotion involved in locomotory behavior	BP
1	1	7.52031747384	-	5.45e-03	GO:1900163	positive regulation of phospholipid scramblase activity	BP
1	1	7.52031747384	-	5.45e-03	GO:0045932	negative regulation of muscle contraction	BP
1	1	7.52031747384	-	5.45e-03	GO:0044783	G1 DNA damage checkpoint	BP
1	1	7.52031747384	-	5.45e-03	GO:0006175	dATP biosynthetic process	BP
1	1	7.52031747384	-	5.45e-03	GO:0061395	positive regulation of transcription from RNA polymerase II promoter in response to arsenic-containing substance	BP
1	1	7.52031747384	-	5.45e-03	GO:0044252	negative regulation of multicellular organismal metabolic process	BP
1	1	7.52031747384	-	5.45e-03	GO:0031651	negative regulation of heat generation	BP
1	1	7.52031747384	-	5.45e-03	GO:0060010	Sertoli cell fate commitment	BP
1	1	7.52031747384	-	5.45e-03	GO:0006169	adenosine salvage	BP
1	1	7.52031747384	-	5.45e-03	GO:0050649	testosterone 6-beta-hydroxylase activity	MF
1	1	7.52031747384	-	5.45e-03	GO:0004001	adenosine kinase activity	MF
1	1	7.52031747384	-	5.45e-03	GO:0047801	L-cysteine:2-oxoglutarate aminotransferase activity	MF
1	1	7.52031747384	-	5.45e-03	GO:0033780	taurochenodeoxycholate 6alpha-hydroxylase activity	MF
1	1	7.52031747384	-	5.45e-03	GO:0050591	quinine 3-monooxygenase activity	MF
1	1	7.52031747384	-	5.45e-03	GO:0047638	albendazole monooxygenase activity	MF
1	1	7.52031747384	-	5.45e-03	GO:0102320	1,8-cineole 2-exo-monooxygenase activity	MF
1	1	7.52031747384	-	5.45e-03	GO:0035851	Krueppel-associated box domain binding	MF
3	4	7.10527997456	-	6.19e-07	GO:0010499	proteasomal ubiquitin-independent protein catabolic process	BP
2	3	6.93535497312	-	8.75e-05	GO:1990737	response to manganese-induced endoplasmic reticulum stress	BP
2	3	6.93535497312	-	8.75e-05	GO:0004699	calcium-independent protein kinase C activity	MF
3	5	6.78335187967	-	1.54e-06	GO:0036091	positive regulation of transcription from RNA polymerase II promoter in response to oxidative stress	BP
1	2	6.52031747384	-	5.45e-03	GO:0030641	regulation of cellular pH	BP
1	2	6.52031747384	-	5.45e-03	GO:0009156	ribonucleoside monophosphate biosynthetic process	BP
1	2	6.52031747384	-	1.09e-02	GO:0060265	positive regulation of respiratory burst involved in inflammatory response	BP
1	2	6.52031747384	-	1.09e-02	GO:0071109	superior temporal gyrus development	BP
1	2	6.52031747384	-	1.09e-02	GO:0097252	oligodendrocyte apoptotic process	BP
1	2	6.52031747384	-	1.09e-02	GO:2000077	negative regulation of type B pancreatic cell development	BP
1	2	6.52031747384	-	1.09e-02	GO:0032425	positive regulation of mismatch repair	BP
1	2	6.52031747384	-	1.09e-02	GO:0003064	regulation of heart rate by hormone	BP
1	2	6.52031747384	-	1.09e-02	GO:0031444	slow-twitch skeletal muscle fiber contraction	BP
1	2	6.52031747384	-	1.09e-02	GO:0044209	AMP salvage	BP
1	2	6.52031747384	-	1.09e-02	GO:0060734	regulation of endoplasmic reticulum stress-induced eIF2 alpha phosphorylation	BP
1	2	6.52031747384	-	1.09e-02	GO:0036492	eiF2alpha phosphorylation in response to endoplasmic reticulum stress	BP
1	2	6.52031747384	-	1.09e-02	GO:0032615	interleukin-12 production	BP
1	2	6.52031747384	-	1.09e-02	GO:1902235	regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway	BP
1	2	6.52031747384	-	1.09e-02	GO:0035408	histone H3-T6 phosphorylation	BP
1	2	6.52031747384	-	1.09e-02	GO:0090035	positive regulation of chaperone-mediated protein complex assembly	BP
1	2	6.52031747384	-	1.09e-02	GO:2000707	positive regulation of dense core granule biogenesis	BP
1	2	6.52031747384	-	1.09e-02	GO:0075732	viral penetration into host nucleus	BP
1	2	6.52031747384	-	1.09e-02	GO:0031943	regulation of glucocorticoid metabolic process	BP
1	2	6.52031747384	-	1.09e-02	GO:2000570	positive regulation of T-helper 2 cell activation	BP
1	2	6.52031747384	-	1.09e-02	GO:0071879	positive regulation of adrenergic receptor signaling pathway	BP
1	2	6.52031747384	-	1.09e-02	GO:0019550	glutamate catabolic process to aspartate	BP
1	2	6.52031747384	-	1.09e-02	GO:0019551	glutamate catabolic process to 2-oxoglutarate	BP
1	2	6.52031747384	-	1.09e-02	GO:0044027	hypermethylation of CpG island	BP
3	6	6.52031747384	-	3.07e-06	GO:0001221	transcription cofactor binding	MF
2	4	6.52031747384	-	1.74e-04	GO:0004698	calcium-dependent protein kinase C activity	MF
1	2	6.52031747384	-	5.45e-03	GO:0003955	NAD(P)H dehydrogenase (quinone) activity	MF
1	2	6.52031747384	-	5.45e-03	GO:0030343	vitamin D3 25-hydroxylase activity	MF
1	2	6.52031747384	-	5.45e-03	GO:0031699	beta-3 adrenergic receptor binding	MF
1	2	6.52031747384	-	1.09e-02	GO:0004667	prostaglandin-D synthase activity	MF
1	2	6.52031747384	-	1.09e-02	GO:0070576	vitamin D 24-hydroxylase activity	MF
1	2	6.52031747384	-	1.09e-02	GO:0016005	phospholipase A2 activator activity	MF
1	2	6.52031747384	-	1.09e-02	GO:0034212	peptide N-acetyltransferase activity	MF
1	2	6.52031747384	-	1.09e-02	GO:0004609	phosphatidylserine decarboxylase activity	MF
1	2	6.52031747384	-	1.09e-02	GO:0004874	aryl hydrocarbon receptor activity	MF
1	2	6.52031747384	-	1.09e-02	GO:0035403	histone kinase activity (H3-T6 specific)	MF
1	2	6.52031747384	-	1.09e-02	GO:0050610	methylarsonate reductase activity	MF
1	2	6.52031747384	-	1.09e-02	GO:0045174	glutathione dehydrogenase (ascorbate) activity	MF
3	7	6.2979250525	-	5.35e-06	GO:0034351	negative regulation of glial cell apoptotic process	BP
2	5	6.19838937895	-	2.90e-04	GO:0090330	regulation of platelet aggregation	BP
2	6	5.93535497312	-	4.33e-04	GO:0036003	positive regulation of transcription from RNA polymerase II promoter in response to stress	BP
1	3	5.93535497312	-	5.45e-03	GO:0036378	calcitriol biosynthetic process from calciol	BP
1	3	5.93535497312	-	1.09e-02	GO:0046167	glycerol-3-phosphate biosynthetic process	BP
1	3	5.93535497312	-	1.09e-02	GO:0009822	alkaloid catabolic process	BP
1	3	5.93535497312	-	1.09e-02	GO:0051490	negative regulation of filopodium assembly	BP
1	3	5.93535497312	-	1.09e-02	GO:2000255	negative regulation of male germ cell proliferation	BP
1	3	5.93535497312	-	1.09e-02	GO:0006532	aspartate biosynthetic process	BP
1	3	5.93535497312	-	1.09e-02	GO:1901536	negative regulation of DNA demethylation	BP
1	3	5.93535497312	-	1.09e-02	GO:1904339	negative regulation of dopaminergic neuron differentiation	BP
1	3	5.93535497312	-	1.63e-02	GO:0060266	negative regulation of respiratory burst involved in inflammatory response	BP
1	3	5.93535497312	-	1.63e-02	GO:0070562	regulation of vitamin D receptor signaling pathway	BP
1	3	5.93535497312	-	1.63e-02	GO:0014043	negative regulation of neuron maturation	BP
1	3	5.93535497312	-	1.63e-02	GO:1901896	positive regulation of calcium-transporting ATPase activity	BP
1	3	5.93535497312	-	1.63e-02	GO:0000320	re-entry into mitotic cell cycle	BP
1	3	5.93535497312	-	1.63e-02	GO:0006114	glycerol biosynthetic process	BP
1	3	5.93535497312	-	1.63e-02	GO:1904753	negative regulation of vascular associated smooth muscle cell migration	BP
1	3	5.93535497312	-	1.63e-02	GO:1902309	negative regulation of peptidyl-serine dephosphorylation	BP
1	3	5.93535497312	-	1.63e-02	GO:0032613	interleukin-10 production	BP
