#Id Score P-value
4780 1.000000 0.0
9817 0.985360 0.0
3320 0.980787 0.0
836 0.974100 0.0
10013 0.968399 0.0
1432 0.967370 0.0
2938 0.941933 0.0
1728 0.932854 0.0
2944 0.924657 0.0
6482 0.888778 0.0
27306 0.877533 0.0
2947 0.453729 0.000143
7365 0.343218 0.000143
55362 0.343218 0.000143
11163 0.327627 0.000143
7975 0.314497 0.000143
100507855 0.307235 0.000143
205 0.307235 0.000143
84268 0.280646 0.0002158
55300 0.242015 0.0002934
10071 0.241413 0.0002934
80824 0.233097 0.0003654
55270 0.224599 0.0003654
9603 0.224540 0.0003654
79817 0.222391 0.0003654
203522 0.216016 0.0003654
6942 0.212199 0.0003654
6091 0.205533 0.0003654
317 0.204309 0.0003654
4779 0.202477 0.0003654
2038 0.202135 0.0003654
4647 0.201426 0.0003654
2103 0.201281 0.0003654
373509 0.201281 0.0003654
23764 0.200825 0.0003654
150864 0.200541 0.0003654
5801 0.197957 0.0005092
4820 0.197514 0.0005092
9518 0.196275 0.0005092
2993 0.194552 0.0005092
3327 0.193198 0.0005092
1849 0.192150 0.0005092
1846 0.191793 0.0005092
51218 0.190309 0.0005092
793 0.190259 0.0005092
7701 0.189436 0.0005847
571 0.187832 0.0005847
106821730 0.186074 0.0005847
1852 0.185777 0.0005847
9655 0.185397 0.0005847
5583 0.184984 0.0005847
91748 0.184407 0.0005847
4097 0.182961 0.0005847
2625 0.182916 0.0005847
8743 0.182601 0.0005847
6171 0.180523 0.0005847
56924 0.179974 0.0006617
24145 0.179220 0.0006617
26249 0.177323 0.0006617
8507 0.175593 0.0006617
1843 0.173946 0.0006617
11221 0.172644 0.0006617
130872 0.172096 0.0006617
60468 0.171976 0.0006617
54925 0.171732 0.0006617
84971 0.169270 0.0006617
1649 0.168355 0.0006617
8986 0.168249 0.0006617
834 0.167927 0.0006617
8681 0.167682 0.0006617
100137049 0.167682 0.0006617
4776 0.167389 0.0006617
9020 0.166933 0.0006617
55367 0.166328 0.0006617
55054 0.165769 0.0006617
122953 0.162666 0.0006617
5608 0.161253 0.0006617
660 0.160860 0.0006617
5271 0.160835 0.0006617
5778 0.160298 0.0006617
9474 0.160066 0.0006617
9451 0.157709 0.0007378
196 0.157572 0.0007378
64333 0.157360 0.0007378
59082 0.157078 0.0007378
4778 0.157045 0.0007378
391634 0.156828 0.0007378
4294 0.156819 0.0007378
51451 0.156772 0.0007378
27258 0.156262 0.0007378
4208 0.155986 0.0007378
5606 0.155875 0.0007378
10467 0.155675 0.0007378
677 0.155532 0.0007378
4209 0.155088 0.0007378
842 0.154787 0.0007378
6569 0.154710 0.0007378
55578 0.154681 0.0007378
57820 0.154361 0.0007378
2768 0.154191 0.0007378
4068 0.154174 0.0007378
4205 0.154109 0.0007378
5588 0.153556 0.0007378
55074 0.153540 0.0007378
5340 0.153426 0.0007378
6173 0.153105 0.0007378
55249 0.152786 0.0007378
1950 0.152766 0.0007378
397 0.152608 0.0007378
835 0.152241 0.0007378
5609 0.152036 0.0007378
920 0.151781 0.0007378
8550 0.151526 0.0007378
5581 0.151463 0.0007378
10000 0.151333 0.0007378
8837 0.150706 0.0007378
207 0.150601 0.0007378
3984 0.150493 0.0007378
2066 0.149918 0.0007378
388962 0.149888 0.0007378
90627 0.149804 0.0007378
2872 0.149643 0.0007378
80204 0.149455 0.0007378
6416 0.149446 0.0007378
3725 0.149350 0.0007378
843 0.148935 0.0007378
995 0.148904 0.0007378
23148 0.148860 0.0007378
90324 0.148535 0.0007378
208 0.148466 0.0007378
1956 0.148426 0.0007378
8621 0.148111 0.0007378
23221 0.147978 0.0007378
2289 0.147788 0.0007378
9149 0.147480 0.0007378
9641 0.147320 0.0007378
636 0.147190 0.0007378
81620 0.146950 0.0007378
