##### EXTENDED ANALYSIS #####

# NODE PROFILE
# Top %	Spearman	P-value	Dot_Product	common_items	total_items	ratio_common_total
percentage_0.1	-0.717	0.000	0.222	0	28	0.000
percentage_0.5	-0.850	0.000	0.338	0	138	0.000
percentage_1	-0.801	0.000	0.418	10	266	0.038
percentage_2.5	-0.658	0.000	0.551	25	668	0.037
percentage_5	-0.647	0.000	0.663	77	1301	0.059
percentage_10	-0.546	0.000	0.759	322	2436	0.132
percentage_20	-0.355	0.000	0.832	1091	4417	0.247
item_50	-0.829	0.000	0.304	0	100	0.000
item_100	-0.838	0.000	0.380	1	199	0.005
item_250	-0.692	0.000	0.501	19	481	0.040
item_500	-0.654	0.000	0.611	43	957	0.045
item_1000	-0.602	0.000	0.717	174	1826	0.095
# END DATAFRAME

# EDGE PROFILE
# Top %	Spearman	P-value	Dot_Product	common_items	total_items	ratio_common_total
percentage_0.1	-0.716	0.001	0.227	0	17	0.000
percentage_0.5	-0.861	0.000	0.359	0	260	0.000
percentage_1	-0.620	0.000	0.526	20	1045	0.019
percentage_2.5	-0.320	0.000	0.730	88	4380	0.020
percentage_5	-0.172	0.000	0.845	507	11883	0.043
percentage_10	-0.073	0.000	0.908	3974	28371	0.140
percentage_20	0.076	0.000	0.939	15498	54567	0.284
item_50	-0.765	0.000	0.300	0	121	0.000
item_100	-0.802	0.000	0.441	0	547	0.000
item_250	-0.395	0.000	0.670	45	2819	0.016
item_500	-0.212	0.000	0.796	214	7460	0.029
item_1000	-0.136	0.000	0.886	2039	19806	0.103
# END DATAFRAME

# FUNCTIONAL PROFILE
# Top %	Spearman	P-value	Dot_Product	common_items	total_items	ratio_common_total
percentage_0.1	-0.696	0.000	0.017	10	286	0.035
percentage_0.5	-0.706	0.000	0.085	212	1568	0.135
percentage_1	-0.508	0.000	0.232	701	2783	0.252
percentage_2.5	-0.391	0.000	0.264	1441	4438	0.325
percentage_5	-0.180	0.000	0.378	2570	5985	0.429
percentage_10	0.042	0.000	0.474	4152	7820	0.531
percentage_20	0.333	0.000	0.596	6473	9772	0.662
item_50	-0.722	0.000	0.070	141	1138	0.124
item_100	-0.608	0.000	0.141	415	2273	0.183
item_250	-0.442	0.000	0.249	1144	3740	0.306
item_500	-0.273	0.000	0.333	1996	5228	0.382
item_1000	-0.086	0.000	0.412	3265	6915	0.472
# END DATAFRAME
