method	data_type	threshold	dot_product	spearman	jaccard
dctargets	target	-	0.0	-1.0	0.0
dctargets	pfam	-	0.0	-1.0	0.0
dctargets	function	-	0.0378929248111	-0.833635974724	0.0483870967742
dcguild	node	1	0.314374604438	-0.829262424963	0.0184501845018
dcguild	edge	1	0.320977065526	-0.767057171447	0.0
dcguild	function	1	0.124340880659	-0.74198183746	0.183977455717
dcguild	node	5	0.528176755654	-0.631150431778	0.0707070707071
dcguild	edge	5	0.685007027102	-0.246914445675	0.0438770685579
dcguild	function	5	0.420245334969	-0.327666997146	0.382524271845
dcguild	node	10	0.628185379767	-0.499912195432	0.16992353441
dcguild	edge	10	0.800649123054	-0.0293328409296	0.155197713933
dcguild	function	10	0.544902191401	-0.136730656973	0.479567933368
dcguild	node	20	0.723505010355	-0.293711813949	0.287751285647
dcguild	edge	20	0.873303476178	0.100221444482	0.296966749523
dcguild	function	20	0.668042416588	0.0851322210222	0.576979225154
dcguild	node	50	0.811082230202	0.134420759989	0.615935226473
dcguild	edge	50	0.913754674049	0.404039147449	0.777112048939
dcguild	function	50	0.807617051859	0.348498286497	0.684947223497
dcstructure	structure	-	0.152445957065	0.152445957065	0.152445957065
