# num of genes	num of total genes	Log of odds ratio	P-value	Adjusted p-value	GO term ID	GO term name	GO type
3	3	5.30619266849	-	1.60e-05	GO:0007176	regulation of epidermal growth factor-activated receptor activity	BP
3	3	5.30619266849	-	1.60e-05	GO:0061198	fungiform papilla formation	BP
3	3	5.30619266849	-	1.60e-05	GO:0030801	positive regulation of cyclic nucleotide metabolic process	BP
3	3	5.30619266849	-	1.60e-05	GO:0031281	positive regulation of cyclase activity	BP
2	2	5.30619266849	-	6.37e-04	GO:1905663	positive regulation of telomerase RNA reverse transcriptase activity	BP
2	2	5.30619266849	-	6.37e-04	GO:0032071	regulation of endodeoxyribonuclease activity	BP
2	2	5.30619266849	-	6.37e-04	GO:0002283	neutrophil activation involved in immune response	BP
2	2	5.30619266849	-	6.37e-04	GO:0032916	positive regulation of transforming growth factor beta3 production	BP
2	2	5.30619266849	-	6.37e-04	GO:0002506	polysaccharide assembly with MHC class II protein complex	BP
2	2	5.30619266849	-	6.37e-04	GO:1903894	regulation of IRE1-mediated unfolded protein response	BP
2	2	5.30619266849	-	6.37e-04	GO:0048145	regulation of fibroblast proliferation	BP
2	2	5.30619266849	-	6.37e-04	GO:0055025	positive regulation of cardiac muscle tissue development	BP
2	2	5.30619266849	-	6.37e-04	GO:0061308	cardiac neural crest cell development involved in heart development	BP
2	2	5.30619266849	-	6.37e-04	GO:0048340	paraxial mesoderm morphogenesis	BP
2	2	5.30619266849	-	6.37e-04	GO:0043366	beta selection	BP
1	1	5.30619266849	-	2.53e-02	GO:0099641	anterograde axonal protein transport	BP
1	1	5.30619266849	-	2.53e-02	GO:0090343	positive regulation of cell aging	BP
1	1	5.30619266849	-	2.53e-02	GO:0002333	transitional one stage B cell differentiation	BP
1	1	5.30619266849	-	2.53e-02	GO:0007344	pronuclear fusion	BP
1	1	5.30619266849	-	2.53e-02	GO:0071352	cellular response to interleukin-2	BP
1	1	5.30619266849	-	2.53e-02	GO:2000646	positive regulation of receptor catabolic process	BP
1	1	5.30619266849	-	2.53e-02	GO:0048532	anatomical structure arrangement	BP
1	1	5.30619266849	-	2.53e-02	GO:0002495	antigen processing and presentation of peptide antigen via MHC class II	BP
1	1	5.30619266849	-	2.53e-02	GO:0061326	renal tubule development	BP
1	1	5.30619266849	-	2.53e-02	GO:0061324	canonical Wnt signaling pathway involved in positive regulation of cardiac outflow tract cell proliferation	BP
1	1	5.30619266849	-	2.53e-02	GO:1904568	cellular response to wortmannin	BP
1	1	5.30619266849	-	2.53e-02	GO:1904914	negative regulation of establishment of macromolecular complex localization to telomere	BP
1	1	5.30619266849	-	2.53e-02	GO:1904911	negative regulation of establishment of RNA localization to telomere	BP
1	1	5.30619266849	-	2.53e-02	GO:2001229	negative regulation of response to gamma radiation	BP
1	1	5.30619266849	-	2.53e-02	GO:0038116	chemokine (C-C motif) ligand 21 signaling pathway	BP
1	1	5.30619266849	-	2.53e-02	GO:0038115	chemokine (C-C motif) ligand 19 signaling pathway	BP
1	1	5.30619266849	-	2.53e-02	GO:1904764	chaperone-mediated autophagy translocation complex disassembly	BP
1	1	5.30619266849	-	2.53e-02	GO:0034670	chemotaxis to arachidonic acid	BP
1	1	5.30619266849	-	2.53e-02	GO:1903007	positive regulation of Lys63-specific deubiquitinase activity	BP
1	1	5.30619266849	-	2.53e-02	GO:1903006	positive regulation of protein K63-linked deubiquitination	BP
1	1	5.30619266849	-	2.53e-02	GO:2000522	positive regulation of immunological synapse formation	BP
1	1	5.30619266849	-	2.53e-02	GO:2000526	positive regulation of glycoprotein biosynthetic process involved in immunological synapse formation	BP
1	1	5.30619266849	-	2.53e-02	GO:2000525	positive regulation of T cell costimulation	BP
1	1	5.30619266849	-	2.53e-02	GO:0010522	regulation of calcium ion transport into cytosol	BP
1	1	5.30619266849	-	2.53e-02	GO:0090220	chromosome localization to nuclear envelope involved in homologous chromosome segregation	BP
1	1	5.30619266849	-	2.53e-02	GO:0002885	positive regulation of hypersensitivity	BP
1	1	5.30619266849	-	2.53e-02	GO:0033182	regulation of histone ubiquitination	BP
1	1	5.30619266849	-	2.53e-02	GO:0033184	positive regulation of histone ubiquitination	BP
1	1	5.30619266849	-	2.53e-02	GO:0031058	positive regulation of histone modification	BP
1	1	5.30619266849	-	2.53e-02	GO:0061736	engulfment of target by autophagosome	BP
1	1	5.30619266849	-	2.53e-02	GO:1990859	cellular response to endothelin	BP
1	1	5.30619266849	-	2.53e-02	GO:0002842	positive regulation of T cell mediated immune response to tumor cell	BP
1	1	5.30619266849	-	2.53e-02	GO:0045728	respiratory burst after phagocytosis	BP
1	1	5.30619266849	-	2.53e-02	GO:0097022	lymphocyte migration into lymph node	BP
1	1	5.30619266849	-	2.53e-02	GO:0035037	sperm entry	BP
1	1	5.30619266849	-	2.53e-02	GO:0032077	positive regulation of deoxyribonuclease activity	BP
1	1	5.30619266849	-	2.53e-02	GO:1904404	response to formaldehyde	BP
