# num of genes	num of total genes	Log of odds ratio	P-value	Adjusted p-value	GO term ID	GO term name	GO type
11	11	2.3218233202	-	2.02e-08	GO:0060968	regulation of gene silencing	BP
5	5	2.3218233202	-	3.19e-04	GO:0072655	establishment of protein localization to mitochondrion	BP
5	5	2.3218233202	-	3.19e-04	GO:1903898	negative regulation of PERK-mediated unfolded protein response	BP
5	5	2.3218233202	-	3.19e-04	GO:0071681	cellular response to indole-3-methanol	BP
4	4	2.3218233202	-	1.60e-03	GO:0090400	stress-induced premature senescence	BP
4	4	2.3218233202	-	1.60e-03	GO:0030578	PML body organization	BP
4	4	2.3218233202	-	1.60e-03	GO:0042345	regulation of NF-kappaB import into nucleus	BP
4	4	2.3218233202	-	1.60e-03	GO:1903377	negative regulation of oxidative stress-induced neuron intrinsic apoptotic signaling pathway	BP
4	4	2.3218233202	-	1.60e-03	GO:0050847	progesterone receptor signaling pathway	BP
4	4	2.3218233202	-	1.60e-03	GO:0070849	response to epidermal growth factor	BP
4	4	2.3218233202	-	1.60e-03	GO:0051098	regulation of binding	BP
4	4	2.3218233202	-	1.60e-03	GO:0090559	regulation of membrane permeability	BP
4	4	2.3218233202	-	1.60e-03	GO:0034121	regulation of toll-like receptor signaling pathway	BP
4	4	2.3218233202	-	1.60e-03	GO:0071218	cellular response to misfolded protein	BP
3	3	2.3218233202	-	7.99e-03	GO:0002553	histamine secretion by mast cell	BP
3	3	2.3218233202	-	7.99e-03	GO:0090261	positive regulation of inclusion body assembly	BP
3	3	2.3218233202	-	7.99e-03	GO:1903748	negative regulation of establishment of protein localization to mitochondrion	BP
3	3	2.3218233202	-	7.99e-03	GO:1903202	negative regulation of oxidative stress-induced cell death	BP
3	3	2.3218233202	-	7.99e-03	GO:1905426	positive regulation of Wnt-mediated midbrain dopaminergic neuron differentiation	BP
3	3	2.3218233202	-	7.99e-03	GO:1902803	regulation of synaptic vesicle transport	BP
3	3	2.3218233202	-	7.99e-03	GO:0060024	rhythmic synaptic transmission	BP
3	3	2.3218233202	-	7.99e-03	GO:0048871	multicellular organismal homeostasis	BP
3	3	2.3218233202	-	7.99e-03	GO:0032202	telomere assembly	BP
3	3	2.3218233202	-	7.99e-03	GO:1903542	negative regulation of exosomal secretion	BP
3	3	2.3218233202	-	7.99e-03	GO:0097107	postsynaptic density assembly	BP
3	3	2.3218233202	-	7.99e-03	GO:0045069	regulation of viral genome replication	BP
