#Id Score P-value
716 1.000000 0.0
715 0.958107 0.0
2214 0.834212 0.0
713 0.833572 0.0
2209 0.814812 0.0
712 0.805110 0.0
2212 0.780154 0.0
931 0.759588 0.0
2213 0.743577 0.0
9103 0.743577 0.0
714 0.738263 0.0
2215 0.711362 0.0
3500 0.701254 0.0002209
5105 0.390361 0.0007287
710 0.252184 0.0011676
283600 0.210612 0.0016215
952 0.198037 0.0036929
60401 0.196093 0.0036929
3122 0.191109 0.0036929
9235 0.160481 0.0057338
64841 0.156690 0.0109722
4653 0.148970 0.0360767
54413 0.144432 0.0360767
6850 0.144406 0.0360767
7597 0.143600 0.0360767
29979 0.142772 0.0360767
6449 0.141643 0.0360767
10114 0.141106 0.0360767
7917 0.141044 0.0360767
867 0.140502 0.0360767
5501 0.140270 0.0360767
3316 0.139585 0.125147
3937 0.139407 0.125147
29978 0.138478 0.125147
9063 0.138349 0.125147
5499 0.138288 0.125147
6464 0.137103 0.125147
55016 0.136587 0.125147
5970 0.136290 0.125147
3845 0.134745 0.125147
79001 0.126092 0.3282117
639 0.125224 0.3282117
147872 0.120918 0.3282117
3123 0.120470 0.3282117
10488 0.118903 0.5970011
55294 0.116895 0.5970011
4193 0.115076 0.5970011
2033 0.113916 0.5970011
916 0.112709 0.5970011
7157 0.110861 0.5970011
7329 0.110340 0.5970011
3958 0.109610 0.8351207
28396 0.109428 0.8351207
2130 0.108375 0.8351207
5335 0.107560 0.8351207
919 0.107201 0.8351207
1956 0.106318 0.8351207
11161 0.106185 0.8351207
7316 0.105777 0.8351207
6233 0.105700 0.8351207
672 0.105513 0.8351207
2207 0.105084 0.8351207
92086 0.104910 0.8351207
3543 0.104910 0.8351207
1915 0.104326 0.8351207
207 0.103992 0.8351207
1457 0.103757 0.8351207
367 0.103608 0.8351207
2885 0.103014 0.8351207
5987 0.102447 0.8351207
7020 0.102430 0.8351207
6733 0.102226 0.8351207
6714 0.102192 0.8351207
3315 0.101642 0.8351207
2286 0.101578 0.8351207
7186 0.101437 0.8351207
10524 0.101411 0.8351207
2801 0.101409 0.8351207
1387 0.101270 0.8351207
1460 0.101224 0.8351207
56893 0.101213 0.8351207
2932 0.101051 0.8351207
23028 0.101029 0.8351207
1026 0.100795 0.8351207
7341 0.100471 0.8351207
3065 0.100276 0.8351207
3725 0.100183 0.8351207
4088 0.100153 0.8351207
4609 0.100122 0.8351207
5657 0.100113 0.8351207
1991 0.100011 0.8351207
7535 0.099991 0.9484694
6774 0.099972 0.9484694
7534 0.099864 0.9484694
7530 0.099864 0.9484694
5300 0.099747 0.9484694
145508 0.099583 0.9484694
8945 0.099528 0.9484694
5925 0.099454 0.9484694
1499 0.099227 0.9484694
6790 0.099186 0.9484694
6310 0.099098 0.9484694
8554 0.099081 0.9484694
3838 0.099056 0.9484694
1616 0.099043 0.9484694
3192 0.099040 0.9484694
1398 0.099002 0.9484694
166 0.098925 0.9484694
7874 0.098909 0.9484694
2023 0.098859 0.9484694
7311 0.098801 0.9484694
5594 0.098781 0.9484694
25 0.098604 0.9484694
5371 0.098569 0.9484694
5315 0.098568 0.9484694
7321 0.098519 0.9484694
7322 0.098480 0.9484694
3164 0.098480 0.9484694
259197 0.098465 0.9484694
2597 0.098462 0.9484694
60 0.098360 0.9484694
7704 0.098341 0.9484694
5599 0.098199 0.9484694
85302 0.098144 0.9484694
5430 0.098142 0.9484694
10768 0.098114 0.9484694
64852 0.098107 0.9484694
3184 0.098073 0.9484694
3190 0.098071 0.9484694
5347 0.097868 0.9484694
2064 0.097867 0.9484694
26260 0.097775 0.9484694
7013 0.097770 0.9484694
9146 0.097712 0.9484694
23411 0.097692 0.9484694
5111 0.097678 0.9484694
7531 0.097611 0.9484694
4000 0.097557 0.9484694
2547 0.097491 0.9484694
6613 0.097488 0.9484694
9869 0.097306 0.9484694
3326 0.097295 0.9484694
1432 0.097293 0.9484694
5295 0.097287 0.9484694
8440 0.097260 0.9484694
2316 0.097248 0.9484694
10987 0.097245 0.9484694
1147 0.097171 0.9484694
84445 0.097157 0.9484694
5591 0.097086 0.9484694
7415 0.097085 0.9484694
3178 0.097077 0.9484694
22981 0.097073 0.9484694
23390 0.097062 0.9484694
117178 0.097043 0.9484694
3312 0.097031 0.9484694
4869 0.096993 0.9484694
5966 0.096973 0.9484694
4223 0.096963 0.9484694
7159 0.096952 0.9484694
7205 0.096911 0.9484694
6625 0.096807 0.9484694
8517 0.096754 0.9484694
2099 0.096750 0.9484694
3320 0.096747 0.9484694
4089 0.096744 0.9484694
5597 0.096731 0.9484694
55183 0.096710 0.9484694
5479 0.096691 0.9484694
3183 0.096659 0.9484694
4137 0.096653 0.9484694
7337 0.096610 0.9484694
1639 0.096597 0.9484694
9865 0.096596 0.9484694
3309 0.096595 0.9484694
6386 0.096566 0.9484694
4691 0.096554 0.9484694
6427 0.096547 0.9484694
3476 0.096546 0.9484694
8358 0.096517 0.9484694
8350 0.096517 0.9484694
8351 0.096517 0.9484694
8352 0.096517 0.9484694
8353 0.096517 0.9484694
8354 0.096517 0.9484694
8355 0.096517 0.9484694
8356 0.096517 0.9484694
8357 0.096517 0.9484694
8968 0.096517 0.9484694
7514 0.096504 0.9484694
1822 0.096500 0.9484694
6421 0.096482 0.9484694
1660 0.096425 0.9484694
26524 0.096416 0.9484694
2908 0.096410 0.9484694
6606 0.096399 0.9484694
6607 0.096399 0.9484694
3329 0.096394 0.9484694
5886 0.096385 0.9484694
9859 0.096378 0.9484694
1029 0.096364 0.9484694
6188 0.096330 0.9484694
5710 0.096302 0.9484694
22938 0.096278 0.9484694
200728 0.096252 0.9484694
6772 0.096227 0.9484694
4005 0.096206 0.9484694
373 0.096169 0.9484694
3064 0.096161 0.9484694
6426 0.096136 0.9484694
5595 0.096134 0.9484694
84708 0.096134 0.9484694
6477 0.096117 0.9484694
51588 0.096045 0.9484694
10971 0.096015 0.9484694
2274 0.095985 0.9484694
9513 0.095973 0.9484694
3308 0.095935 0.9484694
3551 0.095902 0.9484694
3932 0.095890 0.9484694
5684 0.095876 0.9484694
7083 0.095859 0.9484694
10048 0.095816 0.9484694
811 0.095767 0.9484694
7334 0.095694 0.9484694
580 0.095687 0.9484694
55660 0.095665 0.9484694
11030 0.095641 0.9484694
7323 0.095549 0.9484694
472 0.095531 0.9484694
983 0.095503 0.9484694
7431 0.095461 0.9484694
4188 0.095460 0.9484694
988 0.095457 0.9484694
5562 0.095422 0.9484694
10989 0.095408 0.9484694
6925 0.095400 0.9484694
3875 0.095397 0.9484694
7273 0.095388 0.9484694
10241 0.095384 0.9484694
351 0.095379 0.9484694
7532 0.095370 0.9484694
26986 0.095364 0.9484694
310 0.095342 0.9484694
125115 0.095307 0.9484694
5859 0.095275 0.9484694
5770 0.095269 0.9484694
5515 0.095258 0.9484694
7791 0.095222 0.9484694
27040 0.095212 0.9484694
