# num of genes	num of total genes	Log of odds ratio	P-value	Adjusted p-value	GO term ID	GO term name	GO type
5	5	3.3218233202	-	9.94e-06	GO:0060850	regulation of transcription involved in cell fate commitment	BP
5	5	3.3218233202	-	9.94e-06	GO:0055012	ventricular cardiac muscle cell differentiation	BP
4	4	3.3218233202	-	9.96e-05	GO:0030578	PML body organization	BP
4	4	3.3218233202	-	9.96e-05	GO:0060534	trachea cartilage development	BP
4	4	3.3218233202	-	9.96e-05	GO:0050798	activated T cell proliferation	BP
3	3	3.3218233202	-	9.98e-04	GO:0034770	histone H4-K20 methylation	BP
3	3	3.3218233202	-	9.98e-04	GO:0070562	regulation of vitamin D receptor signaling pathway	BP
3	3	3.3218233202	-	9.98e-04	GO:0060745	mammary gland branching involved in pregnancy	BP
3	3	3.3218233202	-	9.98e-04	GO:0072539	T-helper 17 cell differentiation	BP
3	3	3.3218233202	-	9.98e-04	GO:0070141	response to UV-A	BP
3	3	3.3218233202	-	9.98e-04	GO:0010871	negative regulation of receptor biosynthetic process	BP
3	3	3.3218233202	-	9.98e-04	GO:0090043	regulation of tubulin deacetylation	BP
3	3	3.3218233202	-	9.98e-04	GO:0061198	fungiform papilla formation	BP
3	3	3.3218233202	-	9.98e-04	GO:2001141	regulation of RNA biosynthetic process	BP
3	3	3.3218233202	-	9.98e-04	GO:0019065	receptor-mediated endocytosis of virus by host cell	BP
3	3	3.3218233202	-	9.98e-04	GO:0018076	N-terminal peptidyl-lysine acetylation	BP
3	3	3.3218233202	-	9.98e-04	GO:0002068	glandular epithelial cell development	BP
3	3	3.3218233202	-	9.98e-04	GO:0000432	positive regulation of transcription from RNA polymerase II promoter by glucose	BP
2	2	3.3218233202	-	9.99e-03	GO:1990414	replication-born double-strand break repair via sister chromatid exchange	BP
2	2	3.3218233202	-	9.99e-03	GO:0097252	oligodendrocyte apoptotic process	BP
2	2	3.3218233202	-	9.99e-03	GO:2001055	positive regulation of mesenchymal cell apoptotic process	BP
2	2	3.3218233202	-	9.99e-03	GO:0008050	female courtship behavior	BP
2	2	3.3218233202	-	9.99e-03	GO:0072182	regulation of nephron tubule epithelial cell differentiation	BP
