# num of genes	num of total genes	Log of odds ratio	P-value	Adjusted p-value	GO term ID	GO term name	GO type
11	11	3.78335187967	-	4.03e-11	GO:0060968	regulation of gene silencing	BP
5	5	3.78335187967	-	2.00e-06	GO:0055012	ventricular cardiac muscle cell differentiation	BP
5	5	3.78335187967	-	2.00e-06	GO:0010606	positive regulation of cytoplasmic mRNA processing body assembly	BP
4	4	3.78335187967	-	2.77e-05	GO:0030578	PML body organization	BP
4	4	3.78335187967	-	2.77e-05	GO:0060534	trachea cartilage development	BP
4	4	3.78335187967	-	2.77e-05	GO:0046886	positive regulation of hormone biosynthetic process	BP
3	3	3.78335187967	-	3.82e-04	GO:0055005	ventricular cardiac myofibril assembly	BP
3	3	3.78335187967	-	3.82e-04	GO:0070562	regulation of vitamin D receptor signaling pathway	BP
3	3	3.78335187967	-	3.82e-04	GO:0060745	mammary gland branching involved in pregnancy	BP
3	3	3.78335187967	-	3.82e-04	GO:0072539	T-helper 17 cell differentiation	BP
3	3	3.78335187967	-	3.82e-04	GO:0070537	histone H2A K63-linked deubiquitination	BP
3	3	3.78335187967	-	3.82e-04	GO:0010725	regulation of primitive erythrocyte differentiation	BP
3	3	3.78335187967	-	3.82e-04	GO:0010871	negative regulation of receptor biosynthetic process	BP
3	3	3.78335187967	-	3.82e-04	GO:0000432	positive regulation of transcription from RNA polymerase II promoter by glucose	BP
3	3	3.78335187967	-	3.82e-04	GO:0061198	fungiform papilla formation	BP
3	3	3.78335187967	-	3.82e-04	GO:2001141	regulation of RNA biosynthetic process	BP
3	3	3.78335187967	-	3.82e-04	GO:0018076	N-terminal peptidyl-lysine acetylation	BP
3	3	3.78335187967	-	3.82e-04	GO:0002068	glandular epithelial cell development	BP
3	3	3.78335187967	-	3.82e-04	GO:0031281	positive regulation of cyclase activity	BP
2	2	3.78335187967	-	5.27e-03	GO:0060260	regulation of transcription initiation from RNA polymerase II promoter	BP
2	2	3.78335187967	-	5.27e-03	GO:0060928	atrioventricular node cell development	BP
2	2	3.78335187967	-	5.27e-03	GO:0090402	oncogene-induced cell senescence	BP
2	2	3.78335187967	-	5.27e-03	GO:0061325	cell proliferation involved in outflow tract morphogenesis	BP
