# num of genes	num of total genes	Log of odds ratio	P-value	Adjusted p-value	GO term ID	GO term name	GO type
5	5	4.32077599163	-	3.09e-07	GO:0055012	ventricular cardiac muscle cell differentiation	BP
5	5	4.32077599163	-	3.09e-07	GO:0010606	positive regulation of cytoplasmic mRNA processing body assembly	BP
4	4	4.32077599163	-	6.22e-06	GO:0030578	PML body organization	BP
4	4	4.32077599163	-	6.22e-06	GO:0060534	trachea cartilage development	BP
3	3	4.32077599163	-	1.25e-04	GO:0060745	mammary gland branching involved in pregnancy	BP
3	3	4.32077599163	-	1.25e-04	GO:0072539	T-helper 17 cell differentiation	BP
3	3	4.32077599163	-	1.25e-04	GO:0010871	negative regulation of receptor biosynthetic process	BP
3	3	4.32077599163	-	1.25e-04	GO:0061198	fungiform papilla formation	BP
3	3	4.32077599163	-	1.25e-04	GO:2001141	regulation of RNA biosynthetic process	BP
3	3	4.32077599163	-	1.25e-04	GO:0018076	N-terminal peptidyl-lysine acetylation	BP
3	3	4.32077599163	-	1.25e-04	GO:0002068	glandular epithelial cell development	BP
2	2	4.32077599163	-	2.50e-03	GO:2001055	positive regulation of mesenchymal cell apoptotic process	BP
2	2	4.32077599163	-	2.50e-03	GO:0008050	female courtship behavior	BP
2	2	4.32077599163	-	2.50e-03	GO:0072182	regulation of nephron tubule epithelial cell differentiation	BP
2	2	4.32077599163	-	2.50e-03	GO:0090427	activation of meiosis	BP
2	2	4.32077599163	-	2.50e-03	GO:0055092	sterol homeostasis	BP
2	2	4.32077599163	-	2.50e-03	GO:0036315	cellular response to sterol	BP
2	2	4.32077599163	-	2.50e-03	GO:0034971	histone H3-R17 methylation	BP
2	2	4.32077599163	-	2.50e-03	GO:0032916	positive regulation of transforming growth factor beta3 production	BP
2	2	4.32077599163	-	2.50e-03	GO:0035947	regulation of gluconeogenesis by regulation of transcription from RNA polymerase II promoter	BP
2	2	4.32077599163	-	2.50e-03	GO:2000327	positive regulation of ligand-dependent nuclear receptor transcription coactivator activity	BP
2	2	4.32077599163	-	2.50e-03	GO:0061145	lung smooth muscle development	BP
2	2	4.32077599163	-	2.50e-03	GO:0048145	regulation of fibroblast proliferation	BP
2	2	4.32077599163	-	2.50e-03	GO:1901558	response to metformin	BP
2	2	4.32077599163	-	2.50e-03	GO:0061614	pri-miRNA transcription from RNA polymerase II promoter	BP
2	2	4.32077599163	-	2.50e-03	GO:0061308	cardiac neural crest cell development involved in heart development	BP
2	2	4.32077599163	-	2.50e-03	GO:1904017	cellular response to Thyroglobulin triiodothyronine	BP
2	2	4.32077599163	-	2.50e-03	GO:0048340	paraxial mesoderm morphogenesis	BP
2	2	4.32077599163	-	2.50e-03	GO:2000017	positive regulation of determination of dorsal identity	BP
2	2	4.32077599163	-	2.50e-03	GO:0060577	pulmonary vein morphogenesis	BP
2	2	4.32077599163	-	2.50e-03	GO:0007070	negative regulation of transcription from RNA polymerase II promoter during mitotic cell cycle	BP
2	2	4.32077599163	-	2.50e-03	GO:0002268	follicular dendritic cell differentiation	BP
2	2	4.32077599163	-	2.50e-03	GO:0038183	bile acid signaling pathway	BP
2	2	4.32077599163	-	2.50e-03	GO:0060532	bronchus cartilage development	BP
2	2	4.32077599163	-	2.50e-03	GO:0060251	regulation of glial cell proliferation	BP
2	2	4.32077599163	-	2.50e-03	GO:0021514	ventral spinal cord interneuron differentiation	BP
2	2	4.32077599163	-	2.50e-03	GO:0003218	cardiac left ventricle formation	BP
2	2	4.32077599163	-	2.50e-03	GO:1990791	dorsal root ganglion development	BP
2	2	4.32077599163	-	2.50e-03	GO:0072368	regulation of lipid transport by negative regulation of transcription from RNA polymerase II promoter	BP
2	2	4.32077599163	-	2.50e-03	GO:0060849	regulation of transcription involved in lymphatic endothelial cell fate commitment	BP
2	2	4.32077599163	-	2.50e-03	GO:0044027	hypermethylation of CpG island	BP
2	2	4.32077599163	-	2.50e-03	GO:0086098	angiotensin-activated signaling pathway involved in heart process	BP
2	2	4.32077599163	-	2.50e-03	GO:0060713	labyrinthine layer morphogenesis	BP
