# num of genes	num of total genes	Log of odds ratio	P-value	Adjusted p-value	GO term ID	GO term name	GO type
4	4	3.78335187967	-	2.77e-05	GO:0035791	platelet-derived growth factor receptor-beta signaling pathway	BP
4	4	3.78335187967	-	2.77e-05	GO:0051098	regulation of binding	BP
3	3	3.78335187967	-	3.82e-04	GO:0070141	response to UV-A	BP
3	3	3.78335187967	-	3.82e-04	GO:0006549	isoleucine metabolic process	BP
3	3	3.78335187967	-	3.82e-04	GO:0000255	allantoin metabolic process	BP
3	3	3.78335187967	-	3.82e-04	GO:0002902	regulation of B cell apoptotic process	BP
3	3	3.78335187967	-	3.82e-04	GO:0060168	positive regulation of adenosine receptor signaling pathway	BP
3	3	3.78335187967	-	3.82e-04	GO:2000973	regulation of pro-B cell differentiation	BP
3	3	3.78335187967	-	3.82e-04	GO:0038145	macrophage colony-stimulating factor signaling pathway	BP
2	2	3.78335187967	-	5.27e-03	GO:0001865	NK T cell differentiation	BP
2	2	3.78335187967	-	5.27e-03	GO:0060667	branch elongation involved in salivary gland morphogenesis	BP
2	2	3.78335187967	-	5.27e-03	GO:0071226	cellular response to molecule of fungal origin	BP
2	2	3.78335187967	-	5.27e-03	GO:0071221	cellular response to bacterial lipopeptide	BP
2	2	3.78335187967	-	5.27e-03	GO:0060595	fibroblast growth factor receptor signaling pathway involved in mammary gland specification	BP
2	2	3.78335187967	-	5.27e-03	GO:0098868	bone growth	BP
2	2	3.78335187967	-	5.27e-03	GO:0010652	positive regulation of cell communication by chemical coupling	BP
2	2	3.78335187967	-	5.27e-03	GO:0060512	prostate gland morphogenesis	BP
2	2	3.78335187967	-	5.27e-03	GO:0032959	inositol trisphosphate biosynthetic process	BP
2	2	3.78335187967	-	5.27e-03	GO:0045066	regulatory T cell differentiation	BP
2	2	3.78335187967	-	5.27e-03	GO:0060915	mesenchymal cell differentiation involved in lung development	BP
2	2	3.78335187967	-	5.27e-03	GO:0034391	regulation of smooth muscle cell apoptotic process	BP
2	2	3.78335187967	-	5.27e-03	GO:0002327	immature B cell differentiation	BP
2	2	3.78335187967	-	5.27e-03	GO:0033277	abortive mitotic cell cycle	BP
2	2	3.78335187967	-	5.27e-03	GO:0019049	evasion or tolerance of host defenses by virus	BP
2	2	3.78335187967	-	5.27e-03	GO:0090218	positive regulation of lipid kinase activity	BP
2	2	3.78335187967	-	5.27e-03	GO:0032817	regulation of natural killer cell proliferation	BP
2	2	3.78335187967	-	5.27e-03	GO:0070352	positive regulation of white fat cell proliferation	BP
2	2	3.78335187967	-	5.27e-03	GO:0036493	positive regulation of translation in response to endoplasmic reticulum stress	BP
2	2	3.78335187967	-	5.27e-03	GO:0032615	interleukin-12 production	BP
2	2	3.78335187967	-	5.27e-03	GO:0005986	sucrose biosynthetic process	BP
2	2	3.78335187967	-	5.27e-03	GO:0061308	cardiac neural crest cell development involved in heart development	BP
2	2	3.78335187967	-	5.27e-03	GO:0031959	mineralocorticoid receptor signaling pathway	BP
2	2	3.78335187967	-	5.27e-03	GO:0038179	neurotrophin signaling pathway	BP
2	2	3.78335187967	-	5.27e-03	GO:0048340	paraxial mesoderm morphogenesis	BP
2	2	3.78335187967	-	5.27e-03	GO:1990051	activation of protein kinase C activity	BP
2	2	3.78335187967	-	5.27e-03	GO:0050906	detection of stimulus involved in sensory perception	BP
2	2	3.78335187967	-	5.27e-03	GO:1902728	positive regulation of growth factor dependent skeletal muscle satellite cell proliferation	BP
2	2	3.78335187967	-	5.27e-03	GO:0033003	regulation of mast cell activation	BP
2	2	3.78335187967	-	5.27e-03	GO:0038188	cholecystokinin signaling pathway	BP
2	2	3.78335187967	-	5.27e-03	GO:1902202	regulation of hepatocyte growth factor receptor signaling pathway	BP
2	2	3.78335187967	-	5.27e-03	GO:0035607	fibroblast growth factor receptor signaling pathway involved in orbitofrontal cortex development	BP
2	2	3.78335187967	-	5.27e-03	GO:0032878	regulation of establishment or maintenance of cell polarity	BP
2	2	3.78335187967	-	5.27e-03	GO:0038109	Kit signaling pathway	BP
2	2	3.78335187967	-	5.27e-03	GO:0048378	regulation of lateral mesodermal cell fate specification	BP
2	2	3.78335187967	-	5.27e-03	GO:0060615	mammary gland bud formation	BP
2	2	3.78335187967	-	5.27e-03	GO:0035728	response to hepatocyte growth factor	BP
2	2	3.78335187967	-	5.27e-03	GO:0003365	establishment of cell polarity involved in ameboidal cell migration	BP
2	2	3.78335187967	-	5.27e-03	GO:0002752	cell surface pattern recognition receptor signaling pathway	BP
2	2	3.78335187967	-	5.27e-03	GO:0086098	angiotensin-activated signaling pathway involved in heart process	BP
2	2	3.78335187967	-	5.27e-03	GO:0010966	regulation of phosphate transport	BP
1	1	3.78335187967	-	7.26e-02	GO:0060268	negative regulation of respiratory burst	BP
1	1	3.78335187967	-	7.26e-02	GO:0099641	anterograde axonal protein transport	BP
1	1	3.78335187967	-	7.26e-02	GO:1902215	negative regulation of interleukin-4-mediated signaling pathway	BP
1	1	3.78335187967	-	7.26e-02	GO:0010752	regulation of cGMP-mediated signaling	BP
1	1	3.78335187967	-	7.26e-02	GO:0010758	regulation of macrophage chemotaxis	BP
1	1	3.78335187967	-	7.26e-02	GO:0039650	suppression by virus of host cysteine-type endopeptidase activity involved in apoptotic process	BP
1	1	3.78335187967	-	7.26e-02	GO:0002333	transitional one stage B cell differentiation	BP
1	1	3.78335187967	-	7.26e-02	GO:0071351	cellular response to interleukin-18	BP
1	1	3.78335187967	-	7.26e-02	GO:2000646	positive regulation of receptor catabolic process	BP
1	1	3.78335187967	-	7.26e-02	GO:0021814	cell motility involved in cerebral cortex radial glia guided migration	BP
1	1	3.78335187967	-	7.26e-02	GO:0046824	positive regulation of nucleocytoplasmic transport	BP
1	1	3.78335187967	-	7.26e-02	GO:0061326	renal tubule development	BP
1	1	3.78335187967	-	7.26e-02	GO:0061324	canonical Wnt signaling pathway involved in positive regulation of cardiac outflow tract cell proliferation	BP
1	1	3.78335187967	-	7.26e-02	GO:1903286	regulation of potassium ion import	BP
1	1	3.78335187967	-	7.26e-02	GO:0060496	mesenchymal-epithelial cell signaling involved in lung development	BP
1	1	3.78335187967	-	7.26e-02	GO:0002371	dendritic cell cytokine production	BP
1	1	3.78335187967	-	7.26e-02	GO:0050857	positive regulation of antigen receptor-mediated signaling pathway	BP
1	1	3.78335187967	-	7.26e-02	GO:0046631	alpha-beta T cell activation	BP
1	1	3.78335187967	-	7.26e-02	GO:0086055	Purkinje myocyte to ventricular cardiac muscle cell communication by electrical coupling	BP
1	1	3.78335187967	-	7.26e-02	GO:0086054	bundle of His cell to Purkinje myocyte communication by electrical coupling	BP
1	1	3.78335187967	-	7.26e-02	GO:0035790	platelet-derived growth factor receptor-alpha signaling pathway	BP
1	1	3.78335187967	-	7.26e-02	GO:0001980	regulation of systemic arterial blood pressure by ischemic conditions	BP
1	1	3.78335187967	-	7.26e-02	GO:0003174	mitral valve development	BP
1	1	3.78335187967	-	7.26e-02	GO:0097254	renal tubular secretion	BP
1	1	3.78335187967	-	7.26e-02	GO:0061360	optic chiasma development	BP
1	1	3.78335187967	-	7.26e-02	GO:1903249	negative regulation of citrulline biosynthetic process	BP
1	1	3.78335187967	-	7.26e-02	GO:0061582	intestinal epithelial cell migration	BP
1	1	3.78335187967	-	7.26e-02	GO:0046544	development of secondary male sexual characteristics	BP
1	1	3.78335187967	-	7.26e-02	GO:0038154	interleukin-11-mediated signaling pathway	BP
1	1	3.78335187967	-	7.26e-02	GO:0070447	positive regulation of oligodendrocyte progenitor proliferation	BP
1	1	3.78335187967	-	7.26e-02	GO:0098906	regulation of Purkinje myocyte action potential	BP
1	1	3.78335187967	-	7.26e-02	GO:0098902	regulation of membrane depolarization during action potential	BP
1	1	3.78335187967	-	7.26e-02	GO:0003284	septum primum development	BP
1	1	3.78335187967	-	7.26e-02	GO:0032361	pyridoxal phosphate catabolic process	BP
1	1	3.78335187967	-	7.26e-02	GO:0070304	positive regulation of stress-activated protein kinase signaling cascade	BP
1	1	3.78335187967	-	7.26e-02	GO:1904206	positive regulation of skeletal muscle hypertrophy	BP
1	1	3.78335187967	-	7.26e-02	GO:0033184	positive regulation of histone ubiquitination	BP
1	1	3.78335187967	-	7.26e-02	GO:0010021	amylopectin biosynthetic process	BP
1	1	3.78335187967	-	7.26e-02	GO:0032773	positive regulation of monophenol monooxygenase activity	BP
1	1	3.78335187967	-	7.26e-02	GO:0043610	regulation of carbohydrate utilization	BP
