# num of genes	num of total genes	Log of odds ratio	P-value	Adjusted p-value	GO term ID	GO term name	GO type
2	2	5.31868361267	-	6.26e-04	GO:0098868	bone growth	BP
2	2	5.31868361267	-	6.26e-04	GO:0090218	positive regulation of lipid kinase activity	BP
2	2	5.31868361267	-	6.26e-04	GO:0032615	interleukin-12 production	BP
2	2	5.31868361267	-	6.26e-04	GO:0005986	sucrose biosynthetic process	BP
2	2	5.31868361267	-	6.26e-04	GO:0038188	cholecystokinin signaling pathway	BP
2	2	5.31868361267	-	6.26e-04	GO:0032878	regulation of establishment or maintenance of cell polarity	BP
2	2	5.31868361267	-	6.26e-04	GO:0002752	cell surface pattern recognition receptor signaling pathway	BP
1	1	5.31868361267	-	2.51e-02	GO:2000646	positive regulation of receptor catabolic process	BP
1	1	5.31868361267	-	2.51e-02	GO:0086055	Purkinje myocyte to ventricular cardiac muscle cell communication by electrical coupling	BP
1	1	5.31868361267	-	2.51e-02	GO:0086054	bundle of His cell to Purkinje myocyte communication by electrical coupling	BP
1	1	5.31868361267	-	2.51e-02	GO:0003174	mitral valve development	BP
1	1	5.31868361267	-	2.51e-02	GO:0061582	intestinal epithelial cell migration	BP
1	1	5.31868361267	-	2.51e-02	GO:0098906	regulation of Purkinje myocyte action potential	BP
1	1	5.31868361267	-	2.51e-02	GO:0003284	septum primum development	BP
1	1	5.31868361267	-	2.51e-02	GO:0032361	pyridoxal phosphate catabolic process	BP
1	1	5.31868361267	-	2.51e-02	GO:1904206	positive regulation of skeletal muscle hypertrophy	BP
1	1	5.31868361267	-	2.51e-02	GO:0010021	amylopectin biosynthetic process	BP
1	1	5.31868361267	-	2.51e-02	GO:0032773	positive regulation of monophenol monooxygenase activity	BP
1	1	5.31868361267	-	2.51e-02	GO:0043610	regulation of carbohydrate utilization	BP
1	1	5.31868361267	-	2.51e-02	GO:1904075	positive regulation of trophectodermal cell proliferation	BP
1	1	5.31868361267	-	2.51e-02	GO:1905313	transforming growth factor beta receptor signaling pathway involved in heart development	BP
1	1	5.31868361267	-	2.51e-02	GO:0002840	regulation of T cell mediated immune response to tumor cell	BP
1	1	5.31868361267	-	2.51e-02	GO:0035711	T-helper 1 cell activation	BP
1	1	5.31868361267	-	2.51e-02	GO:2000486	negative regulation of glutamine transport	BP
1	1	5.31868361267	-	2.51e-02	GO:0043371	negative regulation of CD4-positive, alpha-beta T cell differentiation	BP
1	1	5.31868361267	-	2.51e-02	GO:0042774	plasma membrane ATP synthesis coupled electron transport	BP
1	1	5.31868361267	-	2.51e-02	GO:0032072	regulation of restriction endodeoxyribonuclease activity	BP
1	1	5.31868361267	-	2.51e-02	GO:0000097	sulfur amino acid biosynthetic process	BP
1	1	5.31868361267	-	2.51e-02	GO:0033028	myeloid cell apoptotic process	BP
1	1	5.31868361267	-	2.51e-02	GO:0006055	CMP-N-acetylneuraminate biosynthetic process	BP
1	1	5.31868361267	-	2.51e-02	GO:1990774	tumor necrosis factor secretion	BP
1	1	5.31868361267	-	2.51e-02	GO:1901666	positive regulation of NAD+ ADP-ribosyltransferase activity	BP
1	1	5.31868361267	-	2.51e-02	GO:1900133	regulation of renin secretion into blood stream	BP
1	1	5.31868361267	-	2.51e-02	GO:1904651	positive regulation of fat cell apoptotic process	BP
1	1	5.31868361267	-	2.51e-02	GO:0002460	adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains	BP
1	1	5.31868361267	-	2.51e-02	GO:0051796	negative regulation of timing of catagen	BP
1	1	5.31868361267	-	2.51e-02	GO:0060709	glycogen cell differentiation involved in embryonic placenta development	BP
1	1	5.31868361267	-	2.51e-02	GO:0036399	TCR signalosome assembly	BP
1	1	5.31868361267	-	2.51e-02	GO:1905045	negative regulation of Schwann cell proliferation involved in axon regeneration	BP
1	1	5.31868361267	-	2.51e-02	GO:2000655	negative regulation of cellular response to testosterone stimulus	BP
1	1	5.31868361267	-	2.51e-02	GO:0014896	muscle hypertrophy	BP
1	1	5.31868361267	-	2.51e-02	GO:0032667	regulation of interleukin-23 production	BP
1	1	5.31868361267	-	2.51e-02	GO:1990402	embryonic liver development	BP
1	1	5.31868361267	-	2.51e-02	GO:0010533	regulation of activation of Janus kinase activity	BP
1	1	5.31868361267	-	2.51e-02	GO:1903755	positive regulation of SUMO transferase activity	BP
1	1	5.31868361267	-	2.51e-02	GO:1903911	positive regulation of receptor clustering	BP
1	1	5.31868361267	-	2.51e-02	GO:0032814	regulation of natural killer cell activation	BP
1	1	5.31868361267	-	2.51e-02	GO:1990029	vasomotion	BP
1	1	5.31868361267	-	2.51e-02	GO:1904213	negative regulation of iodide transmembrane transport	BP
1	1	5.31868361267	-	2.51e-02	GO:0060283	negative regulation of oocyte development	BP
1	1	5.31868361267	-	2.51e-02	GO:2000753	positive regulation of glucosylceramide catabolic process	BP
1	1	5.31868361267	-	2.51e-02	GO:2000755	positive regulation of sphingomyelin catabolic process	BP
1	1	5.31868361267	-	2.51e-02	GO:0048611	embryonic ectodermal digestive tract development	BP
1	1	5.31868361267	-	2.51e-02	GO:0060587	regulation of lipoprotein lipid oxidation	BP
1	1	5.31868361267	-	2.51e-02	GO:0061185	negative regulation of dermatome development	BP
1	1	5.31868361267	-	2.51e-02	GO:1901389	negative regulation of transforming growth factor beta activation	BP
1	1	5.31868361267	-	2.51e-02	GO:0046318	negative regulation of glucosylceramide biosynthetic process	BP
1	1	5.31868361267	-	2.51e-02	GO:0051838	cytolysis by host of symbiont cells	BP
1	1	5.31868361267	-	2.51e-02	GO:1905208	negative regulation of cardiocyte differentiation	BP
1	1	5.31868361267	-	2.51e-02	GO:0090367	negative regulation of mRNA modification	BP
1	1	5.31868361267	-	2.51e-02	GO:2000351	regulation of endothelial cell apoptotic process	BP
1	1	5.31868361267	-	2.51e-02	GO:0003409	optic cup structural organization	BP
1	1	5.31868361267	-	2.51e-02	GO:1900163	positive regulation of phospholipid scramblase activity	BP
1	1	5.31868361267	-	2.51e-02	GO:0009817	defense response to fungus, incompatible interaction	BP
1	1	5.31868361267	-	2.51e-02	GO:1902910	positive regulation of melanosome transport	BP
1	1	5.31868361267	-	2.51e-02	GO:0060901	regulation of hair cycle by canonical Wnt signaling pathway	BP
1	1	5.31868361267	-	2.51e-02	GO:0006343	establishment of chromatin silencing	BP
1	1	5.31868361267	-	2.51e-02	GO:0035409	histone H3-Y41 phosphorylation	BP
1	1	5.31868361267	-	2.51e-02	GO:0072428	signal transduction involved in intra-S DNA damage checkpoint	BP
1	1	5.31868361267	-	2.51e-02	GO:1903926	cellular response to bisphenol A	BP
1	1	5.31868361267	-	2.51e-02	GO:0098968	neurotransmitter receptor transport postsynaptic membrane to endosome	BP
1	1	5.31868361267	-	2.51e-02	GO:1904197	positive regulation of granulosa cell proliferation	BP
1	1	5.31868361267	-	2.51e-02	GO:1904193	negative regulation of cholangiocyte apoptotic process	BP
1	1	5.31868361267	-	2.51e-02	GO:1904056	positive regulation of cholangiocyte proliferation	BP
1	1	5.31868361267	-	2.51e-02	GO:0051463	negative regulation of cortisol secretion	BP
1	1	5.31868361267	-	2.51e-02	GO:1901563	response to camptothecin	BP
1	1	5.31868361267	-	2.51e-02	GO:1901976	regulation of cell cycle checkpoint	BP
1	1	5.31868361267	-	2.51e-02	GO:0003311	pancreatic D cell differentiation	BP
1	1	5.31868361267	-	2.51e-02	GO:1904635	positive regulation of glomerular visceral epithelial cell apoptotic process	BP
1	1	5.31868361267	-	2.51e-02	GO:2001145	negative regulation of phosphatidylinositol-3,4,5-trisphosphate 5-phosphatase activity	BP
1	1	5.31868361267	-	2.51e-02	GO:0090104	pancreatic epsilon cell differentiation	BP
1	1	5.31868361267	-	2.51e-02	GO:2000118	regulation of sodium-dependent phosphate transport	BP
1	1	5.31868361267	-	2.51e-02	GO:2000119	negative regulation of sodium-dependent phosphate transport	BP
1	1	5.31868361267	-	2.51e-02	GO:2000808	negative regulation of synaptic vesicle clustering	BP
1	1	5.31868361267	-	2.51e-02	GO:0070512	positive regulation of histone H4-K20 methylation	BP
1	1	5.31868361267	-	2.51e-02	GO:0001971	negative regulation of activation of membrane attack complex	BP
1	1	5.31868361267	-	2.51e-02	GO:0002152	bile acid conjugation	BP
1	1	5.31868361267	-	2.51e-02	GO:1901723	negative regulation of cell proliferation involved in kidney development	BP
1	1	5.31868361267	-	2.51e-02	GO:0086044	atrial cardiac muscle cell to AV node cell communication by electrical coupling	BP
1	1	5.31868361267	-	2.51e-02	GO:0071441	negative regulation of histone H3-K14 acetylation	BP
1	1	5.31868361267	-	2.51e-02	GO:1901863	positive regulation of muscle tissue development	BP
1	1	5.31868361267	-	2.51e-02	GO:0003294	atrial ventricular junction remodeling	BP
1	1	5.31868361267	-	2.51e-02	GO:0071873	response to norepinephrine	BP
1	1	5.31868361267	-	2.51e-02	GO:0071250	cellular response to nitrite	BP
1	1	5.31868361267	-	2.51e-02	GO:0060400	negative regulation of growth hormone receptor signaling pathway	BP
1	1	5.31868361267	-	2.51e-02	GO:0100002	negative regulation of protein kinase activity by protein phosphorylation	BP
1	1	5.31868361267	-	2.51e-02	GO:1903632	positive regulation of aminoacyl-tRNA ligase activity	BP
1	1	5.31868361267	-	2.51e-02	GO:0035491	positive regulation of leukotriene production involved in inflammatory response	BP
1	1	5.31868361267	-	2.51e-02	GO:0051531	NFAT protein import into nucleus	BP
1	1	5.31868361267	-	2.51e-02	GO:0048241	epinephrine transport	BP
1	1	5.31868361267	-	2.51e-02	GO:2000184	positive regulation of progesterone biosynthetic process	BP
1	1	5.31868361267	-	2.51e-02	GO:0060751	branch elongation involved in mammary gland duct branching	BP
1	1	5.31868361267	-	2.51e-02	GO:0032535	regulation of cellular component size	BP
1	1	5.31868361267	-	2.51e-02	GO:0071298	cellular response to L-ascorbic acid	BP
1	1	5.31868361267	-	2.51e-02	GO:1901860	positive regulation of mitochondrial DNA metabolic process	BP
1	1	5.31868361267	-	2.51e-02	GO:1900148	negative regulation of Schwann cell migration	BP
1	1	5.31868361267	-	2.51e-02	GO:0009441	glycolate metabolic process	BP
1	1	5.31868361267	-	2.51e-02	GO:0002270	plasmacytoid dendritic cell activation	BP
2	2	5.31868361267	-	6.26e-04	GO:0004951	cholecystokinin receptor activity	MF
2	2	5.31868361267	-	6.26e-04	GO:0047322	[hydroxymethylglutaryl-CoA reductase (NADPH)] kinase activity	MF
2	2	5.31868361267	-	6.26e-04	GO:0042132	fructose 1,6-bisphosphate 1-phosphatase activity	MF
2	2	5.31868361267	-	6.26e-04	GO:0050405	[acetyl-CoA carboxylase] kinase activity	MF
1	1	5.31868361267	-	2.51e-02	GO:0001011	transcription factor activity, sequence-specific DNA binding, RNA polymerase recruiting	MF
1	1	5.31868361267	-	2.51e-02	GO:0035033	histone deacetylase regulator activity	MF
1	1	5.31868361267	-	2.51e-02	GO:0004508	steroid 17-alpha-monooxygenase activity	MF
1	1	5.31868361267	-	2.51e-02	GO:0052816	long-chain acyl-CoA hydrolase activity	MF
1	1	5.31868361267	-	2.51e-02	GO:0052817	very long chain acyl-CoA hydrolase activity	MF
1	1	5.31868361267	-	2.51e-02	GO:0002135	CTP binding	MF
1	1	5.31868361267	-	2.51e-02	GO:0001087	transcription factor activity, TFIIB-class binding	MF
1	1	5.31868361267	-	2.51e-02	GO:0004900	erythropoietin receptor activity	MF
1	1	5.31868361267	-	2.51e-02	GO:0001626	nociceptin receptor activity	MF
1	1	5.31868361267	-	2.51e-02	GO:0050462	N-acetylneuraminate synthase activity	MF
1	1	5.31868361267	-	2.51e-02	GO:0047444	N-acylneuraminate-9-phosphate synthase activity	MF
1	1	5.31868361267	-	2.51e-02	GO:0047442	17-alpha-hydroxyprogesterone aldolase activity	MF
1	1	5.31868361267	-	2.51e-02	GO:0061656	SUMO conjugating enzyme activity	MF
1	1	5.31868361267	-	2.51e-02	GO:0086079	gap junction channel activity involved in Purkinje myocyte-ventricular cardiac muscle cell electrical coupling	MF
1	1	5.31868361267	-	2.51e-02	GO:0086078	gap junction channel activity involved in bundle of His cell-Purkinje myocyte electrical coupling	MF
1	1	5.31868361267	-	2.51e-02	GO:0086076	gap junction channel activity involved in atrial cardiac muscle cell-AV node cell electrical coupling	MF
1	1	5.31868361267	-	2.51e-02	GO:0035401	histone kinase activity (H3-Y41 specific)	MF
1	1	5.31868361267	-	2.51e-02	GO:0004728	signal transducer, downstream of receptor, with protein tyrosine phosphatase activity	MF
1	1	5.31868361267	-	2.51e-02	GO:0017172	cysteine dioxygenase activity	MF
1	1	5.31868361267	-	2.51e-02	GO:0005009	insulin-activated receptor activity	MF
1	1	5.31868361267	-	2.51e-02	GO:0061609	fructose-1-phosphate aldolase activity	MF
1	1	5.31868361267	-	2.51e-02	GO:0031687	A2A adenosine receptor binding	MF
1	1	5.31868361267	-	2.51e-02	GO:0016430	tRNA (adenine-N6-)-methyltransferase activity	MF
1	1	5.31868361267	-	2.51e-02	GO:0010858	calcium-dependent protein kinase regulator activity	MF
1	1	5.31868361267	-	2.51e-02	GO:0050379	UDP-glucuronate 5'-epimerase activity	MF
1	1	5.31868361267	-	2.51e-02	GO:0031741	type B gastrin/cholecystokinin receptor binding	MF
1	1	5.31868361267	-	2.51e-02	GO:0015054	gastrin receptor activity	MF
1	1	5.31868361267	-	2.51e-02	GO:0038021	leptin receptor activity	MF
1	1	5.31868361267	-	2.51e-02	GO:0047464	heparosan-N-sulfate-glucuronate 5-epimerase activity	MF
1	1	5.31868361267	-	2.51e-02	GO:0047963	glycine N-choloyltransferase activity	MF
6	7	5.09629119133	-	1.62e-09	GO:0004679	AMP-activated protein kinase activity	MF
4	6	4.73372111195	-	5.58e-06	GO:0033210	leptin-mediated signaling pathway	BP
2	3	4.73372111195	-	6.26e-04	GO:0002803	positive regulation of antibacterial peptide production	BP
2	3	4.73372111195	-	1.85e-03	GO:0070141	response to UV-A	BP
2	3	4.73372111195	-	1.85e-03	GO:2000973	regulation of pro-B cell differentiation	BP
2	3	4.73372111195	-	1.85e-03	GO:0021697	cerebellar cortex formation	BP
4	6	4.73372111195	-	1.90e-06	GO:0046935	1-phosphatidylinositol-3-kinase regulator activity	MF
2	3	4.73372111195	-	1.85e-03	GO:0001156	TFIIIC-class transcription factor binding	MF
2	3	4.73372111195	-	1.85e-03	GO:0055100	adiponectin binding	MF
2	3	4.73372111195	-	1.85e-03	GO:0001030	RNA polymerase III type 1 promoter DNA binding	MF
2	3	4.73372111195	-	1.85e-03	GO:0001031	RNA polymerase III type 2 promoter DNA binding	MF
2	3	4.73372111195	-	1.85e-03	GO:0043398	HLH domain binding	MF
7	11	4.66660691609	-	1.77e-09	GO:0043560	insulin receptor substrate binding	MF
3	5	4.5817180185	-	1.50e-04	GO:0090335	regulation of brown fat cell differentiation	BP
3	5	4.5817180185	-	1.50e-04	GO:0030235	nitric-oxide synthase regulator activity	MF
4	7	4.51132869061	-	5.58e-06	GO:0043551	regulation of phosphatidylinositol 3-kinase activity	BP
2	4	4.31868361267	-	1.85e-03	GO:2000757	negative regulation of peptidyl-lysine acetylation	BP
2	4	4.31868361267	-	1.85e-03	GO:1904058	positive regulation of sensory perception of pain	BP
2	4	4.31868361267	-	3.63e-03	GO:0043201	response to leucine	BP
2	4	4.31868361267	-	3.63e-03	GO:0032079	positive regulation of endodeoxyribonuclease activity	BP
2	4	4.31868361267	-	3.63e-03	GO:0006344	maintenance of chromatin silencing	BP
2	4	4.31868361267	-	3.63e-03	GO:0035404	histone-serine phosphorylation	BP
2	4	4.31868361267	-	3.63e-03	GO:0014878	response to electrical stimulus involved in regulation of muscle adaptation	BP
2	4	4.31868361267	-	3.63e-03	GO:0010748	negative regulation of plasma membrane long-chain fatty acid transport	BP
2	4	4.31868361267	-	3.63e-03	GO:0048679	regulation of axon regeneration	BP
2	4	4.31868361267	-	3.63e-03	GO:0021955	central nervous system neuron axonogenesis	BP
1	2	4.31868361267	-	2.51e-02	GO:0070564	positive regulation of vitamin D receptor signaling pathway	BP
1	2	4.31868361267	-	2.51e-02	GO:0044381	glucose import in response to insulin stimulus	BP
1	2	4.31868361267	-	2.51e-02	GO:0051446	positive regulation of meiotic cell cycle	BP
1	2	4.31868361267	-	2.51e-02	GO:0033594	response to hydroxyisoflavone	BP
1	2	4.31868361267	-	2.51e-02	GO:1901857	positive regulation of cellular respiration	BP
1	2	4.31868361267	-	2.51e-02	GO:0021623	oculomotor nerve formation	BP
1	2	4.31868361267	-	2.51e-02	GO:0003050	regulation of systemic arterial blood pressure by atrial natriuretic peptide	BP
1	2	4.31868361267	-	2.51e-02	GO:0002228	natural killer cell mediated immunity	BP
1	2	4.31868361267	-	2.51e-02	GO:0032528	microvillus organization	BP
1	2	4.31868361267	-	2.51e-02	GO:0002769	natural killer cell inhibitory signaling pathway	BP
1	2	4.31868361267	-	2.51e-02	GO:1904639	cellular response to resveratrol	BP
1	2	4.31868361267	-	2.51e-02	GO:0035358	regulation of peroxisome proliferator activated receptor signaling pathway	BP
1	2	4.31868361267	-	2.51e-02	GO:0002720	positive regulation of cytokine production involved in immune response	BP
1	2	4.31868361267	-	2.51e-02	GO:0034165	positive regulation of toll-like receptor 9 signaling pathway	BP
1	2	4.31868361267	-	2.51e-02	GO:0042595	behavioral response to starvation	BP
1	2	4.31868361267	-	2.51e-02	GO:0090276	regulation of peptide hormone secretion	BP
1	2	4.31868361267	-	2.51e-02	GO:1902613	negative regulation of anti-Mullerian hormone signaling pathway	BP
1	2	4.31868361267	-	2.51e-02	GO:0031658	negative regulation of cyclin-dependent protein serine/threonine kinase activity involved in G1/S transition of mitotic cell cycle	BP
1	2	4.31868361267	-	2.51e-02	GO:0002879	positive regulation of acute inflammatory response to non-antigenic stimulus	BP
1	2	4.31868361267	-	2.51e-02	GO:0010623	programmed cell death involved in cell development	BP
1	2	4.31868361267	-	4.95e-02	GO:1904956	regulation of midbrain dopaminergic neuron differentiation	BP
1	2	4.31868361267	-	4.95e-02	GO:0017055	negative regulation of RNA polymerase II transcriptional preinitiation complex assembly	BP
1	2	4.31868361267	-	4.95e-02	GO:0001776	leukocyte homeostasis	BP
1	2	4.31868361267	-	4.95e-02	GO:1904527	negative regulation of microtubule binding	BP
1	2	4.31868361267	-	4.95e-02	GO:0086053	AV node cell to bundle of His cell communication by electrical coupling	BP
1	2	4.31868361267	-	4.95e-02	GO:0060341	regulation of cellular localization	BP
1	2	4.31868361267	-	4.95e-02	GO:0098905	regulation of bundle of His cell action potential	BP
1	2	4.31868361267	-	4.95e-02	GO:0046732	active induction of host immune response by virus	BP
1	2	4.31868361267	-	4.95e-02	GO:0071417	cellular response to organonitrogen compound	BP
1	2	4.31868361267	-	4.95e-02	GO:0044818	mitotic G2/M transition checkpoint	BP
1	2	4.31868361267	-	4.95e-02	GO:0043331	response to dsRNA	BP
1	2	4.31868361267	-	4.95e-02	GO:0021681	cerebellar granular layer development	BP
1	2	4.31868361267	-	4.95e-02	GO:0060454	positive regulation of gastric acid secretion	BP
1	2	4.31868361267	-	4.95e-02	GO:0032071	regulation of endodeoxyribonuclease activity	BP
1	2	4.31868361267	-	4.95e-02	GO:0045819	positive regulation of glycogen catabolic process	BP
1	2	4.31868361267	-	4.95e-02	GO:0061035	regulation of cartilage development	BP
1	2	4.31868361267	-	4.95e-02	GO:0009785	blue light signaling pathway	BP
1	2	4.31868361267	-	4.95e-02	GO:0010652	positive regulation of cell communication by chemical coupling	BP
1	2	4.31868361267	-	4.95e-02	GO:0060512	prostate gland morphogenesis	BP
1	2	4.31868361267	-	4.95e-02	GO:0032959	inositol trisphosphate biosynthetic process	BP
1	2	4.31868361267	-	4.95e-02	GO:0023035	CD40 signaling pathway	BP
1	2	4.31868361267	-	4.95e-02	GO:0097107	postsynaptic density assembly	BP
1	2	4.31868361267	-	4.95e-02	GO:0086021	SA node cell to atrial cardiac muscle cell communication by electrical coupling	BP
1	2	4.31868361267	-	4.95e-02	GO:0006116	NADH oxidation	BP
1	2	4.31868361267	-	4.95e-02	GO:0032912	negative regulation of transforming growth factor beta2 production	BP
1	2	4.31868361267	-	4.95e-02	GO:0031393	negative regulation of prostaglandin biosynthetic process	BP
1	2	4.31868361267	-	4.95e-02	GO:0045066	regulatory T cell differentiation	BP
1	2	4.31868361267	-	4.95e-02	GO:0034391	regulation of smooth muscle cell apoptotic process	BP
1	2	4.31868361267	-	4.95e-02	GO:0002327	immature B cell differentiation	BP
1	2	4.31868361267	-	4.95e-02	GO:0032425	positive regulation of mismatch repair	BP
1	2	4.31868361267	-	4.95e-02	GO:1901374	acetate ester transport	BP
1	2	4.31868361267	-	4.95e-02	GO:0030862	positive regulation of polarized epithelial cell differentiation	BP
1	2	4.31868361267	-	4.95e-02	GO:0010934	macrophage cytokine production	BP
1	2	4.31868361267	-	4.95e-02	GO:0048069	eye pigmentation	BP
1	2	4.31868361267	-	4.95e-02	GO:0019087	transformation of host cell by virus	BP
1	2	4.31868361267	-	4.95e-02	GO:0033277	abortive mitotic cell cycle	BP
1	2	4.31868361267	-	4.95e-02	GO:0071624	positive regulation of granulocyte chemotaxis	BP
1	2	4.31868361267	-	4.95e-02	GO:0072604	interleukin-6 secretion	BP
1	2	4.31868361267	-	4.95e-02	GO:0090045	positive regulation of deacetylase activity	BP
1	2	4.31868361267	-	4.95e-02	GO:0019049	evasion or tolerance of host defenses by virus	BP
1	2	4.31868361267	-	4.95e-02	GO:1903033	positive regulation of microtubule plus-end binding	BP
1	2	4.31868361267	-	4.95e-02	GO:0021849	neuroblast division in subventricular zone	BP
1	2	4.31868361267	-	4.95e-02	GO:0032817	regulation of natural killer cell proliferation	BP
1	2	4.31868361267	-	4.95e-02	GO:0002673	regulation of acute inflammatory response	BP
1	2	4.31868361267	-	4.95e-02	GO:1901558	response to metformin	BP
1	2	4.31868361267	-	4.95e-02	GO:0003064	regulation of heart rate by hormone	BP
