# num of genes	num of total genes	Log of odds ratio	P-value	Adjusted p-value	GO term ID	GO term name	GO type
12	12	2.32129956088	-	4.04e-09	GO:0035635	entry of bacterium into host cell	BP
7	7	2.32129956088	-	1.28e-05	GO:2001171	positive regulation of ATP biosynthetic process	BP
7	7	2.32129956088	-	1.28e-05	GO:0032873	negative regulation of stress-activated MAPK cascade	BP
6	6	2.32129956088	-	6.39e-05	GO:2000323	negative regulation of glucocorticoid receptor signaling pathway	BP
3	3	2.32129956088	-	8.00e-03	GO:1902661	positive regulation of glucose mediated signaling pathway	BP
3	3	2.32129956088	-	8.00e-03	GO:0090261	positive regulation of inclusion body assembly	BP
3	3	2.32129956088	-	8.00e-03	GO:0035793	positive regulation of metanephric mesenchymal cell migration by platelet-derived growth factor receptor-beta signaling pathway	BP
3	3	2.32129956088	-	8.00e-03	GO:1904030	negative regulation of cyclin-dependent protein kinase activity	BP
3	3	2.32129956088	-	8.00e-03	GO:0014005	microglia development	BP
3	3	2.32129956088	-	8.00e-03	GO:0001827	inner cell mass cell fate commitment	BP
3	3	2.32129956088	-	8.00e-03	GO:0072277	metanephric glomerular capillary formation	BP
3	3	2.32129956088	-	8.00e-03	GO:1902803	regulation of synaptic vesicle transport	BP
3	3	2.32129956088	-	8.00e-03	GO:2000074	regulation of type B pancreatic cell development	BP
3	3	2.32129956088	-	8.00e-03	GO:0048807	female genitalia morphogenesis	BP
3	3	2.32129956088	-	8.00e-03	GO:2000619	negative regulation of histone H4-K16 acetylation	BP
3	3	2.32129956088	-	8.00e-03	GO:0022898	regulation of transmembrane transporter activity	BP
3	3	2.32129956088	-	8.00e-03	GO:1902263	apoptotic process involved in embryonic digit morphogenesis	BP
3	3	2.32129956088	-	8.00e-03	GO:0045069	regulation of viral genome replication	BP
3	3	2.32129956088	-	8.00e-03	GO:0050801	ion homeostasis	BP
3	3	2.32129956088	-	8.00e-03	GO:0070141	response to UV-A	BP
3	3	2.32129956088	-	8.00e-03	GO:0002366	leukocyte activation involved in immune response	BP
3	3	2.32129956088	-	8.00e-03	GO:1902306	negative regulation of sodium ion transmembrane transport	BP
3	3	2.32129956088	-	8.00e-03	GO:0006549	isoleucine metabolic process	BP
3	3	2.32129956088	-	8.00e-03	GO:0000255	allantoin metabolic process	BP
3	3	2.32129956088	-	8.00e-03	GO:0003157	endocardium development	BP
3	3	2.32129956088	-	8.00e-03	GO:0070433	negative regulation of nucleotide-binding oligomerization domain containing 2 signaling pathway	BP
3	3	2.32129956088	-	8.00e-03	GO:0019724	B cell mediated immunity	BP
3	3	2.32129956088	-	8.00e-03	GO:1990535	neuron projection maintenance	BP
3	3	2.32129956088	-	8.00e-03	GO:0045218	zonula adherens maintenance	BP
3	3	2.32129956088	-	8.00e-03	GO:0061614	pri-miRNA transcription from RNA polymerase II promoter	BP
