#Id Score P-value
1586 1.000000 0.0
6794 0.975099 0.0
5563 0.950677 0.0
3667 0.931401 0.0
6517 0.902645 0.0
5327 0.878875 0.0
3952 0.877363 0.0
6580 0.857424 0.0
5274 0.842053 0.0
1036 0.523565 0.0002191
91151 0.370136 0.0007257
23017 0.362024 0.0007257
384 0.362024 0.0007257
54861 0.362024 0.0007257
126526 0.339737 0.0010888
153443 0.266601 0.0016765
56034 0.264494 0.0016765
114790 0.261083 0.0016765
728294 0.259372 0.0018296
56033 0.257445 0.0018296
57026 0.252112 0.0018296
4536 0.251880 0.0018296
347240 0.248284 0.0022522
514 0.244722 0.0022522
84268 0.235286 0.0023924
92335 0.225390 0.003036
4485 0.213713 0.0034683
2147 0.206574 0.0039797
79142 0.204010 0.0039797
4139 0.203836 0.0039797
55437 0.192668 0.0054227
102724428 0.191255 0.0054227
150094 0.191255 0.0054227
5650 0.187879 0.0087669
9407 0.187035 0.0087669
51094 0.185261 0.0087669
11180 0.183001 0.0087669
29122 0.182459 0.0087669
6482 0.180852 0.0087669
4892 0.180282 0.0087669
8555 0.179852 0.0160628
25803 0.179682 0.0160628
4338 0.178705 0.0160628
1539 0.174605 0.0160628
57402 0.172987 0.0160628
7743 0.172634 0.0160628
27076 0.171997 0.0160628
27248 0.171186 0.0160628
23424 0.168623 0.0214392
84307 0.167525 0.0214392
