# num of genes	num of total genes	Log of odds ratio	P-value	Adjusted p-value	GO term ID	GO term name	GO type
5	5	4.32077599163	-	3.09e-07	GO:0034349	glial cell apoptotic process	BP
3	3	4.32077599163	-	1.25e-04	GO:0045604	regulation of epidermal cell differentiation	BP
3	3	4.32077599163	-	1.25e-04	GO:0018076	N-terminal peptidyl-lysine acetylation	BP
3	3	4.32077599163	-	1.25e-04	GO:0031281	positive regulation of cyclase activity	BP
2	2	4.32077599163	-	2.50e-03	GO:0031503	protein complex localization	BP
2	2	4.32077599163	-	2.50e-03	GO:0072182	regulation of nephron tubule epithelial cell differentiation	BP
2	2	4.32077599163	-	2.50e-03	GO:0098868	bone growth	BP
2	2	4.32077599163	-	2.50e-03	GO:0048563	post-embryonic animal organ morphogenesis	BP
2	2	4.32077599163	-	2.50e-03	GO:0060139	positive regulation of apoptotic process by virus	BP
2	2	4.32077599163	-	2.50e-03	GO:0071174	mitotic spindle checkpoint	BP
2	2	4.32077599163	-	2.50e-03	GO:0090042	tubulin deacetylation	BP
2	2	4.32077599163	-	2.50e-03	GO:0061741	chaperone-mediated protein transport involved in chaperone-mediated autophagy	BP
2	2	4.32077599163	-	2.50e-03	GO:0061518	microglial cell proliferation	BP
2	2	4.32077599163	-	2.50e-03	GO:0032615	interleukin-12 production	BP
2	2	4.32077599163	-	2.50e-03	GO:0021836	chemorepulsion involved in postnatal olfactory bulb interneuron migration	BP
2	2	4.32077599163	-	2.50e-03	GO:0071163	DNA replication preinitiation complex assembly	BP
2	2	4.32077599163	-	2.50e-03	GO:0061308	cardiac neural crest cell development involved in heart development	BP
2	2	4.32077599163	-	2.50e-03	GO:0090035	positive regulation of chaperone-mediated protein complex assembly	BP
2	2	4.32077599163	-	2.50e-03	GO:0006808	regulation of nitrogen utilization	BP
2	2	4.32077599163	-	2.50e-03	GO:0072709	cellular response to sorbitol	BP
2	2	4.32077599163	-	2.50e-03	GO:1900195	positive regulation of oocyte maturation	BP
2	2	4.32077599163	-	2.50e-03	GO:1902595	regulation of DNA replication origin binding	BP
2	2	4.32077599163	-	2.50e-03	GO:0032446	protein modification by small protein conjugation	BP
2	2	4.32077599163	-	2.50e-03	GO:0010559	regulation of glycoprotein biosynthetic process	BP
2	2	4.32077599163	-	2.50e-03	GO:1990911	response to psychosocial stress	BP
1	1	4.32077599163	-	5.00e-02	GO:0099641	anterograde axonal protein transport	BP
