# num of genes	num of total genes	Log of odds ratio	P-value	Adjusted p-value	GO term ID	GO term name	GO type
3	3	4.75478272748	-	5.05e-05	GO:0045604	regulation of epidermal cell differentiation	BP
3	3	4.75478272748	-	5.05e-05	GO:0090063	positive regulation of microtubule nucleation	BP
3	3	4.75478272748	-	5.05e-05	GO:0018076	N-terminal peptidyl-lysine acetylation	BP
3	3	4.75478272748	-	5.05e-05	GO:0031281	positive regulation of cyclase activity	BP
3	3	4.75478272748	-	5.05e-05	GO:0008384	IkappaB kinase activity	MF
3	3	4.75478272748	-	5.05e-05	GO:0004699	calcium-independent protein kinase C activity	MF
5	5	4.75478272748	-	6.84e-08	GO:0034349	glial cell apoptotic process	BP
2	2	4.75478272748	-	1.37e-03	GO:0031503	protein complex localization	BP
2	2	4.75478272748	-	1.37e-03	GO:0072182	regulation of nephron tubule epithelial cell differentiation	BP
2	2	4.75478272748	-	1.37e-03	GO:1905907	negative regulation of amyloid fibril formation	BP
2	2	4.75478272748	-	1.37e-03	GO:0071174	mitotic spindle checkpoint	BP
2	2	4.75478272748	-	1.37e-03	GO:0090042	tubulin deacetylation	BP
2	2	4.75478272748	-	1.37e-03	GO:1902527	positive regulation of protein monoubiquitination	BP
2	2	4.75478272748	-	1.37e-03	GO:0060800	regulation of cell differentiation involved in embryonic placenta development	BP
2	2	4.75478272748	-	1.37e-03	GO:0061308	cardiac neural crest cell development involved in heart development	BP
2	2	4.75478272748	-	1.37e-03	GO:0090035	positive regulation of chaperone-mediated protein complex assembly	BP
2	2	4.75478272748	-	1.37e-03	GO:0006808	regulation of nitrogen utilization	BP
2	2	4.75478272748	-	1.37e-03	GO:0072709	cellular response to sorbitol	BP
2	2	4.75478272748	-	1.37e-03	GO:1900195	positive regulation of oocyte maturation	BP
2	2	4.75478272748	-	1.37e-03	GO:0010559	regulation of glycoprotein biosynthetic process	BP
1	1	4.75478272748	-	3.70e-02	GO:0099641	anterograde axonal protein transport	BP
1	1	4.75478272748	-	3.70e-02	GO:0080184	response to phenylpropanoid	BP
1	1	4.75478272748	-	3.70e-02	GO:0039650	suppression by virus of host cysteine-type endopeptidase activity involved in apoptotic process	BP
1	1	4.75478272748	-	3.70e-02	GO:0061085	regulation of histone H3-K27 methylation	BP
1	1	4.75478272748	-	3.70e-02	GO:0046671	negative regulation of retinal cell programmed cell death	BP
1	1	4.75478272748	-	3.70e-02	GO:1904722	positive regulation of mRNA endonucleolytic cleavage involved in unfolded protein response	BP
1	1	4.75478272748	-	3.70e-02	GO:0046078	dUMP metabolic process	BP
1	1	4.75478272748	-	3.70e-02	GO:0021812	neuronal-glial interaction involved in cerebral cortex radial glia guided migration	BP
1	1	4.75478272748	-	3.70e-02	GO:0061326	renal tubule development	BP
1	1	4.75478272748	-	3.70e-02	GO:0061324	canonical Wnt signaling pathway involved in positive regulation of cardiac outflow tract cell proliferation	BP
1	1	4.75478272748	-	3.70e-02	GO:0001777	T cell homeostatic proliferation	BP
1	1	4.75478272748	-	3.70e-02	GO:2001229	negative regulation of response to gamma radiation	BP
1	1	4.75478272748	-	3.70e-02	GO:1904764	chaperone-mediated autophagy translocation complex disassembly	BP
1	1	4.75478272748	-	3.70e-02	GO:1904762	positive regulation of myofibroblast differentiation	BP
1	1	4.75478272748	-	3.70e-02	GO:0061582	intestinal epithelial cell migration	BP
1	1	4.75478272748	-	3.70e-02	GO:0099563	modification of synaptic structure	BP
1	1	4.75478272748	-	3.70e-02	GO:1903906	regulation of plasma membrane raft polarization	BP
1	1	4.75478272748	-	3.70e-02	GO:1903903	regulation of establishment of T cell polarity	BP
1	1	4.75478272748	-	3.70e-02	GO:1903909	regulation of receptor clustering	BP
1	1	4.75478272748	-	3.70e-02	GO:0070446	negative regulation of oligodendrocyte progenitor proliferation	BP
1	1	4.75478272748	-	3.70e-02	GO:0016243	regulation of autophagosome size	BP
1	1	4.75478272748	-	3.70e-02	GO:1903788	positive regulation of glutathione biosynthetic process	BP
1	1	4.75478272748	-	3.70e-02	GO:0022605	oogenesis stage	BP
1	1	4.75478272748	-	3.70e-02	GO:0003138	primary heart field specification	BP
1	1	4.75478272748	-	3.70e-02	GO:1902847	regulation of neuronal signal transduction	BP
1	1	4.75478272748	-	3.70e-02	GO:0061739	protein lipidation involved in autophagosome assembly	BP
1	1	4.75478272748	-	3.70e-02	GO:1903944	negative regulation of hepatocyte apoptotic process	BP
1	1	4.75478272748	-	3.70e-02	GO:0043947	positive regulation by host of symbiont catalytic activity	BP
1	1	4.75478272748	-	3.70e-02	GO:0002842	positive regulation of T cell mediated immune response to tumor cell	BP
1	1	4.75478272748	-	3.70e-02	GO:1905122	polyamine import	BP
1	1	4.75478272748	-	3.70e-02	GO:0043379	memory T cell differentiation	BP
1	1	4.75478272748	-	3.70e-02	GO:0043375	CD8-positive, alpha-beta T cell lineage commitment	BP
1	1	4.75478272748	-	3.70e-02	GO:1902110	positive regulation of mitochondrial membrane permeability involved in apoptotic process	BP
1	1	4.75478272748	-	3.70e-02	GO:1904404	response to formaldehyde	BP
1	1	4.75478272748	-	3.70e-02	GO:0019860	uracil metabolic process	BP
1	1	4.75478272748	-	3.70e-02	GO:0006463	steroid hormone receptor complex assembly	BP
1	1	4.75478272748	-	3.70e-02	GO:0043990	histone H2A-S1 phosphorylation	BP
1	1	4.75478272748	-	3.70e-02	GO:1904828	positive regulation of hydrogen sulfide biosynthetic process	BP
1	1	4.75478272748	-	3.70e-02	GO:0072141	renal interstitial fibroblast development	BP
1	1	4.75478272748	-	3.70e-02	GO:1900276	regulation of proteinase activated receptor activity	BP
1	1	4.75478272748	-	3.70e-02	GO:0006425	glutaminyl-tRNA aminoacylation	BP
1	1	4.75478272748	-	3.70e-02	GO:0006422	aspartyl-tRNA aminoacylation	BP
1	1	4.75478272748	-	3.70e-02	GO:0000117	regulation of transcription involved in G2/M transition of mitotic cell cycle	BP
1	1	4.75478272748	-	3.70e-02	GO:0048685	negative regulation of collateral sprouting of intact axon in response to injury	BP
1	1	4.75478272748	-	3.70e-02	GO:1904792	positive regulation of shelterin complex assembly	BP
1	1	4.75478272748	-	3.70e-02	GO:1904793	regulation of euchromatin binding	BP
1	1	4.75478272748	-	3.70e-02	GO:0048211	Golgi vesicle docking	BP
1	1	4.75478272748	-	3.70e-02	GO:0097699	vascular endothelial cell response to fluid shear stress	BP
1	1	4.75478272748	-	3.70e-02	GO:0051249	regulation of lymphocyte activation	BP
1	1	4.75478272748	-	3.70e-02	GO:0071894	histone H2B conserved C-terminal lysine ubiquitination	BP
1	1	4.75478272748	-	3.70e-02	GO:0043969	histone H2B acetylation	BP
1	1	4.75478272748	-	3.70e-02	GO:0060709	glycogen cell differentiation involved in embryonic placenta development	BP
1	1	4.75478272748	-	3.70e-02	GO:0010970	transport along microtubule	BP
1	1	4.75478272748	-	3.70e-02	GO:1903376	regulation of oxidative stress-induced neuron intrinsic apoptotic signaling pathway	BP
1	1	4.75478272748	-	3.70e-02	GO:1905000	regulation of membrane repolarization during atrial cardiac muscle cell action potential	BP
1	1	4.75478272748	-	3.70e-02	GO:0071301	cellular response to vitamin B1	BP
1	1	4.75478272748	-	3.70e-02	GO:0006117	acetaldehyde metabolic process	BP
1	1	4.75478272748	-	3.70e-02	GO:0042431	indole metabolic process	BP
1	1	4.75478272748	-	3.70e-02	GO:0006582	melanin metabolic process	BP
1	1	4.75478272748	-	3.70e-02	GO:0010729	positive regulation of hydrogen peroxide biosynthetic process	BP
1	1	4.75478272748	-	3.70e-02	GO:1990442	intrinsic apoptotic signaling pathway in response to nitrosative stress	BP
1	1	4.75478272748	-	3.70e-02	GO:0035624	receptor transactivation	BP
1	1	4.75478272748	-	3.70e-02	GO:0019088	immortalization of host cell by virus	BP
1	1	4.75478272748	-	3.70e-02	GO:2000657	negative regulation of apolipoprotein binding	BP
1	1	4.75478272748	-	3.70e-02	GO:0048291	isotype switching to IgG isotypes	BP
1	1	4.75478272748	-	3.70e-02	GO:0043402	glucocorticoid mediated signaling pathway	BP
1	1	4.75478272748	-	3.70e-02	GO:0072432	response to G1 DNA damage checkpoint signaling	BP
1	1	4.75478272748	-	3.70e-02	GO:0072431	signal transduction involved in mitotic G1 DNA damage checkpoint	BP
1	1	4.75478272748	-	3.70e-02	GO:0002368	B cell cytokine production	BP
1	1	4.75478272748	-	3.70e-02	GO:0036211	protein modification process	BP
1	1	4.75478272748	-	3.70e-02	GO:0099557	trans-synaptic signaling by trans-synaptic complex, modulating synaptic transmission	BP
1	1	4.75478272748	-	3.70e-02	GO:0072308	negative regulation of metanephric nephron tubule epithelial cell differentiation	BP
1	1	4.75478272748	-	3.70e-02	GO:0038168	epidermal growth factor receptor signaling pathway via I-kappaB kinase/NF-kappaB cascade	BP
1	1	4.75478272748	-	3.70e-02	GO:1904914	negative regulation of establishment of macromolecular complex localization to telomere	BP
1	1	4.75478272748	-	3.70e-02	GO:1904911	negative regulation of establishment of RNA localization to telomere	BP
1	1	4.75478272748	-	3.70e-02	GO:0061106	negative regulation of stomach neuroendocrine cell differentiation	BP
1	1	4.75478272748	-	3.70e-02	GO:0044337	canonical Wnt signaling pathway involved in positive regulation of apoptotic process	BP
1	1	4.75478272748	-	3.70e-02	GO:0071275	cellular response to aluminum ion	BP
1	1	4.75478272748	-	3.70e-02	GO:0003108	negative regulation of the force of heart contraction by chemical signal	BP
1	1	4.75478272748	-	3.70e-02	GO:0051904	pigment granule transport	BP
1	1	4.75478272748	-	3.70e-02	GO:0061741	chaperone-mediated protein transport involved in chaperone-mediated autophagy	BP
1	1	4.75478272748	-	3.70e-02	GO:0043060	meiotic metaphase I plate congression	BP
1	1	4.75478272748	-	3.70e-02	GO:0042182	ketone catabolic process	BP
1	1	4.75478272748	-	3.70e-02	GO:1902443	negative regulation of ripoptosome assembly involved in necroptotic process	BP
1	1	4.75478272748	-	3.70e-02	GO:0046725	negative regulation by virus of viral protein levels in host cell	BP
1	1	4.75478272748	-	3.70e-02	GO:2000753	positive regulation of glucosylceramide catabolic process	BP
1	1	4.75478272748	-	3.70e-02	GO:2000755	positive regulation of sphingomyelin catabolic process	BP
1	1	4.75478272748	-	3.70e-02	GO:1900737	negative regulation of phospholipase C-activating G-protein coupled receptor signaling pathway	BP
1	1	4.75478272748	-	3.70e-02	GO:1905289	regulation of CAMKK-AMPK signaling cascade	BP
1	1	4.75478272748	-	3.70e-02	GO:0002637	regulation of immunoglobulin production	BP
1	1	4.75478272748	-	3.70e-02	GO:0006175	dATP biosynthetic process	BP
1	1	4.75478272748	-	3.70e-02	GO:0061026	cardiac muscle tissue regeneration	BP
1	1	4.75478272748	-	3.70e-02	GO:1902380	positive regulation of endoribonuclease activity	BP
1	1	4.75478272748	-	3.70e-02	GO:0072734	cellular response to staurosporine	BP
1	1	4.75478272748	-	3.70e-02	GO:0061550	cranial ganglion development	BP
1	1	4.75478272748	-	3.70e-02	GO:0090327	negative regulation of locomotion involved in locomotory behavior	BP
1	1	4.75478272748	-	3.70e-02	GO:0006430	lysyl-tRNA aminoacylation	BP
1	1	4.75478272748	-	3.70e-02	GO:0048753	pigment granule organization	BP
1	1	4.75478272748	-	3.70e-02	GO:0051455	attachment of spindle microtubules to kinetochore involved in homologous chromosome segregation	BP
1	1	4.75478272748	-	3.70e-02	GO:2001286	regulation of caveolin-mediated endocytosis	BP
1	1	4.75478272748	-	3.70e-02	GO:1905031	regulation of membrane repolarization during cardiac muscle cell action potential	BP
1	1	4.75478272748	-	3.70e-02	GO:0002739	regulation of cytokine secretion involved in immune response	BP
1	1	4.75478272748	-	3.70e-02	GO:0070845	polyubiquitinated misfolded protein transport	BP
1	1	4.75478272748	-	3.70e-02	GO:0070846	Hsp90 deacetylation	BP
1	1	4.75478272748	-	3.70e-02	GO:1905208	negative regulation of cardiocyte differentiation	BP
1	1	4.75478272748	-	3.70e-02	GO:0090176	microtubule cytoskeleton organization involved in establishment of planar polarity	BP
1	1	4.75478272748	-	3.70e-02	GO:0006948	induction by virus of host cell-cell fusion	BP
1	1	4.75478272748	-	3.70e-02	GO:1990938	peptidyl-aspartic acid autophosphorylation	BP
1	1	4.75478272748	-	3.70e-02	GO:0051257	meiotic spindle midzone assembly	BP
1	1	4.75478272748	-	3.70e-02	GO:1904501	positive regulation of chromatin-mediated maintenance of transcription	BP
1	1	4.75478272748	-	3.70e-02	GO:2000299	negative regulation of Rho-dependent protein serine/threonine kinase activity	BP
1	1	4.75478272748	-	3.70e-02	GO:0031109	microtubule polymerization or depolymerization	BP
1	1	4.75478272748	-	3.70e-02	GO:1900163	positive regulation of phospholipid scramblase activity	BP
1	1	4.75478272748	-	3.70e-02	GO:1905244	regulation of modification of synaptic structure	BP
1	1	4.75478272748	-	3.70e-02	GO:2001031	positive regulation of cellular glucuronidation	BP
1	1	4.75478272748	-	3.70e-02	GO:0044252	negative regulation of multicellular organismal metabolic process	BP
1	1	4.75478272748	-	3.70e-02	GO:2000120	positive regulation of sodium-dependent phosphate transport	BP
1	1	4.75478272748	-	3.70e-02	GO:0045932	negative regulation of muscle contraction	BP
1	1	4.75478272748	-	3.70e-02	GO:0097473	retinal rod cell apoptotic process	BP
1	1	4.75478272748	-	3.70e-02	GO:0002572	pro-T cell differentiation	BP
