# num of genes	num of total genes	Log of odds ratio	P-value	Adjusted p-value	GO term ID	GO term name	GO type
32	32	2.3218233202	-	3.01e-11	GO:0006335	DNA replication-dependent nucleosome assembly	BP
26	26	2.3218233202	-	4.54e-11	GO:0016233	telomere capping	BP
11	11	2.3218233202	-	2.02e-08	GO:0060968	regulation of gene silencing	BP
9	9	2.3218233202	-	5.07e-07	GO:0061820	telomeric D-loop disassembly	BP
7	7	2.3218233202	-	1.27e-05	GO:0042921	glucocorticoid receptor signaling pathway	BP
6	6	2.3218233202	-	6.37e-05	GO:0006333	chromatin assembly or disassembly	BP
4	4	2.3218233202	-	1.60e-03	GO:0090400	stress-induced premature senescence	BP
4	4	2.3218233202	-	1.60e-03	GO:0030578	PML body organization	BP
4	4	2.3218233202	-	1.60e-03	GO:0030043	actin filament fragmentation	BP
4	4	2.3218233202	-	1.60e-03	GO:0032079	positive regulation of endodeoxyribonuclease activity	BP
4	4	2.3218233202	-	1.60e-03	GO:0042345	regulation of NF-kappaB import into nucleus	BP
4	4	2.3218233202	-	1.60e-03	GO:0032205	negative regulation of telomere maintenance	BP
4	4	2.3218233202	-	1.60e-03	GO:1903377	negative regulation of oxidative stress-induced neuron intrinsic apoptotic signaling pathway	BP
4	4	2.3218233202	-	1.60e-03	GO:1902916	positive regulation of protein polyubiquitination	BP
4	4	2.3218233202	-	1.60e-03	GO:0006344	maintenance of chromatin silencing	BP
4	4	2.3218233202	-	1.60e-03	GO:0018216	peptidyl-arginine methylation	BP
4	4	2.3218233202	-	1.60e-03	GO:1902527	positive regulation of protein monoubiquitination	BP
4	4	2.3218233202	-	1.60e-03	GO:0045876	positive regulation of sister chromatid cohesion	BP
4	4	2.3218233202	-	1.60e-03	GO:1905832	positive regulation of spindle assembly	BP
4	4	2.3218233202	-	1.60e-03	GO:0031860	telomeric 3' overhang formation	BP
4	4	2.3218233202	-	1.60e-03	GO:0019346	transsulfuration	BP
4	4	2.3218233202	-	1.60e-03	GO:0090063	positive regulation of microtubule nucleation	BP
4	4	2.3218233202	-	1.60e-03	GO:0010992	ubiquitin recycling	BP
4	4	2.3218233202	-	1.60e-03	GO:0090235	regulation of metaphase plate congression	BP
4	4	2.3218233202	-	1.60e-03	GO:1904431	positive regulation of t-circle formation	BP
4	4	2.3218233202	-	1.60e-03	GO:0006166	purine ribonucleoside salvage	BP
3	3	2.3218233202	-	7.99e-03	GO:0034770	histone H4-K20 methylation	BP
