# Term ID	Term name	num of genes	num of total genes	P-value	P-value corrected
GO:0005179	hormone activity	7	15	1.2411821305280868e-06	0.00020551336540978698
GO:0004930	G protein-coupled receptor activity	10	35	1.3565238640910031e-06	0.00020551336540978698
GO:0005184	neuropeptide hormone activity	5	9	1.579899572403706e-05	0.001595698568127743
GO:0005086	ARF guanyl-nucleotide exchange factor activity	4	6	4.756057387295485e-05	0.00360271347087633
GO:0001965	G-protein alpha-subunit binding	4	9	0.0003601863297872315	0.015590922560790164
GO:0004966	galanin receptor activity	3	4	0.0003078420072871643	0.015590922560790164
GO:0004993	G protein-coupled serotonin receptor activity	4	9	0.0003601863297872315	0.015590922560790164
GO:0001664	G protein-coupled receptor binding	5	16	0.000426304390699568	0.016146278797746137
GO:0005096	GTPase activator activity	12	95	0.0007348883291512467	0.02474124041475864
GO:0004713	protein tyrosine kinase activity	8	49	0.0010524884211371597	0.031219572020237518
GO:0016907	G protein-coupled acetylcholine receptor activity	2	2	0.001854628040806189	0.031219572020237518
GO:0008241	peptidyl-dipeptidase activity	2	2	0.001854628040806189	0.031219572020237518
GO:0016520	growth hormone-releasing hormone receptor activity	2	2	0.001854628040806189	0.031219572020237518
GO:0047696	beta-adrenergic receptor kinase activity	2	2	0.001854628040806189	0.031219572020237518
GO:0008066	glutamate receptor activity	3	6	0.0014424127506789482	0.031219572020237518
GO:0051378	serotonin binding	3	6	0.0014424127506789482	0.031219572020237518
GO:0071886	1-(4-iodo-2,5-dimethoxyphenyl)propan-2-amine binding	2	2	0.001854628040806189	0.031219572020237518
GO:0004985	opioid receptor activity	2	2	0.001854628040806189	0.031219572020237518
GO:0004435	phosphatidylinositol phospholipase C activity	3	7	0.0024438208086662153	0.03897251079083491
