# Term ID	Term name	num of genes	num of total genes	P-value	P-value corrected
GO:1902093	positive regulation of flagellated sperm motility	4	4	7.762807171047396e-08	7.390192426837121e-05
GO:0007191	adenylate cyclase-activating dopamine receptor signaling pathway	4	5	3.830381212528585e-07	0.00018232614571636065
GO:0071870	cellular response to catecholamine stimulus	4	6	1.1340159174622669e-06	0.0003598610511413593
GO:0007099	centriole replication	5	14	2.2577921888689315e-06	0.0005373545409508057
GO:0008542	visual learning	4	10	1.5059064678242404e-05	0.0028672459147373536
GO:1904778	positive regulation of protein localization to cell cortex	3	5	4.578831103009722e-05	0.007265078683442092
GO:0071380	cellular response to prostaglandin E stimulus	3	6	9.044260614397918e-05	0.009566817894340909
GO:0048660	regulation of smooth muscle cell proliferation	3	6	9.044260614397918e-05	0.009566817894340909
GO:1904951	positive regulation of establishment of protein localization	3	6	9.044260614397918e-05	0.009566817894340909
GO:0070301	cellular response to hydrogen peroxide	5	31	0.00015199942797970074	0.01352844756236566
GO:1903799	negative regulation of production of miRNAs involved in gene silencing by miRNA	3	7	0.00015631609578363684	0.01352844756236566
GO:0007617	mating behavior	2	2	0.00028211899236126644	0.01918409148056612
GO:0034462	small-subunit processome assembly	2	2	0.00028211899236126644	0.01918409148056612
GO:0034971	histone H3-R17 methylation	2	2	0.00028211899236126644	0.01918409148056612
GO:1902476	chloride transmembrane transport	4	20	0.00030457467247187327	0.019330339212881558
GO:1904322	cellular response to forskolin	3	9	0.00036594226036907495	0.01963931293259324
GO:0007213	G protein-coupled acetylcholine receptor signaling pathway	3	9	0.00036594226036907495	0.01963931293259324
GO:0070555	response to interleukin-1	4	21	0.00037133154704483014	0.01963931293259324
GO:0045184	establishment of protein localization	4	26	0.0008687015901715036	0.031807842840125826
GO:1904528	positive regulation of microtubule binding	2	3	0.0008369679613472781	0.031807842840125826
GO:0007217	tachykinin receptor signaling pathway	2	3	0.0008369679613472781	0.031807842840125826
GO:0018105	peptidyl-serine phosphorylation	7	88	0.000683563099760366	0.031807842840125826
GO:0031333	negative regulation of protein complex assembly	4	26	0.0008687015901715036	0.031807842840125826
GO:0090042	tubulin deacetylation	2	3	0.0008369679613472781	0.031807842840125826
GO:0045621	positive regulation of lymphocyte differentiation	2	3	0.0008369679613472781	0.031807842840125826
GO:1904385	cellular response to angiotensin	2	3	0.0008369679613472781	0.031807842840125826
GO:1900273	positive regulation of long-term synaptic potentiation	3	12	0.000923387024337007	0.03255794248773447
GO:0007204	positive regulation of cytosolic calcium ion concentration	5	46	0.0010006852530378713	0.03402329860328763
GO:0007189	adenylate cyclase-activating G protein-coupled receptor signaling pathway	5	47	0.0011047839047669161	0.036267388873727734
GO:0051402	neuron apoptotic process	3	13	0.001185618075106009	0.03762361358336402
GO:0071880	adenylate cyclase-activating adrenergic receptor signaling pathway	2	4	0.0016553907753917153	0.04147189521507666
GO:0035624	receptor transactivation	2	4	0.0016553907753917153	0.04147189521507666
GO:0006878	cellular copper ion homeostasis	2	4	0.0016553907753917153	0.04147189521507666
GO:0097061	dendritic spine organization	2	4	0.0016553907753917153	0.04147189521507666
GO:0060161	positive regulation of dopamine receptor signaling pathway	2	4	0.0016553907753917153	0.04147189521507666
GO:0095500	acetylcholine receptor signaling pathway	2	4	0.0016553907753917153	0.04147189521507666
GO:0007195	adenylate cyclase-inhibiting dopamine receptor signaling pathway	2	4	0.0016553907753917153	0.04147189521507666
GO:1903724	positive regulation of centriole elongation	2	4	0.0016553907753917153	0.04147189521507666
GO:0006468	protein phosphorylation	11	230	0.0017307367369294355	0.04224772752709802
GO:0060766	negative regulation of androgen receptor signaling pathway	3	15	0.0018400866771113233	0.04379406291524949
