# Term ID	Term name	num of genes	num of total genes	P-value	P-value corrected
R-HSA-418594	G alpha (i) signalling events	86	211	2.3455176067472604e-38	2.692654212545855e-35
R-HSA-416476	G alpha (q) signalling events	70	153	3.1435181345626756e-35	3.6087588184779515e-32
R-HSA-6814122	Cooperation of PDCL (PhLP1) and TRiC/CCT in G-protein beta folding	36	42	4.156986576236931e-33	4.772220589519997e-30
R-HSA-418597	G alpha (z) signalling events	37	48	9.64648193384399e-31	1.10741612600529e-27
R-HSA-9009391	Extra-nuclear estrogen signaling	37	57	2.459999733385219e-26	2.824079693926231e-23
R-HSA-418555	G alpha (s) signalling events	54	128	3.1605247707671103e-25	3.6282824368406427e-22
R-HSA-2565942	Regulation of PLK1 Activity at G2/M Transition	44	87	9.235012028635467e-25	1.0601793808873517e-21
R-HSA-456926	Thrombin signalling through proteinase activated receptors (PARs)	27	32	1.0529756415779998e-24	1.2088160365315437e-21
R-HSA-9660821	ADORA2B mediated anti-inflammatory cytokines production	50	117	9.60311973452854e-24	1.1024381455238765e-20
R-HSA-202040	G-protein activation	24	28	2.0778510512187364e-22	2.3853730067991095e-19
R-HSA-392170	ADP signalling through P2Y purinoceptor 12	21	22	5.0551595722182465e-22	5.803323188906547e-19
R-HSA-5620912	Anchoring of the basal body to the plasma membrane	43	97	2.4272945969900103e-21	2.786534197344532e-18
R-HSA-8854518	AURKA Activation by TPX2	37	72	2.5389498943234403e-21	2.9147144786833096e-18
R-HSA-418592	ADP signalling through P2Y purinoceptor 1	22	25	3.711060128077054e-21	4.2602970270324585e-18
R-HSA-380259	Loss of Nlp from mitotic centrosomes	36	69	4.524691197684487e-21	5.194345494941791e-18
R-HSA-380284	Loss of proteins required for interphase microtubule organization from the centrosome	36	69	4.524691197684487e-21	5.194345494941791e-18
R-HSA-428930	Thromboxane signalling through TP receptor	21	24	3.9446547894769516e-20	4.5284636983195407e-17
R-HSA-1296041	Activation of G protein gated Potassium channels	23	29	4.9490290102479166e-20	5.681485303764609e-17
R-HSA-997272	Inhibition  of voltage gated Ca2+ channels via Gbeta/gamma subunits	23	29	4.9490290102479166e-20	5.681485303764609e-17
R-HSA-400042	Adrenaline,noradrenaline inhibits insulin secretion	22	28	4.747419816227932e-19	5.450037949029665e-16
R-HSA-392851	Prostacyclin signalling through prostacyclin receptor	18	19	7.636935360167053e-19	8.767201793471776e-16
R-HSA-380270	Recruitment of mitotic centrosome proteins and complexes	36	81	4.131421856958213e-18	4.742872291788028e-15
R-HSA-418217	G beta:gamma signalling through PLC beta	18	20	7.035775813460509e-18	8.077070633852663e-15
R-HSA-8964616	G beta:gamma signalling through CDC42	18	20	7.035775813460509e-18	8.077070633852663e-15
