# Term ID	Term name	num of genes	num of total genes	P-value	P-value corrected
GO:0035624	receptor transactivation	2	4	4.713363008402916e-05	0.0022506308365123923
GO:0060161	positive regulation of dopamine receptor signaling pathway	2	4	4.713363008402916e-05	0.0022506308365123923
GO:1902476	chloride transmembrane transport	3	20	2.305275728366297e-05	0.0022506308365123923
GO:0095500	acetylcholine receptor signaling pathway	2	4	4.713363008402916e-05	0.0022506308365123923
GO:0007191	adenylate cyclase-activating dopamine receptor signaling pathway	2	5	7.841732241473923e-05	0.0029955417162430384
GO:0043268	positive regulation of potassium ion transport	2	7	0.0001640953869609909	0.0034824687677276955
GO:0071875	adrenergic receptor signaling pathway	2	7	0.0001640953869609909	0.0034824687677276955
GO:0060134	prepulse inhibition	2	6	0.00011741828904010121	0.0034824687677276955
GO:0032060	bleb assembly	2	7	0.0001640953869609909	0.0034824687677276955
GO:0034220	ion transmembrane transport	2	8	0.000218407630538259	0.004171585743280747
GO:0008542	visual learning	2	10	0.0003497743958222542	0.006073355418368232
GO:0007218	neuropeptide signaling pathway	2	16	0.0009229040700893341	0.0146895564489219
GO:0043410	positive regulation of MAPK cascade	3	75	0.0012295743148914452	0.01806528416494354
GO:0007186	G protein-coupled receptor signaling pathway	3	80	0.0014818958564305031	0.01884365648084155
GO:0032261	purine nucleotide salvage	1	1	0.0028610787326932194	0.01884365648084155
GO:0046103	inosine biosynthetic process	1	1	0.0028610787326932194	0.01884365648084155
GO:0060169	negative regulation of adenosine receptor signaling pathway	1	1	0.0028610787326932194	0.01884365648084155
GO:0032148	activation of protein kinase B activity	2	20	0.0014509897108829443	0.01884365648084155
GO:0071881	adenylate cyclase-inhibiting adrenergic receptor signaling pathway	1	1	0.0028610787326932194	0.01884365648084155
GO:0071882	phospholipase C-activating adrenergic receptor signaling pathway	1	1	0.0028610787326932194	0.01884365648084155
GO:0043270	positive regulation of ion transport	1	1	0.0028610787326932194	0.01884365648084155
GO:0050893	sensory processing	1	1	0.0028610787326932194	0.01884365648084155
GO:0050883	musculoskeletal movement, spinal reflex action	1	1	0.0028610787326932194	0.01884365648084155
GO:0001964	startle response	1	1	0.0028610787326932194	0.01884365648084155
GO:0034255	regulation of urea metabolic process	1	1	0.0028610787326932194	0.01884365648084155
GO:0038185	intracellular bile acid receptor signaling pathway	1	1	0.0028610787326932194	0.01884365648084155
GO:0071417	cellular response to organonitrogen compound	1	1	0.0028610787326932194	0.01884365648084155
GO:1905695	positive regulation of phosphatidic acid biosynthetic process	1	1	0.0028610787326932194	0.01884365648084155
GO:2000213	positive regulation of glutamate metabolic process	1	1	0.0028610787326932194	0.01884365648084155
GO:0006154	adenosine catabolic process	1	2	0.005714274035087289	0.025382007923294703
GO:0071361	cellular response to ethanol	1	2	0.005714274035087289	0.025382007923294703
GO:1905906	regulation of amyloid fibril formation	1	2	0.005714274035087289	0.025382007923294703
GO:0007617	mating behavior	1	2	0.005714274035087289	0.025382007923294703
GO:0048278	vesicle docking	1	2	0.005714274035087289	0.025382007923294703
GO:0032412	regulation of ion transmembrane transporter activity	1	2	0.005714274035087289	0.025382007923294703
GO:1905920	positive regulation of CoA-transferase activity	1	2	0.005714274035087289	0.025382007923294703
GO:0060158	phospholipase C-activating dopamine receptor signaling pathway	1	2	0.005714274035087289	0.025382007923294703
GO:0046717	acid secretion	1	2	0.005714274035087289	0.025382007923294703
GO:0034767	positive regulation of ion transmembrane transport	1	2	0.005714274035087289	0.025382007923294703
GO:1904172	positive regulation of bleb assembly	1	2	0.005714274035087289	0.025382007923294703
GO:1903413	cellular response to bile acid	1	2	0.005714274035087289	0.025382007923294703
GO:0038183	bile acid signaling pathway	1	2	0.005714274035087289	0.025382007923294703
GO:0034971	histone H3-R17 methylation	1	2	0.005714274035087289	0.025382007923294703
GO:0007189	adenylate cyclase-activating G protein-coupled receptor signaling pathway	2	47	0.007872220856890776	0.028187670657078844
GO:0042493	response to drug	2	49	0.00853401397339226	0.028187670657078844
GO:0033632	regulation of cell-cell adhesion mediated by integrin	1	3	0.008559606796390434	0.028187670657078844
GO:0061179	negative regulation of insulin secretion involved in cellular response to glucose stimulus	1	3	0.008559606796390434	0.028187670657078844
GO:0006874	cellular calcium ion homeostasis	2	45	0.007234904027158812	0.028187670657078844
GO:1905144	response to acetylcholine	1	3	0.008559606796390434	0.028187670657078844
GO:0042220	response to cocaine	1	3	0.008559606796390434	0.028187670657078844
GO:0007628	adult walking behavior	1	3	0.008559606796390434	0.028187670657078844
GO:0021853	cerebral cortex GABAergic interneuron migration	1	3	0.008559606796390434	0.028187670657078844
GO:0034776	response to histamine	1	3	0.008559606796390434	0.028187670657078844
GO:0043278	response to morphine	1	3	0.008559606796390434	0.028187670657078844
GO:0010988	regulation of low-density lipoprotein particle clearance	1	3	0.008559606796390434	0.028187670657078844
GO:0035590	purinergic nucleotide receptor signaling pathway	1	3	0.008559606796390434	0.028187670657078844
GO:0017121	phospholipid scrambling	1	3	0.008559606796390434	0.028187670657078844
GO:0051495	positive regulation of cytoskeleton organization	1	3	0.008559606796390434	0.028187670657078844
GO:0048148	behavioral response to cocaine	1	4	0.011397097851887066	0.029416833644735536
GO:0071880	adenylate cyclase-activating adrenergic receptor signaling pathway	1	4	0.011397097851887066	0.029416833644735536
GO:1901020	negative regulation of calcium ion transmembrane transporter activity	1	4	0.011397097851887066	0.029416833644735536
GO:0007187	G protein-coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger	1	4	0.011397097851887066	0.029416833644735536
GO:1902991	regulation of amyloid precursor protein catabolic process	1	4	0.011397097851887066	0.029416833644735536
GO:0030522	intracellular receptor signaling pathway	1	4	0.011397097851887066	0.029416833644735536
GO:0097061	dendritic spine organization	1	4	0.011397097851887066	0.029416833644735536
GO:0045779	negative regulation of bone resorption	1	4	0.011397097851887066	0.029416833644735536
GO:0006906	vesicle fusion	1	4	0.011397097851887066	0.029416833644735536
GO:0044791	positive regulation by host of viral release from host cell	1	4	0.011397097851887066	0.029416833644735536
GO:0140059	dendrite arborization	1	4	0.011397097851887066	0.029416833644735536
GO:0019226	transmission of nerve impulse	1	4	0.011397097851887066	0.029416833644735536
GO:0007195	adenylate cyclase-inhibiting dopamine receptor signaling pathway	1	4	0.011397097851887066	0.029416833644735536
GO:0060075	regulation of resting membrane potential	1	4	0.011397097851887066	0.029416833644735536
GO:0032620	interleukin-17 production	1	4	0.011397097851887066	0.029416833644735536
GO:1904468	negative regulation of tumor necrosis factor secretion	1	4	0.011397097851887066	0.029416833644735536
GO:0001666	response to hypoxia	2	62	0.013413208452486019	0.03313795957271913
GO:0002031	G protein-coupled receptor internalization	1	5	0.014226767984099312	0.03313795957271913
GO:0098815	modulation of excitatory postsynaptic potential	1	5	0.014226767984099312	0.03313795957271913
GO:0007614	short-term memory	1	5	0.014226767984099312	0.03313795957271913
GO:0070836	caveola assembly	1	5	0.014226767984099312	0.03313795957271913
GO:0014059	regulation of dopamine secretion	1	5	0.014226767984099312	0.03313795957271913
GO:0045794	negative regulation of cell volume	1	5	0.014226767984099312	0.03313795957271913
GO:1904778	positive regulation of protein localization to cell cortex	1	5	0.014226767984099312	0.03313795957271913
GO:0071420	cellular response to histamine	1	6	0.017048637923214673	0.035783404871802225
GO:0071870	cellular response to catecholamine stimulus	1	6	0.017048637923214673	0.035783404871802225
GO:0035094	response to nicotine	1	6	0.017048637923214673	0.035783404871802225
GO:0010524	positive regulation of calcium ion transport into cytosol	1	6	0.017048637923214673	0.035783404871802225
GO:0019065	receptor-mediated endocytosis of virus by host cell	1	6	0.017048637923214673	0.035783404871802225
GO:0033198	response to ATP	1	6	0.017048637923214673	0.035783404871802225
GO:0045776	negative regulation of blood pressure	1	6	0.017048637923214673	0.035783404871802225
GO:0050771	negative regulation of axonogenesis	1	6	0.017048637923214673	0.035783404871802225
GO:0035356	cellular triglyceride homeostasis	1	6	0.017048637923214673	0.035783404871802225
GO:0007190	activation of adenylate cyclase activity	1	7	0.01986272834616929	0.037562189248696386
GO:0048741	skeletal muscle fiber development	1	7	0.01986272834616929	0.037562189248696386
GO:0045741	positive regulation of epidermal growth factor-activated receptor activity	1	7	0.01986272834616929	0.037562189248696386
GO:0051482	positive regulation of cytosolic calcium ion concentration involved in phospholipase C-activating G protein-coupled signaling pathway	1	7	0.01986272834616929	0.037562189248696386
GO:0044794	positive regulation by host of viral process	1	7	0.01986272834616929	0.037562189248696386
GO:1903351	cellular response to dopamine	1	7	0.01986272834616929	0.037562189248696386
GO:0050482	arachidonic acid secretion	1	7	0.01986272834616929	0.037562189248696386
GO:0016050	vesicle organization	1	7	0.01986272834616929	0.037562189248696386
GO:0048715	negative regulation of oligodendrocyte differentiation	1	7	0.01986272834616929	0.037562189248696386
GO:0007214	gamma-aminobutyric acid signaling pathway	1	7	0.01986272834616929	0.037562189248696386
GO:0046931	pore complex assembly	1	8	0.022669059876508198	0.04163260035012563
GO:0051899	membrane depolarization	1	8	0.022669059876508198	0.04163260035012563
GO:0048268	clathrin coat assembly	1	8	0.022669059876508198	0.04163260035012563
GO:0051492	regulation of stress fiber assembly	1	9	0.025467653087409517	0.04343144410442159
GO:0061178	regulation of insulin secretion involved in cellular response to glucose stimulus	1	9	0.025467653087409517	0.04343144410442159
GO:0051926	negative regulation of calcium ion transport	1	9	0.025467653087409517	0.04343144410442159
GO:0007213	G protein-coupled acetylcholine receptor signaling pathway	1	9	0.025467653087409517	0.04343144410442159
GO:0034142	toll-like receptor 4 signaling pathway	1	9	0.025467653087409517	0.04343144410442159
GO:1904862	inhibitory synapse assembly	1	9	0.025467653087409517	0.04343144410442159
GO:0006811	ion transport	1	9	0.025467653087409517	0.04343144410442159
GO:0071398	cellular response to fatty acid	1	9	0.025467653087409517	0.04343144410442159
GO:1904645	response to amyloid-beta	1	10	0.028258528497114296	0.04613144395682761
GO:0051247	positive regulation of protein metabolic process	1	10	0.028258528497114296	0.04613144395682761
GO:0002028	regulation of sodium ion transport	1	10	0.028258528497114296	0.04613144395682761
GO:0007088	regulation of mitotic nuclear division	1	10	0.028258528497114296	0.04613144395682761
GO:0007268	chemical synaptic transmission	1	10	0.028258528497114296	0.04613144395682761
GO:0050995	negative regulation of lipid catabolic process	1	11	0.03104170657415859	0.049823243324910005
GO:0051968	positive regulation of synaptic transmission, glutamatergic	1	11	0.03104170657415859	0.049823243324910005
