# Term ID	Term name	num of genes	num of total genes	P-value	P-value corrected
GO:0016934	extracellularly glycine-gated chloride channel activity	2	2	1.2915390796680433e-05	0.0005941079766472999
GO:0004938	alpha2-adrenergic receptor activity	2	3	3.8658562901451676e-05	0.0008891469467333886
GO:0051379	epinephrine binding	2	5	0.000128279951017105	0.0019669592489289433
GO:0042166	acetylcholine binding	2	6	0.00019198508065022308	0.0022078284274775657
GO:0016594	glycine binding	2	9	0.00045764856864321276	0.004210366831517557
GO:0031692	alpha-1B adrenergic receptor binding	1	1	0.003662010036626602	0.012957881668063363
GO:0032795	heterotrimeric G-protein binding	1	1	0.003662010036626602	0.012957881668063363
GO:0001588	dopamine neurotransmitter receptor activity, coupled via Gs	1	1	0.003662010036626602	0.012957881668063363
GO:0022852	glycine-gated chloride ion channel activity	1	1	0.003662010036626602	0.012957881668063363
GO:0016933	extracellularly glycine-gated ion channel activity	1	1	0.003662010036626602	0.012957881668063363
GO:0038181	bile acid receptor activity	1	1	0.003662010036626602	0.012957881668063363
GO:1902122	chenodeoxycholic acid binding	1	1	0.003662010036626602	0.012957881668063363
GO:0032051	clathrin light chain binding	1	1	0.003662010036626602	0.012957881668063363
GO:0046875	ephrin receptor binding	1	2	0.007311104682529205	0.01978298914096138
GO:0004000	adenosine deaminase activity	1	2	0.007311104682529205	0.01978298914096138
GO:0016907	G protein-coupled acetylcholine receptor activity	1	2	0.007311104682529205	0.01978298914096138
GO:0017081	chloride channel regulator activity	1	2	0.007311104682529205	0.01978298914096138
GO:0015643	toxic substance binding	1	3	0.010947327742072441	0.023979860768349157
GO:0004952	dopamine neurotransmitter receptor activity	1	3	0.010947327742072441	0.023979860768349157
GO:0001591	dopamine neurotransmitter receptor activity, coupled via Gi/Go	1	3	0.010947327742072441	0.023979860768349157
GO:0022840	leak channel activity	1	3	0.010947327742072441	0.023979860768349157
GO:0051380	norepinephrine binding	1	4	0.014570722878025728	0.025778971245737827
GO:0035240	dopamine binding	1	4	0.014570722878025728	0.025778971245737827
GO:0004890	GABA-A receptor activity	1	4	0.014570722878025728	0.025778971245737827
GO:0001614	purinergic nucleotide receptor activity	1	4	0.014570722878025728	0.025778971245737827
GO:0004931	extracellularly ATP-gated cation channel activity	1	4	0.014570722878025728	0.025778971245737827
GO:0032052	bile acid binding	1	5	0.018181333610027443	0.03097560540967638
GO:0005216	ion channel activity	1	6	0.021779203315581735	0.034546322500577924
GO:0022851	GABA-gated chloride ion channel activity	1	6	0.021779203315581735	0.034546322500577924
GO:0022848	acetylcholine-gated cation-selective channel activity	1	9	0.032496797941728835	0.04982842351065088
