# Term ID	Term name	num of genes	num of total genes	P-value	P-value corrected
R-HSA-390648	Muscarinic acetylcholine receptors	3	5	2.1190373741757474e-07	9.535668183790862e-06
R-HSA-392023	Adrenaline signalling through Alpha-2 adrenergic receptor	2	3	2.3896069562081084e-05	0.0005376615651468243
R-HSA-390651	Dopamine receptors	2	5	7.937075520425472e-05	0.0011905613280638208
R-HSA-112314	Neurotransmitter receptors and postsynaptic signal transmission	2	7	0.00016608696262337998	0.0018684783295130247
R-HSA-418594	G alpha (i) signalling events	5	211	0.00029610497862421513	0.0022207873396816137
R-HSA-390696	Adrenoceptors	2	9	0.00028371018531019943	0.0022207873396816137
R-HSA-5683826	Surfactant metabolism	2	25	0.0022980483947802268	0.014773168252158601
R-HSA-400042	Adrenaline,noradrenaline inhibits insulin secretion	2	28	0.0028801837551473797	0.01620103362270401
R-HSA-418597	G alpha (z) signalling events	2	48	0.008295964671530182	0.04147982335765091
R-HSA-416476	G alpha (q) signalling events	3	153	0.009342073026461952	0.04203932861907878
R-HSA-390650	Histamine receptors	1	4	0.011466067081559736	0.04299775155584901
R-HSA-417973	Adenosine P1 receptors	1	4	0.011466067081559736	0.04299775155584901
