#Position	OddsRatio	P-value	Type
8	3100.5	1.0524566939227703e-22	seed
9	inf	7.751137587451874e-24	seed
10	inf	1.2711865643423211e-21	seed
11	inf	1.5603815077300947e-19	seed
12	inf	1.5291738775754798e-17	seed
13	inf	1.2462767102235322e-15	seed
14	inf	8.688329065557839e-14	non-seed
15	inf	5.28902031865868e-12	non-seed
16	313.3333333333333	1.942833463719246e-09	seed
17	117.25	2.751365999832239e-07	non-seed
18	56.72727272727273	1.968845122084336e-05	non-seed
19	29.1875	0.0007768077214344401	non-seed
20	14.338461538461539	0.017095639991723866	non-seed
21	5.535714285714286	0.19815696946693784	non-seed
22	5.535714285714286	0.19815696946693784	non-seed
23	5.535714285714286	0.19815696946693784	non-seed
24	0.0	1.0	non-seed
25	0.0	1.0	non-seed
26	0.0	1.0	non-seed
27	0.0	1.0	non-seed
28	0.0	1.0	non-seed
29	0.0	1.0	non-seed
30	0.0	1.0	non-seed
31	0.0	1.0	non-seed
32	0.0	1.0	non-seed
33	0.0	1.0	non-seed
34	0.0	1.0	non-seed
35	0.0	1.0	non-seed
36	0.0	1.0	non-seed
37	0.0	1.0	non-seed
38	0.0	1.0	non-seed
39	0.0	1.0	non-seed
40	0.0	1.0	non-seed
41	0.0	1.0	non-seed
42	0.0	1.0	non-seed
43	0.0	1.0	non-seed
44	0.0	1.0	non-seed
45	0.0	1.0	non-seed
46	0.0	1.0	non-seed
47	0.0	1.0	non-seed
48	0.0	1.0	non-seed
49	0.0	1.0	non-seed
50	0.0	1.0	non-seed
51	0.0	1.0	non-seed
52	0.0	1.0	non-seed
53	0.0	1.0	non-seed
54	0.0	1.0	non-seed
55	0.0	1.0	non-seed
56	0.0	1.0	non-seed
57	0.0	1.0	non-seed
58	0.0	1.0	non-seed
59	0.0	1.0	non-seed
60	0.0	1.0	non-seed
61	0.0	1.0	non-seed
62	0.0	1.0	non-seed
63	0.0	1.0	non-seed
64	0.0	1.0	non-seed
65	0.0	1.0	non-seed
66	0.0	1.0	non-seed
67	0.0	1.0	non-seed
68	0.0	1.0	non-seed
69	0.0	1.0	non-seed
70	0.0	1.0	non-seed
71	0.0	1.0	non-seed
72	0.0	1.0	non-seed
73	0.0	1.0	non-seed
74	0.0	1.0	non-seed
75	0.0	1.0	non-seed
76	0.0	1.0	non-seed
77	0.0	1.0	non-seed
78	0.0	1.0	non-seed
79	0.0	1.0	non-seed
80	0.0	1.0	non-seed
81	0.0	1.0	non-seed
82	0.0	1.0	non-seed
83	0.0	1.0	non-seed
84	0.0	1.0	non-seed
85	0.0	1.0	non-seed
86	0.0	1.0	non-seed
87	0.0	1.0	non-seed
88	0.0	1.0	non-seed
89	0.0	1.0	non-seed
90	0.0	1.0	non-seed
91	0.0	1.0	non-seed
92	0.0	1.0	non-seed
93	0.0	1.0	non-seed
94	0.0	1.0	non-seed
95	0.0	1.0	non-seed
96	0.0	1.0	non-seed
97	0.0	1.0	non-seed
98	0.0	1.0	non-seed
99	0.0	1.0	non-seed
100	0.0	1.0	non-seed
101	0.0	1.0	non-seed
102	0.0	1.0	non-seed
103	0.0	1.0	non-seed
104	0.0	1.0	non-seed
105	0.0	1.0	non-seed
106	0.0	1.0	non-seed
