# Term ID	Term name	num of genes	num of total genes	P-value	P-value corrected
GO:0016934	extracellularly glycine-gated chloride channel activity	4	4	5.532888003392154e-09	2.268484081390783e-07
GO:0016594	glycine binding	3	10	8.15122091647014e-05	0.001155656530422229
GO:0022852	glycine-gated chloride ion channel activity	2	2	8.456023393333382e-05	0.001155656530422229
GO:0004938	alpha2-adrenergic receptor activity	2	3	0.00025226507288322837	0.0025857169970530908
GO:0051379	epinephrine binding	2	4	0.0005017154865985074	0.004114066990107761
GO:0042166	acetylcholine binding	2	5	0.0008315288827589987	0.005682114032186492
GO:0031692	alpha-1B adrenergic receptor binding	1	1	0.009476031215145257	0.029885944601611963
GO:0032795	heterotrimeric G-protein binding	1	1	0.009476031215145257	0.029885944601611963
GO:0017081	chloride channel regulator activity	1	1	0.009476031215145257	0.029885944601611963
GO:0001588	dopamine neurotransmitter receptor activity, coupled via Gs	1	1	0.009476031215145257	0.029885944601611963
GO:0030977	taurine binding	1	1	0.009476031215145257	0.029885944601611963
GO:0016933	extracellularly glycine-gated ion channel activity	1	1	0.009476031215145257	0.029885944601611963
GO:1902122	chenodeoxycholic acid binding	1	1	0.009476031215145257	0.029885944601611963
GO:0015643	toxic substance binding	1	2	0.018867502196392667	0.04550397588541761
GO:0016907	G protein-coupled acetylcholine receptor activity	1	2	0.018867502196392667	0.04550397588541761
GO:0005216	ion channel activity	1	2	0.018867502196392667	0.04550397588541761
GO:0038181	bile acid receptor activity	1	2	0.018867502196392667	0.04550397588541761
