# Term ID	Term name	num of genes	num of total genes	P-value	P-value corrected
R-HSA-2565942	Regulation of PLK1 Activity at G2/M Transition	24	87	5.572651938632039e-16	5.338600557209494e-13
R-HSA-2871796	FCERI mediated MAPK activation	14	32	5.423896684076476e-13	2.598046511672632e-10
R-HSA-8854518	AURKA Activation by TPX2	19	72	1.6045162332962838e-12	5.123755171659466e-10
R-HSA-380259	Loss of Nlp from mitotic centrosomes	18	69	7.790583126007892e-12	1.4926757269431121e-09
R-HSA-380284	Loss of proteins required for interphase microtubule organization from the centrosome	18	69	7.790583126007892e-12	1.4926757269431121e-09
R-HSA-3371511	HSF1 activation	9	12	1.0647730024245292e-11	1.7000875605378315e-09
R-HSA-6804756	Regulation of TP53 Activity through Phosphorylation	20	92	2.0243503255022567e-11	2.77046801690166e-09
R-HSA-629597	Highly calcium permeable nicotinic acetylcholine receptors	7	7	4.8268661437245456e-11	5.137930850764572e-09
R-HSA-629587	Highly sodium permeable postsynaptic acetylcholine nicotinic receptors	7	7	4.8268661437245456e-11	5.137930850764572e-09
R-HSA-450341	Activation of the AP-1 family of transcription factors	8	10	6.78956651076915e-11	6.504404717316846e-09
R-HSA-1236382	Constitutive Signaling by Ligand-Responsive EGFR Cancer Variants	10	19	1.2283275433928395e-10	1.0697616241548547e-08
R-HSA-380270	Recruitment of mitotic centrosome proteins and complexes	18	81	1.4261529152120958e-10	1.138545410644323e-08
R-HSA-2122947	NOTCH1 Intracellular Domain Regulates Transcription	14	47	2.4791365878342157e-10	1.8269329624193682e-08
R-HSA-5620912	Anchoring of the basal body to the plasma membrane	19	97	4.400702174063117e-10	3.011337630537476e-08
R-HSA-1295596	Spry regulation of FGF signaling	9	16	4.908827001459238e-10	3.1351041782653e-08
R-HSA-8943724	Regulation of PTEN gene transcription	15	60	8.647377540584455e-10	5.1776173024249434e-08
R-HSA-2029482	Regulation of actin dynamics for phagocytic cup formation	15	61	1.1119863800499338e-09	6.11001784481708e-08
R-HSA-5625740	RHO GTPases activate PKNs	11	29	1.1480200543497646e-09	6.11001784481708e-08
R-HSA-380320	Recruitment of NuMA to mitotic centrosomes	18	92	1.3064389475661209e-09	6.587202693517599e-08
R-HSA-629594	Highly calcium permeable postsynaptic nicotinic acetylcholine receptors	7	9	1.6382559643597357e-09	7.847246069283134e-08
R-HSA-75035	Chk1/Chk2(Cds1) mediated inactivation of Cyclin B:Cdk1 complex	8	13	1.775660868958664e-09	8.100395773630476e-08
R-HSA-2644606	Constitutive Signaling by NOTCH1 PEST Domain Mutants	14	56	3.1951790634695012e-09	1.2754089761682426e-07
R-HSA-2894862	Constitutive Signaling by NOTCH1 HD+PEST Domain Mutants	14	56	3.1951790634695012e-09	1.2754089761682426e-07
R-HSA-69231	Cyclin D associated events in G1	13	47	3.0477015976899635e-09	1.2754089761682426e-07
R-HSA-9009391	Extra-nuclear estrogen signaling	14	57	4.107437241044232e-09	1.5739699507681495e-07
R-HSA-9664422	FCGR3A-mediated phagocytosis	14	59	6.6761648887492495e-09	2.459909985931454e-07
R-HSA-5637810	Constitutive Signaling by EGFRvIII	8	15	8.364701055742404e-09	2.967919856074527e-07
R-HSA-9656223	Signaling by RAF1 mutants	12	43	1.1186679738061192e-08	3.6954617893319386e-07
R-HSA-445144	Signal transduction by L1	9	21	1.0851972983045393e-08	3.6954617893319386e-07
R-HSA-9665348	Signaling by ERBB2 ECD mutants	8	16	1.6238519411551028e-08	5.185500532088628e-07
R-HSA-2559580	Oxidative Stress Induced Senescence	18	112	3.405297937947998e-08	9.594927719277006e-07
R-HSA-6802946	Signaling by moderate kinase activity BRAF mutants	12	47	3.3728776449699955e-08	9.594927719277006e-07
R-HSA-6802955	Paradoxical activation of RAF signaling by kinase inactive BRAF	12	47	3.3728776449699955e-08	9.594927719277006e-07
R-HSA-9649948	Signaling downstream of RAS mutants	12	47	3.3728776449699955e-08	9.594927719277006e-07
R-HSA-400253	Circadian Clock	13	57	3.905351926329899e-08	1.0689506129782981e-06
R-HSA-5627123	RHO GTPases activate PAKs	9	24	4.411355988613389e-08	1.173910843636563e-06
R-HSA-3371453	Regulation of HSF1-mediated heat shock response	14	69	5.710881523097085e-08	1.4786552700343265e-06
R-HSA-2173788	Downregulation of TGF-beta receptor signaling	9	26	9.927539690368811e-08	2.502785006150874e-06
R-HSA-4420097	VEGFA-VEGFR2 Pathway	13	62	1.1373035470227691e-07	2.7936840975584944e-06
R-HSA-5696395	Formation of Incision Complex in GG-NER	11	43	1.247099332102141e-07	2.9868029003846278e-06
