# Term ID	Term name	num of genes	num of total genes	P-value	P-value corrected
GO:0007271	synaptic transmission, cholinergic	4	4	2.125043687774546e-09	1.7850366977306186e-07
GO:0035095	behavioral response to nicotine	4	5	1.057797138365332e-08	8.885495962268788e-07
GO:0042391	regulation of membrane potential	5	18	9.578847819550613e-08	8.046232168422515e-06
GO:0050877	nervous system process	3	4	1.3961537028689483e-06	0.00011727691104099165
GO:0007165	signal transduction	4	29	4.513642737143253e-05	0.0037914598992003327
GO:0007274	neuromuscular synaptic transmission	2	2	5.3430954231172e-05	0.0044882001554184476
GO:0048630	skeletal muscle tissue growth	2	2	5.3430954231172e-05	0.0044882001554184476
GO:0050881	musculoskeletal movement	2	2	5.3430954231172e-05	0.0044882001554184476
GO:0001964	startle response	2	2	5.3430954231172e-05	0.0044882001554184476
GO:0060084	synaptic transmission involved in micturition	2	3	0.00015959159827674607	0.01340569425524667
GO:1905144	response to acetylcholine	2	3	0.00015959159827674607	0.01340569425524667
GO:0060080	inhibitory postsynaptic potential	2	3	0.00015959159827674607	0.01340569425524667
GO:0042053	regulation of dopamine metabolic process	2	3	0.00015959159827674607	0.01340569425524667
GO:0095500	acetylcholine receptor signaling pathway	2	4	0.0003177870428507748	0.02669411159946508
GO:0014059	regulation of dopamine secretion	2	4	0.0003177870428507748	0.02669411159946508
GO:0035094	response to nicotine	2	5	0.0005273287265498339	0.04429561303018605
GO:0006811	ion transport	2	5	0.0005273287265498339	0.04429561303018605
