# Term ID	Term name	num of genes	num of total genes	P-value	P-value corrected
GO:0007271	synaptic transmission, cholinergic	4	4	2.125043687774546e-09	1.7850366977306186e-07
GO:0035095	behavioral response to nicotine	4	5	1.057797138365332e-08	4.4427479811343945e-07
GO:0042391	regulation of membrane potential	5	18	9.578847819550613e-08	2.6820773894741717e-06
GO:0050877	nervous system process	3	4	1.3961537028689483e-06	2.9319227760247916e-05
GO:0007165	signal transduction	4	29	4.513642737143253e-05	0.0004986889061576054
GO:0007274	neuromuscular synaptic transmission	2	2	5.3430954231172e-05	0.0004986889061576054
GO:0048630	skeletal muscle tissue growth	2	2	5.3430954231172e-05	0.0004986889061576054
GO:0050881	musculoskeletal movement	2	2	5.3430954231172e-05	0.0004986889061576054
GO:0001964	startle response	2	2	5.3430954231172e-05	0.0004986889061576054
GO:0060084	synaptic transmission involved in micturition	2	3	0.00015959159827674607	0.00103120725040359
GO:1905144	response to acetylcholine	2	3	0.00015959159827674607	0.00103120725040359
GO:0060080	inhibitory postsynaptic potential	2	3	0.00015959159827674607	0.00103120725040359
GO:0042053	regulation of dopamine metabolic process	2	3	0.00015959159827674607	0.00103120725040359
GO:0095500	acetylcholine receptor signaling pathway	2	4	0.0003177870428507748	0.0017796074399643387
GO:0014059	regulation of dopamine secretion	2	4	0.0003177870428507748	0.0017796074399643387
GO:0035094	response to nicotine	2	5	0.0005273287265498339	0.0026056242958932972
GO:0006811	ion transport	2	5	0.0005273287265498339	0.0026056242958932972
GO:0048814	regulation of dendrite morphogenesis	2	6	0.0007875343689087924	0.003481730894123082
GO:0006936	muscle contraction	2	6	0.0007875343689087924	0.003481730894123082
GO:0007218	neuropeptide signaling pathway	2	7	0.0010977279237469534	0.004390911694987814
GO:0051899	membrane depolarization	2	7	0.0010977279237469534	0.004390911694987814
GO:0007626	locomotory behavior	2	8	0.0014572395328045023	0.005564005488889918
GO:0050890	cognition	2	9	0.0018654054797056102	0.006267762411810851
GO:0042113	B cell activation	2	9	0.0018654054797056102	0.006267762411810851
GO:0007399	nervous system development	2	9	0.0018654054797056102	0.006267762411810851
GO:0019233	sensory perception of pain	2	13	0.0039715507280982465	0.01283116389077895
GO:0016197	endosomal transport	1	1	0.007564296520417773	0.014440929720797566
GO:0042428	serotonin metabolic process	1	1	0.007564296520417773	0.014440929720797566
GO:0006940	regulation of smooth muscle contraction	1	1	0.007564296520417773	0.014440929720797566
GO:1902476	chloride transmembrane transport	2	15	0.005299736539492417	0.014440929720797566
GO:0014056	regulation of acetylcholine secretion, neurotransmission	1	1	0.007564296520417773	0.014440929720797566
GO:0001941	postsynaptic membrane organization	1	1	0.007564296520417773	0.014440929720797566
GO:0021562	vestibulocochlear nerve development	1	1	0.007564296520417773	0.014440929720797566
GO:0021631	optic nerve morphogenesis	1	1	0.007564296520417773	0.014440929720797566
GO:0021771	lateral geniculate nucleus development	1	1	0.007564296520417773	0.014440929720797566
GO:0032225	regulation of synaptic transmission, dopaminergic	1	1	0.007564296520417773	0.014440929720797566
GO:0033603	positive regulation of dopamine secretion	1	1	0.007564296520417773	0.014440929720797566
GO:0042320	regulation of circadian sleep/wake cycle, REM sleep	1	1	0.007564296520417773	0.014440929720797566
GO:0045759	negative regulation of action potential	1	1	0.007564296520417773	0.014440929720797566
GO:0051963	regulation of synapse assembly	1	1	0.007564296520417773	0.014440929720797566
GO:0051970	negative regulation of transmission of nerve impulse	1	1	0.007564296520417773	0.014440929720797566
GO:0060012	synaptic transmission, glycinergic	1	1	0.007564296520417773	0.014440929720797566
GO:0097305	response to alcohol	1	1	0.007564296520417773	0.014440929720797566
