# num of genes	num of total genes	Log of odds ratio	P-value	Adjusted p-value	GO term ID	GO term name	GO type
2	2	7.64061170756	-	2.48e-05	GO:0002283	neutrophil activation involved in immune response	BP
2	2	7.64061170756	-	2.48e-05	GO:0002506	polysaccharide assembly with MHC class II protein complex	BP
1	1	7.64061170756	-	5.01e-03	GO:0002495	antigen processing and presentation of peptide antigen via MHC class II	BP
1	1	7.64061170756	-	5.01e-03	GO:0090220	chromosome localization to nuclear envelope involved in homologous chromosome segregation	BP
1	1	7.64061170756	-	5.01e-03	GO:1904404	response to formaldehyde	BP
1	1	7.64061170756	-	5.01e-03	GO:0046327	glycerol biosynthetic process from pyruvate	BP
1	1	7.64061170756	-	5.01e-03	GO:0060709	glycogen cell differentiation involved in embryonic placenta development	BP
1	1	7.64061170756	-	5.01e-03	GO:0071301	cellular response to vitamin B1	BP
1	1	7.64061170756	-	5.01e-03	GO:0006117	acetaldehyde metabolic process	BP
1	1	7.64061170756	-	5.01e-03	GO:0034397	telomere localization	BP
1	1	7.64061170756	-	5.01e-03	GO:0002504	antigen processing and presentation of peptide or polysaccharide antigen via MHC class II	BP
1	1	7.64061170756	-	5.01e-03	GO:1903755	positive regulation of SUMO transferase activity	BP
1	1	7.64061170756	-	5.01e-03	GO:0038002	endocrine signaling	BP
1	1	7.64061170756	-	5.01e-03	GO:1905208	negative regulation of cardiocyte differentiation	BP
1	1	7.64061170756	-	5.01e-03	GO:0042991	transcription factor import into nucleus	BP
1	1	7.64061170756	-	5.01e-03	GO:0032928	regulation of superoxide anion generation	BP
1	1	7.64061170756	-	5.01e-03	GO:1901340	negative regulation of store-operated calcium channel activity	BP
1	1	7.64061170756	-	5.01e-03	GO:0043969	histone H2B acetylation	BP
1	1	7.64061170756	-	5.01e-03	GO:0038133	ERBB2-ERBB3 signaling pathway	BP
1	1	7.64061170756	-	5.01e-03	GO:1901976	regulation of cell cycle checkpoint	BP
1	1	7.64061170756	-	5.01e-03	GO:0019102	male somatic sex determination	BP
1	1	7.64061170756	-	5.01e-03	GO:2000639	negative regulation of SREBP signaling pathway	BP
1	1	7.64061170756	-	5.01e-03	GO:0070512	positive regulation of histone H4-K20 methylation	BP
1	1	7.64061170756	-	5.01e-03	GO:1990654	sebum secreting cell proliferation	BP
1	1	7.64061170756	-	5.01e-03	GO:0014734	skeletal muscle hypertrophy	BP
1	1	7.64061170756	-	5.01e-03	GO:1904021	negative regulation of G-protein coupled receptor internalization	BP
1	1	7.64061170756	-	5.01e-03	GO:0090237	regulation of arachidonic acid secretion	BP
1	1	7.64061170756	-	5.01e-03	GO:0100002	negative regulation of protein kinase activity by protein phosphorylation	BP
1	1	7.64061170756	-	5.01e-03	GO:0060520	activation of prostate induction by androgen receptor signaling pathway	BP
1	1	7.64061170756	-	5.01e-03	GO:0061733	peptide-lysine-N-acetyltransferase activity	MF
1	1	7.64061170756	-	5.01e-03	GO:0061656	SUMO conjugating enzyme activity	MF
1	1	7.64061170756	-	5.01e-03	GO:0070974	POU domain binding	MF
1	1	7.64061170756	-	5.01e-03	GO:0016849	phosphorus-oxygen lyase activity	MF
1	1	7.64061170756	-	5.01e-03	GO:0004343	glucosamine 6-phosphate N-acetyltransferase activity	MF
2	3	7.05564920684	-	2.48e-05	GO:0002554	serotonin secretion by platelet	BP
2	3	7.05564920684	-	7.40e-05	GO:0033590	response to cobalamin	BP
2	3	7.05564920684	-	7.40e-05	GO:0070141	response to UV-A	BP
7	11	6.98853501098	-	3.52e-13	GO:0019864	IgG binding	MF
2	4	6.64061170756	-	7.40e-05	GO:0060571	morphogenesis of an epithelial fold	BP
2	4	6.64061170756	-	1.48e-04	GO:0018393	internal peptidyl-lysine acetylation	BP
2	4	6.64061170756	-	1.48e-04	GO:0006990	positive regulation of transcription from RNA polymerase II promoter involved in unfolded protein response	BP
1	2	6.64061170756	-	5.01e-03	GO:2000521	negative regulation of immunological synapse formation	BP
1	2	6.64061170756	-	5.01e-03	GO:0032823	regulation of natural killer cell differentiation	BP
1	2	6.64061170756	-	5.01e-03	GO:0045720	negative regulation of integrin biosynthetic process	BP
1	2	6.64061170756	-	5.01e-03	GO:0033594	response to hydroxyisoflavone	BP
1	2	6.64061170756	-	5.01e-03	GO:0051136	regulation of NK T cell differentiation	BP
1	2	6.64061170756	-	5.01e-03	GO:0033082	regulation of extrathymic T cell differentiation	BP
1	2	6.64061170756	-	1.00e-02	GO:2000331	regulation of terminal button organization	BP
1	2	6.64061170756	-	1.00e-02	GO:0097252	oligodendrocyte apoptotic process	BP
1	2	6.64061170756	-	1.00e-02	GO:0001869	negative regulation of complement activation, lectin pathway	BP
1	2	6.64061170756	-	1.00e-02	GO:1900186	negative regulation of clathrin-dependent endocytosis	BP
1	2	6.64061170756	-	1.00e-02	GO:0060599	lateral sprouting involved in mammary gland duct morphogenesis	BP
1	2	6.64061170756	-	1.00e-02	GO:0014040	positive regulation of Schwann cell differentiation	BP
1	2	6.64061170756	-	1.00e-02	GO:0033026	negative regulation of mast cell apoptotic process	BP
1	2	6.64061170756	-	1.00e-02	GO:0060748	tertiary branching involved in mammary gland duct morphogenesis	BP
1	2	6.64061170756	-	1.00e-02	GO:0071174	mitotic spindle checkpoint	BP
1	2	6.64061170756	-	1.00e-02	GO:0036369	transcription factor catabolic process	BP
1	2	6.64061170756	-	1.00e-02	GO:0001798	positive regulation of type IIa hypersensitivity	BP
1	2	6.64061170756	-	1.00e-02	GO:0002431	Fc receptor mediated stimulatory signaling pathway	BP
1	2	6.64061170756	-	1.00e-02	GO:0036496	regulation of translational initiation by eIF2 alpha dephosphorylation	BP
1	2	6.64061170756	-	1.00e-02	GO:0045401	positive regulation of interleukin-3 biosynthetic process	BP
1	2	6.64061170756	-	1.00e-02	GO:2000620	positive regulation of histone H4-K16 acetylation	BP
1	2	6.64061170756	-	1.00e-02	GO:0010868	negative regulation of triglyceride biosynthetic process	BP
1	2	6.64061170756	-	1.00e-02	GO:0071674	mononuclear cell migration	BP
1	2	6.64061170756	-	1.00e-02	GO:0001805	positive regulation of type III hypersensitivity	BP
1	2	6.64061170756	-	1.00e-02	GO:1902722	positive regulation of prolactin secretion	BP
1	2	6.64061170756	-	1.00e-02	GO:0043313	regulation of neutrophil degranulation	BP
1	2	6.64061170756	-	1.00e-02	GO:0061402	positive regulation of transcription from RNA polymerase II promoter in response to acidic pH	BP
1	2	6.64061170756	-	1.00e-02	GO:0042590	antigen processing and presentation of exogenous peptide antigen via MHC class I	BP
1	2	6.64061170756	-	1.00e-02	GO:0006696	ergosterol biosynthetic process	BP
1	2	6.64061170756	-	1.00e-02	GO:0043006	activation of phospholipase A2 activity by calcium-mediated signaling	BP
1	2	6.64061170756	-	1.00e-02	GO:0018205	peptidyl-lysine modification	BP
1	2	6.64061170756	-	1.00e-02	GO:0048638	regulation of developmental growth	BP
1	2	6.64061170756	-	1.00e-02	GO:0035022	positive regulation of Rac protein signal transduction	BP
1	2	6.64061170756	-	1.00e-02	GO:0043366	beta selection	BP
1	2	6.64061170756	-	1.00e-02	GO:1904379	protein localization to cytosolic proteasome complex involved in ERAD pathway	BP
1	2	6.64061170756	-	1.00e-02	GO:0006041	glucosamine metabolic process	BP
1	2	6.64061170756	-	1.00e-02	GO:0021897	forebrain astrocyte development	BP
3	6	6.64061170756	-	2.38e-06	GO:0005168	neurotrophin TRKA receptor binding	MF
2	4	6.64061170756	-	1.48e-04	GO:0048408	epidermal growth factor binding	MF
