# num of genes	num of total genes	Log of odds ratio	P-value	Adjusted p-value	GO term ID	GO term name	GO type
2	2	7.10527997456	-	5.22e-05	GO:0002283	neutrophil activation involved in immune response	BP
2	2	7.10527997456	-	5.22e-05	GO:0002506	polysaccharide assembly with MHC class II protein complex	BP
2	2	7.10527997456	-	5.22e-05	GO:0043366	beta selection	BP
1	1	7.10527997456	-	7.26e-03	GO:0099641	anterograde axonal protein transport	BP
1	1	7.10527997456	-	7.26e-03	GO:0002495	antigen processing and presentation of peptide antigen via MHC class II	BP
1	1	7.10527997456	-	7.26e-03	GO:0061324	canonical Wnt signaling pathway involved in positive regulation of cardiac outflow tract cell proliferation	BP
1	1	7.10527997456	-	7.26e-03	GO:0090220	chromosome localization to nuclear envelope involved in homologous chromosome segregation	BP
1	1	7.10527997456	-	7.26e-03	GO:0033184	positive regulation of histone ubiquitination	BP
1	1	7.10527997456	-	7.26e-03	GO:1904404	response to formaldehyde	BP
1	1	7.10527997456	-	7.26e-03	GO:0090096	positive regulation of metanephric cap mesenchymal cell proliferation	BP
1	1	7.10527997456	-	7.26e-03	GO:0046327	glycerol biosynthetic process from pyruvate	BP
1	1	7.10527997456	-	7.26e-03	GO:0070489	T cell aggregation	BP
1	1	7.10527997456	-	7.26e-03	GO:1904793	regulation of euchromatin binding	BP
1	1	7.10527997456	-	7.26e-03	GO:0060709	glycogen cell differentiation involved in embryonic placenta development	BP
1	1	7.10527997456	-	7.26e-03	GO:0071301	cellular response to vitamin B1	BP
1	1	7.10527997456	-	7.26e-03	GO:0006117	acetaldehyde metabolic process	BP
1	1	7.10527997456	-	7.26e-03	GO:0034397	telomere localization	BP
1	1	7.10527997456	-	7.26e-03	GO:0002504	antigen processing and presentation of peptide or polysaccharide antigen via MHC class II	BP
1	1	7.10527997456	-	7.26e-03	GO:1903755	positive regulation of SUMO transferase activity	BP
1	1	7.10527997456	-	7.26e-03	GO:0044337	canonical Wnt signaling pathway involved in positive regulation of apoptotic process	BP
1	1	7.10527997456	-	7.26e-03	GO:0038002	endocrine signaling	BP
1	1	7.10527997456	-	7.26e-03	GO:0061550	cranial ganglion development	BP
1	1	7.10527997456	-	7.26e-03	GO:2001286	regulation of caveolin-mediated endocytosis	BP
1	1	7.10527997456	-	7.26e-03	GO:1905208	negative regulation of cardiocyte differentiation	BP
1	1	7.10527997456	-	7.26e-03	GO:0042991	transcription factor import into nucleus	BP
1	1	7.10527997456	-	7.26e-03	GO:1904501	positive regulation of chromatin-mediated maintenance of transcription	BP
1	1	7.10527997456	-	7.26e-03	GO:0003409	optic cup structural organization	BP
1	1	7.10527997456	-	7.26e-03	GO:0032928	regulation of superoxide anion generation	BP
1	1	7.10527997456	-	7.26e-03	GO:0046098	guanine metabolic process	BP
1	1	7.10527997456	-	7.26e-03	GO:1901340	negative regulation of store-operated calcium channel activity	BP
1	1	7.10527997456	-	7.26e-03	GO:0043969	histone H2B acetylation	BP
1	1	7.10527997456	-	7.26e-03	GO:0038133	ERBB2-ERBB3 signaling pathway	BP
1	1	7.10527997456	-	7.26e-03	GO:0001840	neural plate development	BP
1	1	7.10527997456	-	7.26e-03	GO:0060479	lung cell differentiation	BP
1	1	7.10527997456	-	7.26e-03	GO:1901976	regulation of cell cycle checkpoint	BP
1	1	7.10527997456	-	7.26e-03	GO:0019102	male somatic sex determination	BP
1	1	7.10527997456	-	7.26e-03	GO:0035112	genitalia morphogenesis	BP
1	1	7.10527997456	-	7.26e-03	GO:0007403	glial cell fate determination	BP
1	1	7.10527997456	-	7.26e-03	GO:2000639	negative regulation of SREBP signaling pathway	BP
1	1	7.10527997456	-	7.26e-03	GO:0070512	positive regulation of histone H4-K20 methylation	BP
1	1	7.10527997456	-	7.26e-03	GO:1990654	sebum secreting cell proliferation	BP
1	1	7.10527997456	-	7.26e-03	GO:0014734	skeletal muscle hypertrophy	BP
1	1	7.10527997456	-	7.26e-03	GO:1904021	negative regulation of G-protein coupled receptor internalization	BP
1	1	7.10527997456	-	7.26e-03	GO:0061767	negative regulation of lung blood pressure	BP
1	1	7.10527997456	-	7.26e-03	GO:0090237	regulation of arachidonic acid secretion	BP
1	1	7.10527997456	-	7.26e-03	GO:1904685	positive regulation of metalloendopeptidase activity	BP
1	1	7.10527997456	-	7.26e-03	GO:0100002	negative regulation of protein kinase activity by protein phosphorylation	BP
1	1	7.10527997456	-	7.26e-03	GO:0070947	neutrophil mediated killing of fungus	BP
1	1	7.10527997456	-	7.26e-03	GO:0060520	activation of prostate induction by androgen receptor signaling pathway	BP
2	2	7.10527997456	-	5.22e-05	GO:0034212	peptide N-acetyltransferase activity	MF
1	1	7.10527997456	-	7.26e-03	GO:0061733	peptide-lysine-N-acetyltransferase activity	MF
1	1	7.10527997456	-	7.26e-03	GO:0061656	SUMO conjugating enzyme activity	MF
1	1	7.10527997456	-	7.26e-03	GO:0051427	hormone receptor binding	MF
1	1	7.10527997456	-	7.26e-03	GO:0070974	POU domain binding	MF
1	1	7.10527997456	-	7.26e-03	GO:0016849	phosphorus-oxygen lyase activity	MF
1	1	7.10527997456	-	7.26e-03	GO:0004343	glucosamine 6-phosphate N-acetyltransferase activity	MF
2	3	6.52031747384	-	5.22e-05	GO:0002554	serotonin secretion by platelet	BP
2	3	6.52031747384	-	5.22e-05	GO:0060769	positive regulation of epithelial cell proliferation involved in prostate gland development	BP
2	3	6.52031747384	-	1.56e-04	GO:0033590	response to cobalamin	BP
2	3	6.52031747384	-	1.56e-04	GO:0070141	response to UV-A	BP
2	3	6.52031747384	-	1.56e-04	GO:0051365	cellular response to potassium ion starvation	BP
2	3	6.52031747384	-	1.56e-04	GO:0061198	fungiform papilla formation	BP
2	3	6.52031747384	-	1.56e-04	GO:0018076	N-terminal peptidyl-lysine acetylation	BP
2	3	6.52031747384	-	1.56e-04	GO:0050816	phosphothreonine binding	MF
7	11	6.45320327798	-	3.49e-12	GO:0019864	IgG binding	MF
6	12	6.10527997456	-	1.12e-10	GO:0035635	entry of bacterium into host cell	BP
2	4	6.10527997456	-	1.56e-04	GO:0060742	epithelial cell differentiation involved in prostate gland development	BP
