# num of genes	num of total genes	Log of odds ratio	P-value	Adjusted p-value	GO term ID	GO term name	GO type
30	30	0.999895225314	-	1.80e-09	GO:0006362	transcription elongation from RNA polymerase I promoter	BP
15	15	0.999895225314	-	6.06e-05	GO:0006978	DNA damage response, signal transduction by p53 class mediator resulting in transcription of p21 class mediator	BP
15	15	0.999895225314	-	6.06e-05	GO:0046965	retinoid X receptor binding	MF
11	11	0.999895225314	-	9.73e-04	GO:0032786	positive regulation of DNA-templated transcription, elongation	BP
11	11	0.999895225314	-	9.73e-04	GO:0010390	histone monoubiquitination	BP
11	11	0.999895225314	-	9.73e-04	GO:0060544	regulation of necroptotic process	BP
11	11	0.999895225314	-	9.73e-04	GO:0000185	activation of MAPKKK activity	BP
11	11	0.999895225314	-	9.73e-04	GO:0060968	regulation of gene silencing	BP
11	11	0.999895225314	-	9.73e-04	GO:0043522	leucine zipper domain binding	MF
11	11	0.999895225314	-	9.73e-04	GO:0035259	glucocorticoid receptor binding	MF
11	11	0.999895225314	-	9.73e-04	GO:0070411	I-SMAD binding	MF
11	11	0.999895225314	-	9.73e-04	GO:0032041	NAD-dependent histone deacetylase activity (H3-K14 specific)	MF
32	32	0.999895225314	-	4.49e-10	GO:0006335	DNA replication-dependent nucleosome assembly	BP
31	31	0.999895225314	-	9.00e-10	GO:0006363	termination of RNA polymerase I transcription	BP
26	26	0.999895225314	-	2.91e-08	GO:0006336	DNA replication-independent nucleosome assembly	BP
21	21	0.999895225314	-	9.39e-07	GO:0006295	nucleotide-excision repair, DNA incision, 3'-to lesion	BP
21	21	0.999895225314	-	9.39e-07	GO:0006293	nucleotide-excision repair, preincision complex stabilization	BP
14	14	0.999895225314	-	1.21e-04	GO:0032968	positive regulation of transcription elongation from RNA polymerase II promoter	BP
13	13	0.999895225314	-	2.43e-04	GO:0097296	activation of cysteine-type endopeptidase activity involved in apoptotic signaling pathway	BP
13	13	0.999895225314	-	2.43e-04	GO:0097284	hepatocyte apoptotic process	BP
12	12	0.999895225314	-	4.86e-04	GO:0000244	spliceosomal tri-snRNP complex assembly	BP
12	12	0.999895225314	-	4.86e-04	GO:0043149	stress fiber assembly	BP
12	12	0.999895225314	-	4.86e-04	GO:0035635	entry of bacterium into host cell	BP
12	12	0.999895225314	-	4.86e-04	GO:0035518	histone H2A monoubiquitination	BP
12	12	0.999895225314	-	4.86e-04	GO:0045820	negative regulation of glycolytic process	BP
8	8	0.999895225314	-	7.80e-03	GO:0033523	histone H2B ubiquitination	BP
8	8	0.999895225314	-	7.80e-03	GO:0071550	death-inducing signaling complex assembly	BP
8	8	0.999895225314	-	7.80e-03	GO:0033598	mammary gland epithelial cell proliferation	BP
8	8	0.999895225314	-	7.80e-03	GO:0045647	negative regulation of erythrocyte differentiation	BP
8	8	0.999895225314	-	7.80e-03	GO:0075713	establishment of integrated proviral latency	BP
8	8	0.999895225314	-	7.80e-03	GO:0006975	DNA damage induced protein phosphorylation	BP
8	8	0.999895225314	-	7.80e-03	GO:0033129	positive regulation of histone phosphorylation	BP
8	8	0.999895225314	-	7.80e-03	GO:0007172	signal complex assembly	BP
8	8	0.999895225314	-	7.80e-03	GO:0016574	histone ubiquitination	BP
8	8	0.999895225314	-	7.80e-03	GO:0042753	positive regulation of circadian rhythm	BP
8	8	0.999895225314	-	7.80e-03	GO:0060396	growth hormone receptor signaling pathway	BP
8	8	0.999895225314	-	7.80e-03	GO:0085020	protein K6-linked ubiquitination	BP
8	8	0.999895225314	-	7.80e-03	GO:0043497	regulation of protein heterodimerization activity	BP
8	8	0.999895225314	-	7.80e-03	GO:0046784	viral mRNA export from host cell nucleus	BP
7	7	0.999895225314	-	1.56e-02	GO:0046826	negative regulation of protein export from nucleus	BP
7	7	0.999895225314	-	1.56e-02	GO:0071499	cellular response to laminar fluid shear stress	BP
7	7	0.999895225314	-	1.56e-02	GO:0001783	B cell apoptotic process	BP
7	7	0.999895225314	-	1.56e-02	GO:0042921	glucocorticoid receptor signaling pathway	BP
7	7	0.999895225314	-	1.56e-02	GO:0003183	mitral valve morphogenesis	BP
