# num of genes	num of total genes	Log of odds ratio	P-value	Adjusted p-value	GO term ID	GO term name	GO type
2	2	7.17928055601	-	4.71e-05	GO:1904017	cellular response to Thyroglobulin triiodothyronine	BP
2	2	7.17928055601	-	4.71e-05	GO:0086098	angiotensin-activated signaling pathway involved in heart process	BP
1	1	7.17928055601	-	6.90e-03	GO:0090341	negative regulation of secretion of lysosomal enzymes	BP
1	1	7.17928055601	-	6.90e-03	GO:2001229	negative regulation of response to gamma radiation	BP
1	1	7.17928055601	-	6.90e-03	GO:0010522	regulation of calcium ion transport into cytosol	BP
1	1	7.17928055601	-	6.90e-03	GO:0002842	positive regulation of T cell mediated immune response to tumor cell	BP
1	1	7.17928055601	-	6.90e-03	GO:0035037	sperm entry	BP
1	1	7.17928055601	-	6.90e-03	GO:0035907	dorsal aorta development	BP
1	1	7.17928055601	-	6.90e-03	GO:0051249	regulation of lymphocyte activation	BP
1	1	7.17928055601	-	6.90e-03	GO:0060709	glycogen cell differentiation involved in embryonic placenta development	BP
1	1	7.17928055601	-	6.90e-03	GO:0035624	receptor transactivation	BP
1	1	7.17928055601	-	6.90e-03	GO:0048291	isotype switching to IgG isotypes	BP
1	1	7.17928055601	-	6.90e-03	GO:0072431	signal transduction involved in mitotic G1 DNA damage checkpoint	BP
1	1	7.17928055601	-	6.90e-03	GO:0002368	B cell cytokine production	BP
1	1	7.17928055601	-	6.90e-03	GO:0000435	positive regulation of transcription from RNA polymerase II promoter by galactose	BP
1	1	7.17928055601	-	6.90e-03	GO:1903755	positive regulation of SUMO transferase activity	BP
1	1	7.17928055601	-	6.90e-03	GO:0001543	ovarian follicle rupture	BP
1	1	7.17928055601	-	6.90e-03	GO:0009956	radial pattern formation	BP
1	1	7.17928055601	-	6.90e-03	GO:2001286	regulation of caveolin-mediated endocytosis	BP
1	1	7.17928055601	-	6.90e-03	GO:1905208	negative regulation of cardiocyte differentiation	BP
1	1	7.17928055601	-	6.90e-03	GO:0098746	fast, calcium ion-dependent exocytosis of neurotransmitter	BP
1	1	7.17928055601	-	6.90e-03	GO:2000836	positive regulation of androgen secretion	BP
1	1	7.17928055601	-	6.90e-03	GO:1903305	regulation of regulated secretory pathway	BP
1	1	7.17928055601	-	6.90e-03	GO:2001178	positive regulation of mediator complex assembly	BP
1	1	7.17928055601	-	6.90e-03	GO:1900085	negative regulation of peptidyl-tyrosine autophosphorylation	BP
1	1	7.17928055601	-	6.90e-03	GO:1901976	regulation of cell cycle checkpoint	BP
