# num of genes	num of total genes	Log of odds ratio	P-value	Adjusted p-value	GO term ID	GO term name	GO type
2	2	6.64061170756	-	9.97e-05	GO:1901558	response to metformin	BP
2	2	6.64061170756	-	9.97e-05	GO:1904017	cellular response to Thyroglobulin triiodothyronine	BP
1	1	6.64061170756	-	1.00e-02	GO:1902253	regulation of intrinsic apoptotic signaling pathway by p53 class mediator	BP
1	1	6.64061170756	-	1.00e-02	GO:0046824	positive regulation of nucleocytoplasmic transport	BP
1	1	6.64061170756	-	1.00e-02	GO:0061326	renal tubule development	BP
1	1	6.64061170756	-	1.00e-02	GO:0051729	germline cell cycle switching, mitotic to meiotic cell cycle	BP
1	1	6.64061170756	-	1.00e-02	GO:0010522	regulation of calcium ion transport into cytosol	BP
1	1	6.64061170756	-	1.00e-02	GO:1901994	negative regulation of meiotic cell cycle phase transition	BP
1	1	6.64061170756	-	1.00e-02	GO:0043618	regulation of transcription from RNA polymerase II promoter in response to stress	BP
1	1	6.64061170756	-	1.00e-02	GO:1904998	negative regulation of leukocyte adhesion to arterial endothelial cell	BP
1	1	6.64061170756	-	1.00e-02	GO:1902396	protein localization to bicellular tight junction	BP
1	1	6.64061170756	-	1.00e-02	GO:0000117	regulation of transcription involved in G2/M transition of mitotic cell cycle	BP
1	1	6.64061170756	-	1.00e-02	GO:0010768	negative regulation of transcription from RNA polymerase II promoter in response to UV-induced DNA damage	BP
1	1	6.64061170756	-	1.00e-02	GO:0051866	general adaptation syndrome	BP
1	1	6.64061170756	-	1.00e-02	GO:0021572	rhombomere 6 development	BP
1	1	6.64061170756	-	1.00e-02	GO:0048561	establishment of animal organ orientation	BP
1	1	6.64061170756	-	1.00e-02	GO:0006117	acetaldehyde metabolic process	BP
1	1	6.64061170756	-	1.00e-02	GO:0035624	receptor transactivation	BP
1	1	6.64061170756	-	1.00e-02	GO:0019089	transmission of virus	BP
1	1	6.64061170756	-	1.00e-02	GO:0000435	positive regulation of transcription from RNA polymerase II promoter by galactose	BP
1	1	6.64061170756	-	1.00e-02	GO:0072308	negative regulation of metanephric nephron tubule epithelial cell differentiation	BP
1	1	6.64061170756	-	1.00e-02	GO:1903755	positive regulation of SUMO transferase activity	BP
1	1	6.64061170756	-	1.00e-02	GO:0046725	negative regulation by virus of viral protein levels in host cell	BP
1	1	6.64061170756	-	1.00e-02	GO:0035042	fertilization, exchange of chromosomal proteins	BP
1	1	6.64061170756	-	1.00e-02	GO:1904353	regulation of telomere capping	BP
1	1	6.64061170756	-	1.00e-02	GO:0001543	ovarian follicle rupture	BP
1	1	6.64061170756	-	1.00e-02	GO:0098746	fast, calcium ion-dependent exocytosis of neurotransmitter	BP
1	1	6.64061170756	-	1.00e-02	GO:1903305	regulation of regulated secretory pathway	BP
1	1	6.64061170756	-	1.00e-02	GO:0090425	acinar cell differentiation	BP
1	1	6.64061170756	-	1.00e-02	GO:0043969	histone H2B acetylation	BP
1	1	6.64061170756	-	1.00e-02	GO:1900085	negative regulation of peptidyl-tyrosine autophosphorylation	BP
1	1	6.64061170756	-	1.00e-02	GO:0042659	regulation of cell fate specification	BP
1	1	6.64061170756	-	1.00e-02	GO:0061114	branching involved in pancreas morphogenesis	BP
1	1	6.64061170756	-	1.00e-02	GO:2000979	positive regulation of forebrain neuron differentiation	BP
1	1	6.64061170756	-	1.00e-02	GO:1905337	positive regulation of aggrephagy	BP
1	1	6.64061170756	-	1.00e-02	GO:1901978	positive regulation of cell cycle checkpoint	BP
1	1	6.64061170756	-	1.00e-02	GO:0002194	hepatocyte cell migration	BP
1	1	6.64061170756	-	1.00e-02	GO:1904639	cellular response to resveratrol	BP
1	1	6.64061170756	-	1.00e-02	GO:1904635	positive regulation of glomerular visceral epithelial cell apoptotic process	BP
1	1	6.64061170756	-	1.00e-02	GO:0003433	chondrocyte development involved in endochondral bone morphogenesis	BP
1	1	6.64061170756	-	1.00e-02	GO:0044111	development involved in symbiotic interaction	BP
1	1	6.64061170756	-	1.00e-02	GO:0000414	regulation of histone H3-K36 methylation	BP
1	1	6.64061170756	-	1.00e-02	GO:0050865	regulation of cell activation	BP
1	1	6.64061170756	-	1.00e-02	GO:0002154	thyroid hormone mediated signaling pathway	BP
1	1	6.64061170756	-	1.00e-02	GO:0052547	regulation of peptidase activity	BP
1	1	6.64061170756	-	1.00e-02	GO:0072362	regulation of glycolytic process by negative regulation of transcription from RNA polymerase II promoter	BP
1	1	6.64061170756	-	1.00e-02	GO:0072365	regulation of cellular ketone metabolic process by negative regulation of transcription from RNA polymerase II promoter	BP
1	1	6.64061170756	-	1.00e-02	GO:0071873	response to norepinephrine	BP
1	1	6.64061170756	-	1.00e-02	GO:0071250	cellular response to nitrite	BP
1	1	6.64061170756	-	1.00e-02	GO:0043049	otic placode formation	BP
1	1	6.64061170756	-	1.00e-02	GO:0045713	low-density lipoprotein particle receptor biosynthetic process	BP
1	1	6.64061170756	-	1.00e-02	GO:2000184	positive regulation of progesterone biosynthetic process	BP
1	1	6.64061170756	-	1.00e-02	GO:2000230	negative regulation of pancreatic stellate cell proliferation	BP
1	1	6.64061170756	-	1.00e-02	GO:0060694	regulation of cholesterol transporter activity	BP
1	1	6.64061170756	-	1.00e-02	GO:1901860	positive regulation of mitochondrial DNA metabolic process	BP
1	1	6.64061170756	-	1.00e-02	GO:1901863	positive regulation of muscle tissue development	BP
1	1	6.64061170756	-	1.00e-02	GO:0042501	serine phosphorylation of STAT protein	BP
3	3	6.64061170756	-	9.85e-07	GO:0004886	9-cis retinoic acid receptor activity	MF
2	2	6.64061170756	-	9.97e-05	GO:0034212	peptide N-acetyltransferase activity	MF
1	1	6.64061170756	-	1.00e-02	GO:0004955	prostaglandin receptor activity	MF
1	1	6.64061170756	-	1.00e-02	GO:0061733	peptide-lysine-N-acetyltransferase activity	MF
1	1	6.64061170756	-	1.00e-02	GO:0001010	transcription factor activity, sequence-specific DNA binding transcription factor recruiting	MF
1	1	6.64061170756	-	1.00e-02	GO:0043997	histone acetyltransferase activity (H4-K12 specific)	MF
1	1	6.64061170756	-	1.00e-02	GO:0061629	RNA polymerase II sequence-specific DNA binding transcription factor binding	MF
1	1	6.64061170756	-	1.00e-02	GO:0030549	acetylcholine receptor activator activity	MF
1	1	6.64061170756	-	1.00e-02	GO:1990188	euchromatin binding	MF
1	1	6.64061170756	-	1.00e-02	GO:0061656	SUMO conjugating enzyme activity	MF
1	1	6.64061170756	-	1.00e-02	GO:0004728	signal transducer, downstream of receptor, with protein tyrosine phosphatase activity	MF
1	1	6.64061170756	-	1.00e-02	GO:0070320	inward rectifier potassium channel inhibitor activity	MF
1	1	6.64061170756	-	1.00e-02	GO:0036403	arachidonate 8(S)-lipoxygenase activity	MF
1	1	6.64061170756	-	1.00e-02	GO:0032448	DNA hairpin binding	MF
1	1	6.64061170756	-	1.00e-02	GO:0035258	steroid hormone receptor binding	MF
1	1	6.64061170756	-	1.00e-02	GO:0050692	DBD domain binding	MF
2	3	6.05564920684	-	2.97e-04	GO:0070562	regulation of vitamin D receptor signaling pathway	BP
2	3	6.05564920684	-	2.97e-04	GO:0045604	regulation of epidermal cell differentiation	BP
2	3	6.05564920684	-	2.97e-04	GO:2001141	regulation of RNA biosynthetic process	BP
2	3	6.05564920684	-	2.97e-04	GO:0018076	N-terminal peptidyl-lysine acetylation	BP
2	3	6.05564920684	-	2.97e-04	GO:0021697	cerebellar cortex formation	BP
9	15	5.90364611339	-	5.25e-11	GO:0046965	retinoid X receptor binding	MF
4	8	5.64061170756	-	3.30e-07	GO:0035357	peroxisome proliferator activated receptor signaling pathway	BP
3	6	5.64061170756	-	1.93e-05	GO:0010742	macrophage derived foam cell differentiation	BP
2	4	5.64061170756	-	5.91e-04	GO:0035948	positive regulation of gluconeogenesis by positive regulation of transcription from RNA polymerase II promoter	BP
2	4	5.64061170756	-	5.91e-04	GO:0033136	serine phosphorylation of STAT3 protein	BP
2	4	5.64061170756	-	5.91e-04	GO:0048679	regulation of axon regeneration	BP
1	2	5.64061170756	-	1.00e-02	GO:1901857	positive regulation of cellular respiration	BP
1	2	5.64061170756	-	1.00e-02	GO:0007423	sensory organ development	BP
1	2	5.64061170756	-	1.00e-02	GO:1901979	regulation of inward rectifier potassium channel activity	BP
1	2	5.64061170756	-	1.00e-02	GO:0030641	regulation of cellular pH	BP
1	2	5.64061170756	-	1.99e-02	GO:0090402	oncogene-induced cell senescence	BP
1	2	5.64061170756	-	1.99e-02	GO:0033144	negative regulation of intracellular steroid hormone receptor signaling pathway	BP
1	2	5.64061170756	-	1.99e-02	GO:0014740	negative regulation of muscle hyperplasia	BP
1	2	5.64061170756	-	1.99e-02	GO:2001055	positive regulation of mesenchymal cell apoptotic process	BP
1	2	5.64061170756	-	1.99e-02	GO:0071929	alpha-tubulin acetylation	BP
1	2	5.64061170756	-	1.99e-02	GO:0014040	positive regulation of Schwann cell differentiation	BP
1	2	5.64061170756	-	1.99e-02	GO:0021571	rhombomere 5 development	BP
1	2	5.64061170756	-	1.99e-02	GO:0071306	cellular response to vitamin E	BP
1	2	5.64061170756	-	1.99e-02	GO:0035947	regulation of gluconeogenesis by regulation of transcription from RNA polymerase II promoter	BP
1	2	5.64061170756	-	1.99e-02	GO:2000327	positive regulation of ligand-dependent nuclear receptor transcription coactivator activity	BP
1	2	5.64061170756	-	1.99e-02	GO:0010874	regulation of cholesterol efflux	BP
1	2	5.64061170756	-	1.99e-02	GO:0048822	enucleate erythrocyte development	BP
1	2	5.64061170756	-	1.99e-02	GO:0044860	protein localization to plasma membrane raft	BP
1	2	5.64061170756	-	1.99e-02	GO:0035026	leading edge cell differentiation	BP
1	2	5.64061170756	-	1.99e-02	GO:1903894	regulation of IRE1-mediated unfolded protein response	BP
1	2	5.64061170756	-	1.99e-02	GO:0060502	epithelial cell proliferation involved in lung morphogenesis	BP
1	2	5.64061170756	-	1.99e-02	GO:0022037	metencephalon development	BP
1	2	5.64061170756	-	1.99e-02	GO:2000291	regulation of myoblast proliferation	BP
1	2	5.64061170756	-	1.99e-02	GO:0090427	activation of meiosis	BP
1	2	5.64061170756	-	1.99e-02	GO:2001038	regulation of cellular response to drug	BP
1	2	5.64061170756	-	1.99e-02	GO:0046619	optic placode formation involved in camera-type eye formation	BP
1	2	5.64061170756	-	1.99e-02	GO:0048513	animal organ development	BP
1	2	5.64061170756	-	1.99e-02	GO:0035408	histone H3-T6 phosphorylation	BP
1	2	5.64061170756	-	1.99e-02	GO:2000707	positive regulation of dense core granule biogenesis	BP
1	2	5.64061170756	-	1.99e-02	GO:0021986	habenula development	BP
1	2	5.64061170756	-	1.99e-02	GO:0045872	positive regulation of rhodopsin gene expression	BP
1	2	5.64061170756	-	1.99e-02	GO:0003057	regulation of the force of heart contraction by chemical signal	BP
1	2	5.64061170756	-	1.99e-02	GO:2000191	regulation of fatty acid transport	BP
1	2	5.64061170756	-	1.99e-02	GO:0021599	abducens nerve formation	BP
1	2	5.64061170756	-	1.99e-02	GO:0090149	mitochondrial membrane fission	BP
1	2	5.64061170756	-	1.99e-02	GO:0044154	histone H3-K14 acetylation	BP
1	2	5.64061170756	-	1.99e-02	GO:2000342	negative regulation of chemokine (C-X-C motif) ligand 2 production	BP
1	2	5.64061170756	-	1.99e-02	GO:0021514	ventral spinal cord interneuron differentiation	BP
1	2	5.64061170756	-	1.99e-02	GO:0033484	nitric oxide homeostasis	BP
1	2	5.64061170756	-	1.99e-02	GO:0072368	regulation of lipid transport by negative regulation of transcription from RNA polymerase II promoter	BP
1	2	5.64061170756	-	1.99e-02	GO:2000779	regulation of double-strand break repair	BP
1	2	5.64061170756	-	1.99e-02	GO:0060849	regulation of transcription involved in lymphatic endothelial cell fate commitment	BP
1	2	5.64061170756	-	1.99e-02	GO:0086098	angiotensin-activated signaling pathway involved in heart process	BP
1	2	5.64061170756	-	1.99e-02	GO:0060713	labyrinthine layer morphogenesis	BP
1	2	5.64061170756	-	1.99e-02	GO:0045994	positive regulation of translational initiation by iron	BP
10	20	5.64061170756	-	9.45e-12	GO:0016922	ligand-dependent nuclear receptor binding	MF
2	4	5.64061170756	-	5.91e-04	GO:0030375	thyroid hormone receptor coactivator activity	MF
2	4	5.64061170756	-	5.91e-04	GO:0071535	RING-like zinc finger domain binding	MF
2	4	5.64061170756	-	5.91e-04	GO:0050693	LBD domain binding	MF
1	2	5.64061170756	-	1.99e-02	GO:0033142	progesterone receptor binding	MF
1	2	5.64061170756	-	1.99e-02	GO:0016165	linoleate 13S-lipoxygenase activity	MF
1	2	5.64061170756	-	1.99e-02	GO:0035403	histone kinase activity (H3-T6 specific)	MF
1	2	5.64061170756	-	1.99e-02	GO:0035014	phosphatidylinositol 3-kinase regulator activity	MF
1	2	5.64061170756	-	1.99e-02	GO:0017129	triglyceride binding	MF
10	22	5.50310818381	-	2.36e-11	GO:0035257	nuclear hormone receptor binding	MF
3	7	5.41821928622	-	1.93e-05	GO:0071455	cellular response to hyperoxia	BP
5	12	5.37757730172	-	7.04e-08	GO:0042974	retinoic acid receptor binding	MF
2	5	5.31868361267	-	5.91e-04	GO:0003406	retinal pigment epithelium development	BP
2	5	5.31868361267	-	9.78e-04	GO:0060744	mammary gland branching involved in thelarche	BP
2	5	5.31868361267	-	9.78e-04	GO:0055012	ventricular cardiac muscle cell differentiation	BP
2	5	5.31868361267	-	9.78e-04	GO:0010606	positive regulation of cytoplasmic mRNA processing body assembly	BP
2	5	5.31868361267	-	9.78e-04	GO:0071376	cellular response to corticotropin-releasing hormone stimulus	BP
4	10	5.31868361267	-	1.94e-06	GO:0042975	peroxisome proliferator activated receptor binding	MF
2	5	5.31868361267	-	9.78e-04	GO:0003708	retinoic acid receptor activity	MF
6	16	5.22557420828	-	2.55e-09	GO:0048384	retinoic acid receptor signaling pathway	BP
2	6	5.05564920684	-	1.46e-03	GO:0046321	positive regulation of fatty acid oxidation	BP
2	6	5.05564920684	-	1.46e-03	GO:0030948	negative regulation of vascular endothelial growth factor receptor signaling pathway	BP
2	6	5.05564920684	-	1.46e-03	GO:1903799	negative regulation of production of miRNAs involved in gene silencing by miRNA	BP
2	6	5.05564920684	-	1.46e-03	GO:0031087	deadenylation-independent decapping of nuclear-transcribed mRNA	BP
2	6	5.05564920684	-	1.46e-03	GO:0051152	positive regulation of smooth muscle cell differentiation	BP
1	3	5.05564920684	-	1.99e-02	GO:0046885	regulation of hormone biosynthetic process	BP
1	3	5.05564920684	-	1.99e-02	GO:1902617	response to fluoride	BP
1	3	5.05564920684	-	1.99e-02	GO:0072136	metanephric mesenchymal cell proliferation involved in metanephros development	BP
1	3	5.05564920684	-	2.98e-02	GO:0034770	histone H4-K20 methylation	BP
1	3	5.05564920684	-	2.98e-02	GO:0055005	ventricular cardiac myofibril assembly	BP
1	3	5.05564920684	-	2.98e-02	GO:0006499	N-terminal protein myristoylation	BP
1	3	5.05564920684	-	2.98e-02	GO:0098903	regulation of membrane repolarization during action potential	BP
1	3	5.05564920684	-	2.98e-02	GO:0046985	positive regulation of hemoglobin biosynthetic process	BP
1	3	5.05564920684	-	2.98e-02	GO:0031587	positive regulation of inositol 1,4,5-trisphosphate-sensitive calcium-release channel activity	BP
1	3	5.05564920684	-	2.98e-02	GO:0060414	aorta smooth muscle tissue morphogenesis	BP
1	3	5.05564920684	-	2.98e-02	GO:0007500	mesodermal cell fate determination	BP
1	3	5.05564920684	-	2.98e-02	GO:0033590	response to cobalamin	BP
1	3	5.05564920684	-	2.98e-02	GO:0055098	response to low-density lipoprotein particle	BP
1	3	5.05564920684	-	2.98e-02	GO:0072574	hepatocyte proliferation	BP
1	3	5.05564920684	-	2.98e-02	GO:0060745	mammary gland branching involved in pregnancy	BP
1	3	5.05564920684	-	2.98e-02	GO:1904798	positive regulation of core promoter binding	BP
1	3	5.05564920684	-	2.98e-02	GO:0035284	brain segmentation	BP
1	3	5.05564920684	-	2.98e-02	GO:0021885	forebrain cell migration	BP
1	3	5.05564920684	-	2.98e-02	GO:0010766	negative regulation of sodium ion transport	BP
1	3	5.05564920684	-	2.98e-02	GO:2000286	receptor internalization involved in canonical Wnt signaling pathway	BP
1	3	5.05564920684	-	2.98e-02	GO:0051795	positive regulation of timing of catagen	BP
1	3	5.05564920684	-	2.98e-02	GO:0045925	positive regulation of female receptivity	BP
1	3	5.05564920684	-	2.98e-02	GO:0035986	senescence-associated heterochromatin focus assembly	BP
1	3	5.05564920684	-	2.98e-02	GO:0010871	negative regulation of receptor biosynthetic process	BP
1	3	5.05564920684	-	2.98e-02	GO:0090043	regulation of tubulin deacetylation	BP
1	3	5.05564920684	-	2.98e-02	GO:0051365	cellular response to potassium ion starvation	BP
1	3	5.05564920684	-	2.98e-02	GO:1903421	regulation of synaptic vesicle recycling	BP
1	3	5.05564920684	-	2.98e-02	GO:0070966	nuclear-transcribed mRNA catabolic process, no-go decay	BP
1	3	5.05564920684	-	2.98e-02	GO:0003340	negative regulation of mesenchymal to epithelial transition involved in metanephros morphogenesis	BP
1	3	5.05564920684	-	2.98e-02	GO:0042524	negative regulation of tyrosine phosphorylation of Stat5 protein	BP
1	3	5.05564920684	-	2.98e-02	GO:0035166	post-embryonic hemopoiesis	BP
1	3	5.05564920684	-	2.98e-02	GO:1903025	regulation of RNA polymerase II regulatory region sequence-specific DNA binding	BP
1	3	5.05564920684	-	2.98e-02	GO:1903598	positive regulation of gap junction assembly	BP
1	3	5.05564920684	-	2.98e-02	GO:0035880	embryonic nail plate morphogenesis	BP
1	3	5.05564920684	-	2.98e-02	GO:0034201	response to oleic acid	BP
1	3	5.05564920684	-	2.98e-02	GO:0090258	negative regulation of mitochondrial fission	BP
1	3	5.05564920684	-	2.98e-02	GO:1902593	single-organism nuclear import	BP
1	3	5.05564920684	-	2.98e-02	GO:2000630	positive regulation of miRNA metabolic process	BP
1	3	5.05564920684	-	2.98e-02	GO:0019065	receptor-mediated endocytosis of virus by host cell	BP
1	3	5.05564920684	-	2.98e-02	GO:0002068	glandular epithelial cell development	BP
1	3	5.05564920684	-	2.98e-02	GO:0071871	response to epinephrine	BP
1	3	5.05564920684	-	2.98e-02	GO:0071409	cellular response to cycloheximide	BP
1	3	5.05564920684	-	2.98e-02	GO:1904640	response to methionine	BP
2	6	5.05564920684	-	1.46e-03	GO:0001221	transcription cofactor binding	MF
1	3	5.05564920684	-	1.00e-02	GO:0033218	amide binding	MF
1	3	5.05564920684	-	1.99e-02	GO:0050473	arachidonate 15-lipoxygenase activity	MF
1	3	5.05564920684	-	2.98e-02	GO:0050816	phosphothreonine binding	MF
1	3	5.05564920684	-	2.98e-02	GO:0001012	RNA polymerase II regulatory region DNA binding	MF
1	3	5.05564920684	-	2.98e-02	GO:0070644	vitamin D response element binding	MF
1	3	5.05564920684	-	2.98e-02	GO:0010484	H3 histone acetyltransferase activity	MF
1	3	5.05564920684	-	2.98e-02	GO:0019166	trans-2-enoyl-CoA reductase (NADPH) activity	MF
1	3	5.05564920684	-	2.98e-02	GO:0050508	glucuronosyl-N-acetylglucosaminyl-proteoglycan 4-alpha-N-acetylglucosaminyltransferase activity	MF
1	3	5.05564920684	-	2.98e-02	GO:0008384	IkappaB kinase activity	MF
1	3	5.05564920684	-	2.98e-02	GO:0030348	syntaxin-3 binding	MF
1	3	5.05564920684	-	2.98e-02	GO:0043398	HLH domain binding	MF
12	40	4.90364611339	-	3.33e-11	GO:0044255	cellular lipid metabolic process	BP
8	27	4.88572420539	-	1.57e-10	GO:0046966	thyroid hormone receptor binding	MF
2	7	4.8332567855	-	1.46e-03	GO:0045722	positive regulation of gluconeogenesis	BP
2	7	4.8332567855	-	2.03e-03	GO:0042921	glucocorticoid receptor signaling pathway	BP
2	7	4.8332567855	-	2.03e-03	GO:0004887	thyroid hormone receptor activity	MF
3	11	4.76614258964	-	1.12e-04	GO:0006473	protein acetylation	BP
3	11	4.76614258964	-	1.12e-04	GO:0016407	acetyltransferase activity	MF
3	11	4.76614258964	-	1.53e-04	GO:0035259	glucocorticoid receptor binding	MF
10	39	4.67713758358	-	7.69e-11	GO:0030331	estrogen receptor binding	MF
3	12	4.64061170756	-	2.03e-04	GO:2000273	positive regulation of receptor activity	BP
1	4	4.64061170756	-	1.99e-02	GO:0060214	endocardium formation	BP
1	4	4.64061170756	-	2.98e-02	GO:0035616	histone H2B conserved C-terminal lysine deubiquitination	BP
1	4	4.64061170756	-	2.98e-02	GO:0031936	negative regulation of chromatin silencing	BP
1	4	4.64061170756	-	2.98e-02	GO:0070858	negative regulation of bile acid biosynthetic process	BP
1	4	4.64061170756	-	2.98e-02	GO:0060335	positive regulation of interferon-gamma-mediated signaling pathway	BP
1	4	4.64061170756	-	2.98e-02	GO:0007290	spermatid nucleus elongation	BP
1	4	4.64061170756	-	2.98e-02	GO:0048550	negative regulation of pinocytosis	BP
1	4	4.64061170756	-	3.95e-02	GO:0043201	response to leucine	BP
1	4	4.64061170756	-	3.95e-02	GO:0030578	PML body organization	BP
1	4	4.64061170756	-	3.95e-02	GO:0046545	development of primary female sexual characteristics	BP
1	4	4.64061170756	-	3.95e-02	GO:0014044	Schwann cell development	BP
1	4	4.64061170756	-	3.95e-02	GO:0032507	maintenance of protein location in cell	BP
1	4	4.64061170756	-	3.95e-02	GO:0045415	negative regulation of interleukin-8 biosynthetic process	BP
1	4	4.64061170756	-	3.95e-02	GO:0046602	regulation of mitotic centrosome separation	BP
1	4	4.64061170756	-	3.95e-02	GO:0060336	negative regulation of interferon-gamma-mediated signaling pathway	BP
1	4	4.64061170756	-	3.95e-02	GO:0050847	progesterone receptor signaling pathway	BP
1	4	4.64061170756	-	3.95e-02	GO:0060421	positive regulation of heart growth	BP
1	4	4.64061170756	-	3.95e-02	GO:0070318	positive regulation of G0 to G1 transition	BP
1	4	4.64061170756	-	3.95e-02	GO:0018393	internal peptidyl-lysine acetylation	BP
1	4	4.64061170756	-	3.95e-02	GO:0030910	olfactory placode formation	BP
1	4	4.64061170756	-	3.95e-02	GO:1990182	exosomal secretion	BP
1	4	4.64061170756	-	3.95e-02	GO:1903347	negative regulation of bicellular tight junction assembly	BP
1	4	4.64061170756	-	3.95e-02	GO:0090170	regulation of Golgi inheritance	BP
1	4	4.64061170756	-	3.95e-02	GO:1904504	positive regulation of lipophagy	BP
