# num of genes	num of total genes	Log of odds ratio	P-value	Adjusted p-value	GO term ID	GO term name	GO type
1	1	6.64061170756	-	1.00e-02	GO:0090343	positive regulation of cell aging	BP
1	1	6.64061170756	-	1.00e-02	GO:0099641	anterograde axonal protein transport	BP
1	1	6.64061170756	-	1.00e-02	GO:0007344	pronuclear fusion	BP
1	1	6.64061170756	-	1.00e-02	GO:0061324	canonical Wnt signaling pathway involved in positive regulation of cardiac outflow tract cell proliferation	BP
1	1	6.64061170756	-	1.00e-02	GO:1904914	negative regulation of establishment of macromolecular complex localization to telomere	BP
1	1	6.64061170756	-	1.00e-02	GO:1904911	negative regulation of establishment of RNA localization to telomere	BP
1	1	6.64061170756	-	1.00e-02	GO:2001229	negative regulation of response to gamma radiation	BP
1	1	6.64061170756	-	1.00e-02	GO:1904764	chaperone-mediated autophagy translocation complex disassembly	BP
1	1	6.64061170756	-	1.00e-02	GO:1903007	positive regulation of Lys63-specific deubiquitinase activity	BP
1	1	6.64061170756	-	1.00e-02	GO:0033184	positive regulation of histone ubiquitination	BP
1	1	6.64061170756	-	1.00e-02	GO:1990859	cellular response to endothelin	BP
1	1	6.64061170756	-	1.00e-02	GO:0002842	positive regulation of T cell mediated immune response to tumor cell	BP
1	1	6.64061170756	-	1.00e-02	GO:0032077	positive regulation of deoxyribonuclease activity	BP
1	1	6.64061170756	-	1.00e-02	GO:1904404	response to formaldehyde	BP
1	1	6.64061170756	-	1.00e-02	GO:0090096	positive regulation of metanephric cap mesenchymal cell proliferation	BP
1	1	6.64061170756	-	1.00e-02	GO:1904792	positive regulation of shelterin complex assembly	BP
1	1	6.64061170756	-	1.00e-02	GO:1904793	regulation of euchromatin binding	BP
1	1	6.64061170756	-	1.00e-02	GO:0060709	glycogen cell differentiation involved in embryonic placenta development	BP
1	1	6.64061170756	-	1.00e-02	GO:0071301	cellular response to vitamin B1	BP
1	1	6.64061170756	-	1.00e-02	GO:0006117	acetaldehyde metabolic process	BP
1	1	6.64061170756	-	1.00e-02	GO:2000655	negative regulation of cellular response to testosterone stimulus	BP
1	1	6.64061170756	-	1.00e-02	GO:0048291	isotype switching to IgG isotypes	BP
1	1	6.64061170756	-	1.00e-02	GO:0072431	signal transduction involved in mitotic G1 DNA damage checkpoint	BP
1	1	6.64061170756	-	1.00e-02	GO:0002368	B cell cytokine production	BP
1	1	6.64061170756	-	1.00e-02	GO:0072389	flavin adenine dinucleotide catabolic process	BP
1	1	6.64061170756	-	1.00e-02	GO:0035437	maintenance of protein localization in endoplasmic reticulum	BP
1	1	6.64061170756	-	1.00e-02	GO:1903755	positive regulation of SUMO transferase activity	BP
1	1	6.64061170756	-	1.00e-02	GO:0014038	regulation of Schwann cell differentiation	BP
1	1	6.64061170756	-	1.00e-02	GO:1903897	regulation of PERK-mediated unfolded protein response	BP
1	1	6.64061170756	-	1.00e-02	GO:1903891	regulation of ATF6-mediated unfolded protein response	BP
1	1	6.64061170756	-	1.00e-02	GO:0038002	endocrine signaling	BP
1	1	6.64061170756	-	1.00e-02	GO:0097501	stress response to metal ion	BP
1	1	6.64061170756	-	1.00e-02	GO:0061847	response to cholecystokinin	BP
1	1	6.64061170756	-	1.00e-02	GO:1901389	negative regulation of transforming growth factor beta activation	BP
1	1	6.64061170756	-	1.00e-02	GO:1904353	regulation of telomere capping	BP
