#Id Score P-value
760 1.0 0.0
57540 0.98348 0.0
55139 0.425622 0.0006536
84300 0.267288 0.0023811
89876 0.179359 0.0094913
158798 0.179359 0.0094913
60560 0.144914 0.017893
79607 0.113932 0.0757482
55245 0.093119 0.526597
84073 0.0898 0.8108967
80023 0.083687 0.8108967
3329 0.081362 0.8108967
10235 0.080913 0.8108967
51280 0.079955 0.9560736
29803 0.078938 0.9560736
2130 0.075885 0.9560736
1291 0.075278 0.9560736
143244 0.072468 0.9560736
55701 0.072005 0.9560736
7157 0.064541 0.9866321
7329 0.064334 0.9866321
8165 0.064128 0.9866321
56648 0.063299 0.9866321
672 0.062033 0.9866321
2033 0.061884 0.9866321
1956 0.061637 0.9866321
7316 0.061002 0.9866321
6233 0.06098 0.9866321
3845 0.060961 0.9866321
1915 0.060789 0.9866321
4670 0.060663 0.9866321
3315 0.060653 0.9866321
1457 0.060484 0.9866321
6733 0.060145 0.9866321
7389 0.059954 0.995258
207 0.05994 0.995258
23028 0.059719 0.995258
4609 0.059559 0.995258
29952 0.059454 0.995258
10524 0.059291 0.995258
4193 0.059212 0.995258
2885 0.059161 0.995258
367 0.059098 0.995258
7186 0.059001 0.995258
5987 0.058939 0.995258
1387 0.058649 0.995258
90293 0.058616 0.995258
9903 0.058616 0.995258
4000 0.058608 0.995258
3190 0.058551 0.995258
1460 0.058534 0.995258
3309 0.058469 0.995258
2801 0.058381 0.995258
6310 0.058272 0.995258
8358 0.058264 0.995258
8350 0.058264 0.995258
8351 0.058264 0.995258
8352 0.058264 0.995258
8353 0.058264 0.995258
8354 0.058264 0.995258
8355 0.058264 0.995258
8356 0.058264 0.995258
8357 0.058264 0.995258
8968 0.058264 0.995258
5300 0.058187 0.995258
1398 0.058166 0.995258
6714 0.058044 0.995258
1026 0.057917 0.995258
145508 0.057878 0.995258
2932 0.057877 0.995258
5591 0.057874 0.995258
6386 0.057869 0.995258
3064 0.057861 0.995258
6427 0.057859 0.995258
131034 0.057828 0.995258
7341 0.057824 0.995258
117178 0.057792 0.995258
3320 0.057662 0.995258
8945 0.057642 0.995258
7534 0.057636 0.995258
7530 0.057636 0.995258
3065 0.057607 0.995258
4088 0.057599 0.995258
125115 0.057571 0.995258
7415 0.057565 0.995258
2597 0.057561 0.995258
6774 0.057512 0.995258
23140 0.057496 0.995258
5499 0.057488 0.995258
3838 0.057485 0.995258
3725 0.057389 0.995258
3312 0.057321 0.995258
2547 0.05732 0.995258
56893 0.057307 0.995258
3192 0.0573 0.995258
166 0.057291 0.995258
5315 0.05726 0.995258
221184 0.057254 0.995258
84708 0.057243 0.995258
200728 0.057237 0.995258
10565 0.057196 0.995258
3326 0.057084 0.995258
5925 0.05708 0.995258
5970 0.057079 0.995258
29079 0.057071 0.995258
3184 0.057068 0.995258
10768 0.057035 0.995258
5010 0.057019 0.995258
1499 0.05701 0.995258
7874 0.057004 0.995258
23411 0.056987 0.995258
5430 0.056974 0.995258
580 0.056944 0.995258
6790 0.056928 0.995258
7431 0.056845 0.995258
85302 0.056817 0.995258
5682 0.056779 0.995258
2099 0.056752 0.995258
84445 0.056739 0.995258
5594 0.056702 0.995258
60 0.056689 0.995258
7321 0.056684 0.995258
5111 0.056674 0.995258
10521 0.056663 0.995258
983 0.056653 0.995258
168374 0.056635 0.995258
7311 0.056617 0.995258
23390 0.056613 0.995258
7013 0.056559 0.995258
29979 0.056548 0.995258
22981 0.056527 0.995258
1107 0.056526 0.995258
3609 0.056511 0.995258
5597 0.056484 0.995258
10273 0.056446 0.995258
1432 0.056444 0.995258
6732 0.056377 0.995258
3183 0.056375 0.995258
8554 0.05637 0.995258
1072 0.056361 0.995258
1616 0.05636 0.995258
7514 0.056357 0.995258
4691 0.056349 0.995258
9146 0.056349 0.995258
6421 0.056338 0.995258
3308 0.056319 0.995258
10657 0.0563 0.995258
7531 0.056297 0.995258
6613 0.056273 0.995258
5599 0.056271 0.995258
2908 0.056229 0.995258
1639 0.056205 0.995258
4841 0.056165 0.995258
9611 0.056161 0.995258
7159 0.056161 0.995258
7917 0.05614 0.995258
7295 0.05612 0.995258
5347 0.056112 0.995258
22938 0.05611 0.995258
386682 0.056095 0.995258
1048 0.056094 0.995258
3178 0.056079 0.995258
10963 0.056075 0.995258
2316 0.056067 0.995258
8878 0.05605 0.995258
5371 0.056049 0.995258
11338 0.056048 0.995258
3921 0.056047 0.995258
7205 0.056037 0.995258
1660 0.056026 0.995258
7322 0.056 0.995258
8481 0.055979 0.995258
7704 0.055953 0.995258
26003 0.055941 0.995258
10987 0.055937 0.995258
5966 0.055928 0.995258
7178 0.055864 0.995258
4223 0.055863 0.995258
3476 0.055847 0.995258
5684 0.055832 0.995258
324 0.055825 0.995258
388677 0.055819 0.995258
100996717 0.055819 0.995258
100996763 0.055819 0.995258
11030 0.055817 0.995258
8517 0.055815 0.995258
8904 0.055772 0.995258
1017 0.055771 0.995258
1822 0.055771 0.995258
3304 0.05575 0.995258
3303 0.05575 0.995258
1147 0.055729 0.995258
55791 0.055729 0.995258
4087 0.055726 0.995258
1655 0.055706 0.995258
6426 0.055692 0.995258
6606 0.055691 0.995258
6607 0.055691 0.995258
3313 0.055686 0.995258
55183 0.055685 0.995258
811 0.055658 0.995258
4089 0.055626 0.995258
7251 0.055623 0.995258
55660 0.055604 0.995258
4188 0.055577 0.995258
4005 0.055569 0.995258
4137 0.055555 0.995258
2064 0.055537 0.995258
5496 0.055493 0.995258
25 0.05548 0.995258
5886 0.05548 0.995258
10236 0.055479 0.995258
7189 0.055471 0.995258
3608 0.055454 0.995258
2146 0.05545 0.995258
57159 0.055441 0.995258
2023 0.055439 0.995258
8290 0.055437 0.995258
9513 0.055426 0.995258
10980 0.055415 0.995258
4869 0.055412 0.995258
3181 0.055408 0.995258
6772 0.055407 0.995258
1937 0.055396 0.995258
5859 0.055371 0.995258
5887 0.055371 0.995258
9859 0.055347 0.995258
9869 0.055346 0.995258
25913 0.055328 0.995258
998 0.055312 0.995258
5764 0.055299 0.995258
10048 0.055292 0.995258
6477 0.055195 0.995258
3881 0.055178 0.995258
7020 0.055168 0.995258
51588 0.055165 0.995258
26986 0.055153 0.995258
10971 0.055152 0.995258
4086 0.055146 0.995258
51631 0.055138 0.995258
5359 0.055133 0.995258
3066 0.055123 0.995258
226 0.055122 0.995258
7273 0.055106 0.995258
1642 0.055078 0.995258
6597 0.055051 0.995258
26292 0.055049 0.995258
6749 0.055049 0.995258
7083 0.05504 0.995258
1938 0.05503 0.995258
6188 0.055011 0.995258
3276 0.055006 0.995258
988 0.055 0.995258
7536 0.054997 0.995258
26524 0.054994 0.995258
120892 0.054986 0.995258
22827 0.054971 0.995258
9961 0.05496 0.995258
836 0.054953 0.995258
6925 0.054952 0.995258
6605 0.05494 0.995258
1912 0.054919 0.995258
6829 0.054918 0.995258
7337 0.054918 0.995258
8339 0.054912 0.995258
8344 0.054912 0.995258
3017 0.054912 0.995258
8343 0.054912 0.995258
8347 0.054912 0.995258
8346 0.054912 0.995258
5034 0.054906 0.995258
5108 0.05489 0.995258
10241 0.054878 0.995258
8440 0.054878 0.995258
6125 0.054875 0.995258
6428 0.054857 0.995258
7185 0.054844 0.995258
10399 0.054844 0.995258
5515 0.054832 0.995258
1213 0.054821 0.995258
6622 0.05482 0.995258
6625 0.054818 0.995258
22919 0.05481 0.995258
5903 0.054806 0.995258
5479 0.054783 0.995258
5093 0.054779 0.995258
7791 0.05477 0.995258
310 0.054766 0.995258
554313 0.054763 0.995258
8359 0.054763 0.995258
8370 0.054763 0.995258
8294 0.054763 0.995258
8361 0.054763 0.995258
8360 0.054763 0.995258
8363 0.054763 0.995258
8362 0.054763 0.995258
8365 0.054763 0.995258
8364 0.054763 0.995258
8367 0.054763 0.995258
8366 0.054763 0.995258
8368 0.054763 0.995258
121504 0.054763 0.995258
