# num of genes	num of total genes	Log of odds ratio	P-value	Adjusted p-value	GO term ID	GO term name	GO type
11	11	2.32077599163	-	2.03e-08	GO:0060968	regulation of gene silencing	BP
10	10	2.32077599163	-	1.02e-07	GO:0035871	protein K11-linked deubiquitination	BP
8	8	2.32077599163	-	2.56e-06	GO:0085020	protein K6-linked ubiquitination	BP
7	7	2.32077599163	-	1.28e-05	GO:0046826	negative regulation of protein export from nucleus	BP
7	7	2.32077599163	-	1.28e-05	GO:0042921	glucocorticoid receptor signaling pathway	BP
6	6	2.32077599163	-	6.40e-05	GO:1903799	negative regulation of production of miRNAs involved in gene silencing by miRNA	BP
6	6	2.32077599163	-	6.40e-05	GO:0010216	maintenance of DNA methylation	BP
5	5	2.32077599163	-	3.20e-04	GO:0036016	cellular response to interleukin-3	BP
5	5	2.32077599163	-	3.20e-04	GO:0060850	regulation of transcription involved in cell fate commitment	BP
5	5	2.32077599163	-	3.20e-04	GO:0055012	ventricular cardiac muscle cell differentiation	BP
5	5	2.32077599163	-	3.20e-04	GO:0014031	mesenchymal cell development	BP
5	5	2.32077599163	-	3.20e-04	GO:0010606	positive regulation of cytoplasmic mRNA processing body assembly	BP
5	5	2.32077599163	-	3.20e-04	GO:0044314	protein K27-linked ubiquitination	BP
5	5	2.32077599163	-	3.20e-04	GO:0071681	cellular response to indole-3-methanol	BP
5	5	2.32077599163	-	3.20e-04	GO:0035519	protein K29-linked ubiquitination	BP
5	5	2.32077599163	-	3.20e-04	GO:0051573	negative regulation of histone H3-K9 methylation	BP
5	5	2.32077599163	-	3.20e-04	GO:1900103	positive regulation of endoplasmic reticulum unfolded protein response	BP
5	5	2.32077599163	-	3.20e-04	GO:0042501	serine phosphorylation of STAT protein	BP
4	4	2.32077599163	-	1.60e-03	GO:0030578	PML body organization	BP
4	4	2.32077599163	-	1.60e-03	GO:0042159	lipoprotein catabolic process	BP
4	4	2.32077599163	-	1.60e-03	GO:0097300	programmed necrotic cell death	BP
4	4	2.32077599163	-	1.60e-03	GO:1903377	negative regulation of oxidative stress-induced neuron intrinsic apoptotic signaling pathway	BP
4	4	2.32077599163	-	1.60e-03	GO:2001168	positive regulation of histone H2B ubiquitination	BP
4	4	2.32077599163	-	1.60e-03	GO:0007258	JUN phosphorylation	BP
4	4	2.32077599163	-	1.60e-03	GO:0018393	internal peptidyl-lysine acetylation	BP
4	4	2.32077599163	-	1.60e-03	GO:0090170	regulation of Golgi inheritance	BP
4	4	2.32077599163	-	1.60e-03	GO:0003266	regulation of secondary heart field cardioblast proliferation	BP
4	4	2.32077599163	-	1.60e-03	GO:0006344	maintenance of chromatin silencing	BP
4	4	2.32077599163	-	1.60e-03	GO:0010822	positive regulation of mitochondrion organization	BP
4	4	2.32077599163	-	1.60e-03	GO:0051098	regulation of binding	BP
4	4	2.32077599163	-	1.60e-03	GO:1904637	cellular response to ionomycin	BP
4	4	2.32077599163	-	1.60e-03	GO:0060534	trachea cartilage development	BP
4	4	2.32077599163	-	1.60e-03	GO:0003219	cardiac right ventricle formation	BP
4	4	2.32077599163	-	1.60e-03	GO:0090063	positive regulation of microtubule nucleation	BP
4	4	2.32077599163	-	1.60e-03	GO:0033158	regulation of protein import into nucleus, translocation	BP
4	4	2.32077599163	-	1.60e-03	GO:1903936	cellular response to sodium arsenite	BP
4	4	2.32077599163	-	1.60e-03	GO:0006990	positive regulation of transcription from RNA polymerase II promoter involved in unfolded protein response	BP
4	4	2.32077599163	-	1.60e-03	GO:0097350	neutrophil clearance	BP
4	4	2.32077599163	-	1.60e-03	GO:0060528	secretory columnal luminar epithelial cell differentiation involved in prostate glandular acinus development	BP
3	3	2.32077599163	-	8.01e-03	GO:0034770	histone H4-K20 methylation	BP
3	3	2.32077599163	-	8.01e-03	GO:0055005	ventricular cardiac myofibril assembly	BP
3	3	2.32077599163	-	8.01e-03	GO:0043415	positive regulation of skeletal muscle tissue regeneration	BP
3	3	2.32077599163	-	8.01e-03	GO:0070562	regulation of vitamin D receptor signaling pathway	BP
3	3	2.32077599163	-	8.01e-03	GO:0044346	fibroblast apoptotic process	BP
3	3	2.32077599163	-	8.01e-03	GO:0090230	regulation of centromere complex assembly	BP
3	3	2.32077599163	-	8.01e-03	GO:1903003	positive regulation of protein deubiquitination	BP
3	3	2.32077599163	-	8.01e-03	GO:0090261	positive regulation of inclusion body assembly	BP
3	3	2.32077599163	-	8.01e-03	GO:0002513	tolerance induction to self antigen	BP
3	3	2.32077599163	-	8.01e-03	GO:0033144	negative regulation of intracellular steroid hormone receptor signaling pathway	BP
3	3	2.32077599163	-	8.01e-03	GO:0046985	positive regulation of hemoglobin biosynthetic process	BP
3	3	2.32077599163	-	8.01e-03	GO:1903208	negative regulation of hydrogen peroxide-induced neuron death	BP
3	3	2.32077599163	-	8.01e-03	GO:1902803	regulation of synaptic vesicle transport	BP
3	3	2.32077599163	-	8.01e-03	GO:2000074	regulation of type B pancreatic cell development	BP
