# num of genes	num of total genes	Log of odds ratio	P-value	Adjusted p-value	GO term ID	GO term name	GO type
1	1	10.4282554741	-	7.26e-04	GO:0090350	negative regulation of cellular organofluorine metabolic process	BP
1	1	10.4282554741	-	7.26e-04	GO:0043603	cellular amide metabolic process	BP
1	1	10.4282554741	-	7.26e-04	GO:0019627	urea metabolic process	BP
1	1	10.4282554741	-	7.26e-04	GO:0045713	low-density lipoprotein particle receptor biosynthetic process	BP
1	1	10.4282554741	-	7.26e-04	GO:2000230	negative regulation of pancreatic stellate cell proliferation	BP
1	1	10.4282554741	-	7.26e-04	GO:0060694	regulation of cholesterol transporter activity	BP
2	2	10.4282554741	-	4.74e-07	GO:0052741	(R)-limonene 6-monooxygenase activity	MF
2	2	10.4282554741	-	4.74e-07	GO:0018675	(S)-limonene 6-monooxygenase activity	MF
2	2	10.4282554741	-	4.74e-07	GO:0018676	(S)-limonene 7-monooxygenase activity	MF
1	1	10.4282554741	-	7.26e-04	GO:0050649	testosterone 6-beta-hydroxylase activity	MF
1	1	10.4282554741	-	7.26e-04	GO:0004955	prostaglandin receptor activity	MF
1	1	10.4282554741	-	7.26e-04	GO:0033780	taurochenodeoxycholate 6alpha-hydroxylase activity	MF
1	1	10.4282554741	-	7.26e-04	GO:0050591	quinine 3-monooxygenase activity	MF
1	1	10.4282554741	-	7.26e-04	GO:0047638	albendazole monooxygenase activity	MF
1	1	10.4282554741	-	7.26e-04	GO:0102320	1,8-cineole 2-exo-monooxygenase activity	MF
3	4	10.0132179748	-	2.75e-10	GO:0034875	caffeine oxidase activity	MF
4	6	9.84329297333	-	6.99e-13	GO:0016098	monoterpenoid metabolic process	BP
2	3	9.84329297333	-	1.42e-06	GO:0009822	alkaloid catabolic process	BP
3	6	9.42825547405	-	1.10e-09	GO:0042737	drug catabolic process	BP
3	6	9.42825547405	-	2.75e-09	GO:0046483	heterocycle metabolic process	BP
1	2	9.42825547405	-	7.26e-04	GO:0051100	negative regulation of binding	BP
1	2	9.42825547405	-	7.26e-04	GO:0009820	alkaloid metabolic process	BP
1	2	9.42825547405	-	1.45e-03	GO:0071306	cellular response to vitamin E	BP
1	2	9.42825547405	-	1.45e-03	GO:1901558	response to metformin	BP
1	2	9.42825547405	-	7.26e-04	GO:0030343	vitamin D3 25-hydroxylase activity	MF
1	2	9.42825547405	-	7.26e-04	GO:0001567	cholesterol 25-hydroxylase activity	MF
1	2	9.42825547405	-	1.45e-03	GO:0004666	prostaglandin-endoperoxide synthase activity	MF
1	2	9.42825547405	-	1.45e-03	GO:0070576	vitamin D 24-hydroxylase activity	MF
4	9	9.25833047261	-	4.89e-12	GO:0070989	oxidative demethylation	BP
2	5	9.10632737917	-	2.84e-06	GO:0101020	estrogen 16-alpha-hydroxylase activity	MF
4	12	8.84329297333	-	4.89e-12	GO:0042738	exogenous drug catabolic process	BP
2	6	8.84329297333	-	2.84e-06	GO:0002933	lipid hydroxylation	BP
1	3	8.84329297333	-	7.26e-04	GO:0036378	calcitriol biosynthetic process from calciol	BP
1	3	8.84329297333	-	7.26e-04	GO:0006082	organic acid metabolic process	BP
1	3	8.84329297333	-	1.45e-03	GO:0032787	monocarboxylic acid metabolic process	BP
1	3	8.84329297333	-	2.18e-03	GO:0055098	response to low-density lipoprotein particle stimulus	BP
1	3	8.84329297333	-	2.18e-03	GO:0010871	negative regulation of receptor biosynthetic process	BP
1	3	8.84329297333	-	2.18e-03	GO:0033076	isoquinoline alkaloid metabolic process	BP
1	3	8.84329297333	-	2.18e-03	GO:0050692	DBD domain binding	MF
3	9	8.84329297333	-	9.62e-09	GO:0097267	omega-hydroxylase P450 pathway	BP
1	4	8.42825547405	-	2.90e-03	GO:0060336	negative regulation of interferon-gamma-mediated signaling pathway	BP
2	8	8.42825547405	-	4.74e-06	GO:0015125	bile acid transmembrane transporter activity	MF
5	24	8.16522106822	-	5.20e-13	GO:0017144	drug metabolic process	BP
1	5	8.10632737917	-	1.45e-03	GO:0006706	steroid catabolic process	BP
1	5	8.10632737917	-	3.62e-03	GO:0060850	regulation of transcription involved in cell fate commitment	BP
1	5	8.10632737917	-	3.62e-03	GO:0010891	negative regulation of sequestering of triglyceride	BP
1	5	8.10632737917	-	2.90e-03	GO:0015349	thyroid hormone transmembrane transporter activity	MF
1	5	8.10632737917	-	3.62e-03	GO:0050544	arachidonic acid binding	MF
3	17	7.92575513353	-	4.53e-08	GO:0008392	arachidonic acid epoxygenase activity	MF
1	6	7.84329297333	-	2.18e-03	GO:0009804	coumarin metabolic process	BP
1	6	7.84329297333	-	3.62e-03	GO:0010887	negative regulation of cholesterol storage	BP
1	6	7.84329297333	-	4.35e-03	GO:0046321	positive regulation of fatty acid oxidation	BP
4	24	7.84329297333	-	2.93e-11	GO:0008395	steroid hydroxylase activity	MF
1	6	7.84329297333	-	4.35e-03	GO:0050693	LBD domain binding	MF
3	21	7.620900552	-	9.98e-08	GO:0019373	epoxygenase P450 pathway	BP
1	7	7.620900552	-	4.35e-03	GO:0071455	cellular response to hyperoxia	BP
1	7	7.620900552	-	5.07e-03	GO:0010742	macrophage derived foam cell differentiation	BP
5	35	7.620900552	-	7.05e-13	GO:0004497	monooxygenase activity	MF
5	37	7.54073020331	-	7.18e-12	GO:0008202	steroid metabolic process	BP
3	23	7.48965601872	-	3.29e-08	GO:0070330	aromatase activity	MF
1	8	7.42825547405	-	5.07e-03	GO:0033993	response to lipid	BP
1	8	7.42825547405	-	5.07e-03	GO:0035357	peroxisome proliferator activated receptor signaling pathway	BP
1	8	7.42825547405	-	5.79e-03	GO:0060100	positive regulation of phagocytosis, engulfment	BP
1	8	7.42825547405	-	5.79e-03	GO:0002674	negative regulation of acute inflammatory response	BP
1	8	7.42825547405	-	2.18e-03	GO:0016712	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen	MF
5	42	7.35786614616	-	4.89e-12	GO:0019825	oxygen binding	MF
1	9	7.25833047261	-	5.07e-03	GO:0070327	thyroid hormone transport	BP
