# num of genes	num of total genes	Log of odds ratio	P-value	Adjusted p-value	GO term ID	GO term name	GO type
11	11	3.3218233202	-	9.65e-12	GO:0060968	regulation of gene silencing	BP
4	4	3.3218233202	-	9.96e-05	GO:0018393	internal peptidyl-lysine acetylation	BP
3	3	3.3218233202	-	9.98e-04	GO:0034776	response to histamine	BP
3	3	3.3218233202	-	9.98e-04	GO:1905098	negative regulation of guanyl-nucleotide exchange factor activity	BP
3	3	3.3218233202	-	9.98e-04	GO:0001827	inner cell mass cell fate commitment	BP
3	3	3.3218233202	-	9.98e-04	GO:0055098	response to low-density lipoprotein particle stimulus	BP
3	3	3.3218233202	-	9.98e-04	GO:0032202	telomere assembly	BP
3	3	3.3218233202	-	9.98e-04	GO:0045069	regulation of viral genome replication	BP
3	3	3.3218233202	-	9.98e-04	GO:0015966	diadenosine tetraphosphate biosynthetic process	BP
3	3	3.3218233202	-	9.98e-04	GO:1903378	positive regulation of oxidative stress-induced neuron intrinsic apoptotic signaling pathway	BP
3	3	3.3218233202	-	9.98e-04	GO:1903551	regulation of extracellular exosome assembly	BP
3	3	3.3218233202	-	9.98e-04	GO:0000189	MAPK import into nucleus	BP
3	3	3.3218233202	-	9.98e-04	GO:0071475	cellular hyperosmotic salinity response	BP
3	3	3.3218233202	-	9.98e-04	GO:0007176	regulation of epidermal growth factor-activated receptor activity	BP
3	3	3.3218233202	-	9.98e-04	GO:0061198	fungiform papilla formation	BP
3	3	3.3218233202	-	9.98e-04	GO:0002762	negative regulation of myeloid leukocyte differentiation	BP
3	3	3.3218233202	-	9.98e-04	GO:0002265	astrocyte activation involved in immune response	BP
3	3	3.3218233202	-	9.98e-04	GO:2000630	positive regulation of miRNA metabolic process	BP
3	3	3.3218233202	-	9.98e-04	GO:0018076	N-terminal peptidyl-lysine acetylation	BP
3	3	3.3218233202	-	9.98e-04	GO:0033152	immunoglobulin V(D)J recombination	BP
3	3	3.3218233202	-	9.98e-04	GO:0021697	cerebellar cortex formation	BP
3	3	3.3218233202	-	9.98e-04	GO:0043366	beta selection	BP
3	3	3.3218233202	-	9.98e-04	GO:0031281	positive regulation of cyclase activity	BP
3	3	3.3218233202	-	9.98e-04	GO:0070370	cellular heat acclimation	BP
