# num of genes	num of total genes	Log of odds ratio	P-value	Adjusted p-value	GO term ID	GO term name	GO type
3	3	9.58109594403	-	1.87e-09	GO:0009822	alkaloid catabolic process	BP
2	2	9.58109594403	-	1.61e-06	GO:0009820	alkaloid metabolic process	BP
2	2	9.58109594403	-	1.61e-06	GO:0006778	porphyrin-containing compound metabolic process	BP
2	2	9.58109594403	-	1.61e-06	GO:0090325	regulation of locomotion involved in locomotory behavior	BP
1	1	9.58109594403	-	1.31e-03	GO:0071615	oxidative deethylation	BP
1	1	9.58109594403	-	1.31e-03	GO:0090350	negative regulation of cellular organofluorine metabolic process	BP
1	1	9.58109594403	-	1.31e-03	GO:0043603	cellular amide metabolic process	BP
1	1	9.58109594403	-	1.31e-03	GO:0009692	ethylene metabolic process	BP
1	1	9.58109594403	-	1.31e-03	GO:0042321	negative regulation of circadian sleep/wake cycle, sleep	BP
1	1	9.58109594403	-	1.31e-03	GO:0099040	ceramide translocation	BP
1	1	9.58109594403	-	1.31e-03	GO:0019341	dibenzo-p-dioxin catabolic process	BP
1	1	9.58109594403	-	1.31e-03	GO:0019627	urea metabolic process	BP
1	1	9.58109594403	-	1.31e-03	GO:0009403	toxin biosynthetic process	BP
2	2	9.58109594403	-	1.61e-06	GO:0070576	vitamin D 24-hydroxylase activity	MF
2	2	9.58109594403	-	1.61e-06	GO:0052741	(R)-limonene 6-monooxygenase activity	MF
2	2	9.58109594403	-	1.61e-06	GO:0018675	(S)-limonene 6-monooxygenase activity	MF
2	2	9.58109594403	-	1.61e-06	GO:0018676	(S)-limonene 7-monooxygenase activity	MF
1	1	9.58109594403	-	1.31e-03	GO:0050649	testosterone 6-beta-hydroxylase activity	MF
1	1	9.58109594403	-	1.31e-03	GO:0047021	15-hydroxyprostaglandin dehydrogenase (NADP+) activity	MF
1	1	9.58109594403	-	1.31e-03	GO:0016711	flavonoid 3'-monooxygenase activity	MF
1	1	9.58109594403	-	1.31e-03	GO:0050221	prostaglandin-E2 9-reductase activity	MF
1	1	9.58109594403	-	1.31e-03	GO:0033780	taurochenodeoxycholate 6alpha-hydroxylase activity	MF
1	1	9.58109594403	-	1.31e-03	GO:0050591	quinine 3-monooxygenase activity	MF
1	1	9.58109594403	-	1.31e-03	GO:0099038	ceramide-translocating ATPase activity	MF
1	1	9.58109594403	-	1.31e-03	GO:0047638	albendazole monooxygenase activity	MF
1	1	9.58109594403	-	1.31e-03	GO:0016679	oxidoreductase activity, acting on diphenols and related substances as donors	MF
1	1	9.58109594403	-	1.31e-03	GO:0102320	1,8-cineole 2-exo-monooxygenase activity	MF
5	6	9.31806153819	-	2.07e-15	GO:0042737	drug catabolic process	BP
5	6	9.31806153819	-	1.24e-14	GO:0016098	monoterpenoid metabolic process	BP
4	5	9.25916784914	-	1.02e-11	GO:0101020	estrogen 16-alpha-hydroxylase activity	MF
3	4	9.16605844475	-	7.47e-09	GO:0034875	caffeine oxidase activity	MF
4	6	8.9961334433	-	1.02e-11	GO:0002933	lipid hydroxylation	BP
4	6	8.9961334433	-	3.05e-11	GO:0046483	heterocycle metabolic process	BP
2	3	8.9961334433	-	4.83e-06	GO:0034776	response to histamine	BP
2	3	8.9961334433	-	4.83e-06	GO:0032787	monocarboxylic acid metabolic process	BP
2	3	8.9961334433	-	4.83e-06	GO:0060160	negative regulation of dopamine receptor signaling pathway	BP
3	5	8.84413034986	-	1.87e-08	GO:0051584	regulation of dopamine uptake involved in synaptic transmission	BP
5	9	8.73309903747	-	1.15e-13	GO:0070989	oxidative demethylation	BP
1	2	8.58109594403	-	1.31e-03	GO:0051100	negative regulation of binding	BP
1	2	8.58109594403	-	1.31e-03	GO:0046717	acid secretion	BP
1	2	8.58109594403	-	2.61e-03	GO:0044380	protein localization to cytoskeleton	BP
1	2	8.58109594403	-	2.61e-03	GO:0050883	musculoskeletal movement, spinal reflex action	BP
1	2	8.58109594403	-	2.61e-03	GO:0017143	insecticide metabolic process	BP
1	2	8.58109594403	-	2.61e-03	GO:1900168	positive regulation of glial cell-derived neurotrophic factor secretion	BP
1	2	8.58109594403	-	2.61e-03	GO:0007208	phospholipase C-activating serotonin receptor signaling pathway	BP
1	2	8.58109594403	-	2.61e-03	GO:0032416	negative regulation of sodium:proton antiporter activity	BP
1	2	8.58109594403	-	2.61e-03	GO:1901529	positive regulation of anion channel activity	BP
1	2	8.58109594403	-	2.61e-03	GO:0002016	regulation of blood volume by renin-angiotensin	BP
1	2	8.58109594403	-	2.61e-03	GO:0046960	sensitization	BP
1	2	8.58109594403	-	2.61e-03	GO:0001976	neurological system process involved in regulation of systemic arterial blood pressure	BP
1	2	8.58109594403	-	1.31e-03	GO:0030343	vitamin D3 25-hydroxylase activity	MF
1	2	8.58109594403	-	1.31e-03	GO:0090555	phosphatidylethanolamine-translocating ATPase activity	MF
1	2	8.58109594403	-	1.31e-03	GO:0001567	cholesterol 25-hydroxylase activity	MF
1	2	8.58109594403	-	2.61e-03	GO:0071886	1-(4-iodo-2,5-dimethoxyphenyl)propan-2-amine binding	MF
4	9	8.41117094258	-	1.42e-10	GO:0097267	omega-hydroxylase P450 pathway	BP
2	5	8.25916784914	-	4.83e-06	GO:0006706	steroid catabolic process	BP
2	5	8.25916784914	-	1.61e-05	GO:0032451	demethylase activity	MF
4	12	7.9961334433	-	1.42e-10	GO:0042738	exogenous drug catabolic process	BP
2	6	7.9961334433	-	4.83e-06	GO:0009804	coumarin metabolic process	BP
2	6	7.9961334433	-	9.64e-06	GO:0021853	cerebral cortex GABAergic interneuron migration	BP
1	3	7.9961334433	-	1.31e-03	GO:0036378	calcitriol biosynthetic process from calciol	BP
1	3	7.9961334433	-	2.61e-03	GO:2001225	regulation of chloride transport	BP
1	3	7.9961334433	-	2.61e-03	GO:0009624	response to nematode	BP
1	3	7.9961334433	-	2.61e-03	GO:0035483	gastric emptying	BP
1	3	7.9961334433	-	2.61e-03	GO:0018894	dibenzo-p-dioxin metabolic process	BP
1	3	7.9961334433	-	3.91e-03	GO:0014854	response to inactivity	BP
1	3	7.9961334433	-	3.91e-03	GO:0047484	regulation of response to osmotic stress	BP
1	3	7.9961334433	-	3.91e-03	GO:0033076	isoquinoline alkaloid metabolic process	BP
1	3	7.9961334433	-	3.91e-03	GO:0010041	response to iron(III) ion	BP
1	3	7.9961334433	-	3.91e-03	GO:0033602	negative regulation of dopamine secretion	BP
1	3	7.9961334433	-	3.91e-03	GO:0051586	positive regulation of dopamine uptake involved in synaptic transmission	BP
1	3	7.9961334433	-	3.91e-03	GO:0021769	orbitofrontal cortex development	BP
1	3	7.9961334433	-	3.91e-03	GO:0035106	operant conditioning	BP
1	3	7.9961334433	-	3.91e-03	GO:0004952	dopamine neurotransmitter receptor activity	MF
7	24	7.80348836536	-	8.48e-17	GO:0017144	drug metabolic process	BP
2	7	7.77374102197	-	2.41e-05	GO:0030814	regulation of cAMP metabolic process	BP
3	11	7.70662682611	-	3.06e-07	GO:0042417	dopamine metabolic process	BP
6	23	7.64249648869	-	1.79e-15	GO:0070330	aromatase activity	MF
2	8	7.58109594403	-	3.37e-05	GO:0050665	hydrogen peroxide biosynthetic process	BP
1	4	7.58109594403	-	1.31e-03	GO:0014832	urinary bladder smooth muscle contraction	BP
1	4	7.58109594403	-	3.91e-03	GO:0042904	9-cis-retinoic acid biosynthetic process	BP
1	4	7.58109594403	-	5.21e-03	GO:0007210	serotonin receptor signaling pathway	BP
1	4	7.58109594403	-	5.21e-03	GO:0042373	vitamin K metabolic process	BP
1	4	7.58109594403	-	5.21e-03	GO:0060161	positive regulation of dopamine receptor signaling pathway	BP
1	4	7.58109594403	-	5.21e-03	GO:0010513	positive regulation of phosphatidylinositol biosynthetic process	BP
1	4	7.58109594403	-	5.21e-03	GO:0070988	demethylation	BP
1	4	7.58109594403	-	5.21e-03	GO:0046959	habituation	BP
2	8	7.58109594403	-	4.83e-06	GO:0001591	dopamine neurotransmitter receptor activity, coupled via Gi/Go	MF
2	8	7.58109594403	-	9.64e-06	GO:0016712	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen	MF
1	4	7.58109594403	-	3.91e-03	GO:0090554	phosphatidylcholine-translocating ATPase activity	MF
1	4	7.58109594403	-	5.21e-03	GO:0001588	dopamine neurotransmitter receptor activity, coupled via Gs	MF
1	4	7.58109594403	-	5.21e-03	GO:0004090	carbonyl reductase (NADPH) activity	MF
3	13	7.46561872661	-	5.30e-07	GO:0060134	prepulse inhibition	BP
3	13	7.46561872661	-	1.04e-07	GO:0035240	dopamine binding	MF
8	35	7.45181292708	-	2.73e-19	GO:0004497	monooxygenase activity	MF
4	19	7.33316843058	-	2.02e-09	GO:0048148	behavioral response to cocaine	BP
5	24	7.31806153819	-	9.50e-13	GO:0008395	steroid hydroxylase activity	MF
3	15	7.25916784914	-	1.56e-07	GO:0001963	synaptic transmission, dopaminergic	BP
2	10	7.25916784914	-	1.61e-05	GO:0007195	adenylate cyclase-inhibiting dopamine receptor signaling pathway	BP
2	10	7.25916784914	-	3.37e-05	GO:0030432	peristalsis	BP
2	10	7.25916784914	-	3.37e-05	GO:0042359	vitamin D metabolic process	BP
2	10	7.25916784914	-	5.76e-05	GO:0007191	adenylate cyclase-activating dopamine receptor signaling pathway	BP
2	10	7.25916784914	-	7.20e-05	GO:0002031	G-protein coupled receptor internalization	BP
1	5	7.25916784914	-	6.51e-03	GO:0051823	regulation of synapse structural plasticity	BP
1	5	7.25916784914	-	6.51e-03	GO:0001661	conditioned taste aversion	BP
1	5	7.25916784914	-	6.51e-03	GO:0048755	branching morphogenesis of a nerve	BP
1	5	7.25916784914	-	6.51e-03	GO:0009812	flavonoid metabolic process	BP
1	5	7.25916784914	-	6.51e-03	GO:0046883	regulation of hormone secretion	BP
4	21	7.18877852125	-	2.75e-09	GO:0019373	epoxygenase P450 pathway	BP
8	42	7.18877852125	-	5.73e-18	GO:0019825	oxygen binding	MF
7	37	7.17899750045	-	3.40e-15	GO:0008202	steroid metabolic process	BP
2	11	7.12166432539	-	7.20e-05	GO:0021756	striatum development	BP
1	6	6.9961334433	-	5.21e-03	GO:0031223	auditory behavior	BP
1	6	6.9961334433	-	5.21e-03	GO:0051552	flavone metabolic process	BP
1	6	6.9961334433	-	6.51e-03	GO:0021984	adenohypophysis development	BP
1	6	6.9961334433	-	7.81e-03	GO:0071870	cellular response to catecholamine stimulus	BP
2	13	6.88065622588	-	4.49e-05	GO:0060158	phospholipase C-activating dopamine receptor signaling pathway	BP
2	13	6.88065622588	-	1.05e-04	GO:0071280	cellular response to copper ion	BP
2	13	6.88065622588	-	1.25e-04	GO:0035815	positive regulation of renal sodium excretion	BP
3	20	6.84413034986	-	6.74e-07	GO:0001659	temperature homeostasis	BP
