# num of genes	num of total genes	Log of odds ratio	P-value	Adjusted p-value	GO term ID	GO term name	GO type
4	4	4.32077599163	-	6.22e-06	GO:0035791	platelet-derived growth factor receptor-beta signaling pathway	BP
3	3	4.32077599163	-	1.25e-04	GO:0070141	response to UV-A	BP
3	3	4.32077599163	-	1.25e-04	GO:0002902	regulation of B cell apoptotic process	BP
3	3	4.32077599163	-	1.25e-04	GO:0060168	positive regulation of adenosine receptor signaling pathway	BP
3	3	4.32077599163	-	1.25e-04	GO:2000973	regulation of pro-B cell differentiation	BP
2	2	4.32077599163	-	2.50e-03	GO:0001865	NK T cell differentiation	BP
2	2	4.32077599163	-	2.50e-03	GO:0071226	cellular response to molecule of fungal origin	BP
2	2	4.32077599163	-	2.50e-03	GO:0098868	bone growth	BP
2	2	4.32077599163	-	2.50e-03	GO:0010652	positive regulation of cell communication by chemical coupling	BP
2	2	4.32077599163	-	2.50e-03	GO:0060512	prostate gland morphogenesis	BP
2	2	4.32077599163	-	2.50e-03	GO:0045066	regulatory T cell differentiation	BP
2	2	4.32077599163	-	2.50e-03	GO:0034391	regulation of smooth muscle cell apoptotic process	BP
2	2	4.32077599163	-	2.50e-03	GO:0002327	immature B cell differentiation	BP
2	2	4.32077599163	-	2.50e-03	GO:0033277	abortive mitotic cell cycle	BP
2	2	4.32077599163	-	2.50e-03	GO:0090218	positive regulation of lipid kinase activity	BP
2	2	4.32077599163	-	2.50e-03	GO:0032817	regulation of natural killer cell proliferation	BP
2	2	4.32077599163	-	2.50e-03	GO:0032615	interleukin-12 production	BP
2	2	4.32077599163	-	2.50e-03	GO:0005986	sucrose biosynthetic process	BP
2	2	4.32077599163	-	2.50e-03	GO:0031959	mineralocorticoid receptor signaling pathway	BP
2	2	4.32077599163	-	2.50e-03	GO:0038179	neurotrophin signaling pathway	BP
2	2	4.32077599163	-	2.50e-03	GO:1990051	activation of protein kinase C activity	BP
2	2	4.32077599163	-	2.50e-03	GO:0050906	detection of stimulus involved in sensory perception	BP
2	2	4.32077599163	-	2.50e-03	GO:0038188	cholecystokinin signaling pathway	BP
2	2	4.32077599163	-	2.50e-03	GO:0035607	fibroblast growth factor receptor signaling pathway involved in orbitofrontal cortex development	BP
2	2	4.32077599163	-	2.50e-03	GO:0032878	regulation of establishment or maintenance of cell polarity	BP
2	2	4.32077599163	-	2.50e-03	GO:0038109	Kit signaling pathway	BP
2	2	4.32077599163	-	2.50e-03	GO:0048378	regulation of lateral mesodermal cell fate specification	BP
2	2	4.32077599163	-	2.50e-03	GO:0035728	response to hepatocyte growth factor	BP
2	2	4.32077599163	-	2.50e-03	GO:0002752	cell surface pattern recognition receptor signaling pathway	BP
2	2	4.32077599163	-	2.50e-03	GO:0086098	angiotensin-activated signaling pathway involved in heart process	BP
1	1	4.32077599163	-	5.00e-02	GO:0010752	regulation of cGMP-mediated signaling	BP
1	1	4.32077599163	-	5.00e-02	GO:0010758	regulation of macrophage chemotaxis	BP
1	1	4.32077599163	-	5.00e-02	GO:0039650	suppression by virus of host cysteine-type endopeptidase activity involved in apoptotic process	BP
1	1	4.32077599163	-	5.00e-02	GO:0002333	transitional one stage B cell differentiation	BP
1	1	4.32077599163	-	5.00e-02	GO:0071351	cellular response to interleukin-18	BP
1	1	4.32077599163	-	5.00e-02	GO:2000646	positive regulation of receptor catabolic process	BP
1	1	4.32077599163	-	5.00e-02	GO:0046824	positive regulation of nucleocytoplasmic transport	BP
1	1	4.32077599163	-	5.00e-02	GO:0061324	canonical Wnt signaling pathway involved in positive regulation of cardiac outflow tract cell proliferation	BP
1	1	4.32077599163	-	5.00e-02	GO:0002371	dendritic cell cytokine production	BP
1	1	4.32077599163	-	5.00e-02	GO:0050857	positive regulation of antigen receptor-mediated signaling pathway	BP
1	1	4.32077599163	-	5.00e-02	GO:0086055	Purkinje myocyte to ventricular cardiac muscle cell communication by electrical coupling	BP
1	1	4.32077599163	-	5.00e-02	GO:0086054	bundle of His cell to Purkinje myocyte communication by electrical coupling	BP
1	1	4.32077599163	-	5.00e-02	GO:0035790	platelet-derived growth factor receptor-alpha signaling pathway	BP
1	1	4.32077599163	-	5.00e-02	GO:0003174	mitral valve development	BP
1	1	4.32077599163	-	5.00e-02	GO:0097254	renal tubular secretion	BP
1	1	4.32077599163	-	5.00e-02	GO:0061360	optic chiasma development	BP
1	1	4.32077599163	-	5.00e-02	GO:0061582	intestinal epithelial cell migration	BP
1	1	4.32077599163	-	5.00e-02	GO:0038154	interleukin-11-mediated signaling pathway	BP
1	1	4.32077599163	-	5.00e-02	GO:0070447	positive regulation of oligodendrocyte progenitor proliferation	BP
1	1	4.32077599163	-	5.00e-02	GO:0098906	regulation of Purkinje myocyte action potential	BP
1	1	4.32077599163	-	5.00e-02	GO:0098902	regulation of membrane depolarization during action potential	BP
1	1	4.32077599163	-	5.00e-02	GO:0003284	septum primum development	BP
1	1	4.32077599163	-	5.00e-02	GO:0032361	pyridoxal phosphate catabolic process	BP
1	1	4.32077599163	-	5.00e-02	GO:0070304	positive regulation of stress-activated protein kinase signaling cascade	BP
1	1	4.32077599163	-	5.00e-02	GO:1904206	positive regulation of skeletal muscle hypertrophy	BP
1	1	4.32077599163	-	5.00e-02	GO:0010021	amylopectin biosynthetic process	BP
1	1	4.32077599163	-	5.00e-02	GO:0032773	positive regulation of monophenol monooxygenase activity	BP
1	1	4.32077599163	-	5.00e-02	GO:0043610	regulation of carbohydrate utilization	BP
1	1	4.32077599163	-	5.00e-02	GO:0043618	regulation of transcription from RNA polymerase II promoter in response to stress	BP
1	1	4.32077599163	-	5.00e-02	GO:1904075	positive regulation of trophectodermal cell proliferation	BP
1	1	4.32077599163	-	5.00e-02	GO:0002663	positive regulation of B cell tolerance induction	BP
1	1	4.32077599163	-	5.00e-02	GO:1905317	inferior endocardial cushion morphogenesis	BP
1	1	4.32077599163	-	5.00e-02	GO:1905313	transforming growth factor beta receptor signaling pathway involved in heart development	BP
1	1	4.32077599163	-	5.00e-02	GO:1990859	cellular response to endothelin	BP
1	1	4.32077599163	-	5.00e-02	GO:0002840	regulation of T cell mediated immune response to tumor cell	BP
1	1	4.32077599163	-	5.00e-02	GO:0035711	T-helper 1 cell activation	BP
1	1	4.32077599163	-	5.00e-02	GO:0070640	vitamin D3 metabolic process	BP
1	1	4.32077599163	-	5.00e-02	GO:2000486	negative regulation of glutamine transport	BP
1	1	4.32077599163	-	5.00e-02	GO:0043371	negative regulation of CD4-positive, alpha-beta T cell differentiation	BP
1	1	4.32077599163	-	5.00e-02	GO:0042774	plasma membrane ATP synthesis coupled electron transport	BP
1	1	4.32077599163	-	5.00e-02	GO:0090648	response to environmental enrichment	BP
1	1	4.32077599163	-	5.00e-02	GO:0032072	regulation of restriction endodeoxyribonuclease activity	BP
1	1	4.32077599163	-	5.00e-02	GO:0003336	corneocyte desquamation	BP
1	1	4.32077599163	-	5.00e-02	GO:0060817	inactivation of paternal X chromosome	BP
1	1	4.32077599163	-	5.00e-02	GO:0000097	sulfur amino acid biosynthetic process	BP
1	1	4.32077599163	-	5.00e-02	GO:0120072	positive regulation of pyloric antrum smooth muscle contraction	BP
1	1	4.32077599163	-	5.00e-02	GO:0060552	positive regulation of fructose 1,6-bisphosphate metabolic process	BP
1	1	4.32077599163	-	5.00e-02	GO:0060550	positive regulation of fructose 1,6-bisphosphate 1-phosphatase activity	BP
1	1	4.32077599163	-	5.00e-02	GO:0033028	myeloid cell apoptotic process	BP
1	1	4.32077599163	-	5.00e-02	GO:0006055	CMP-N-acetylneuraminate biosynthetic process	BP
1	1	4.32077599163	-	5.00e-02	GO:0035744	T-helper 1 cell cytokine production	BP
1	1	4.32077599163	-	5.00e-02	GO:1904213	negative regulation of iodide transmembrane transport	BP
1	1	4.32077599163	-	5.00e-02	GO:1990774	tumor necrosis factor secretion	BP
1	1	4.32077599163	-	5.00e-02	GO:1901666	positive regulation of NAD+ ADP-ribosyltransferase activity	BP
1	1	4.32077599163	-	5.00e-02	GO:1900133	regulation of renin secretion into blood stream	BP
1	1	4.32077599163	-	5.00e-02	GO:1904793	regulation of euchromatin binding	BP
1	1	4.32077599163	-	5.00e-02	GO:1904651	positive regulation of fat cell apoptotic process	BP
1	1	4.32077599163	-	5.00e-02	GO:0051249	regulation of lymphocyte activation	BP
