# num of genes	num of total genes	Log of odds ratio	P-value	Adjusted p-value	GO term ID	GO term name	GO type
1	1	10.4274176112	-	7.26e-04	GO:0010021	amylopectin biosynthetic process	BP
1	1	10.4274176112	-	7.26e-04	GO:2000486	negative regulation of glutamine transport	BP
1	1	10.4274176112	-	7.26e-04	GO:1904651	positive regulation of fat cell apoptotic process	BP
1	1	10.4274176112	-	7.26e-04	GO:0036399	TCR signalosome assembly	BP
1	1	10.4274176112	-	7.26e-04	GO:0032814	regulation of natural killer cell activation	BP
1	1	10.4274176112	-	7.26e-04	GO:0060587	regulation of lipoprotein lipid oxidation	BP
1	1	10.4274176112	-	7.26e-04	GO:0048241	epinephrine transport	BP
1	1	10.4274176112	-	7.26e-04	GO:0071298	cellular response to L-ascorbic acid	BP
1	1	10.4274176112	-	7.26e-04	GO:0004508	steroid 17-alpha-monooxygenase activity	MF
1	1	10.4274176112	-	7.26e-04	GO:0047442	17-alpha-hydroxyprogesterone aldolase activity	MF
2	3	9.84245511049	-	1.42e-06	GO:0015307	drug:proton antiporter activity	MF
1	2	9.42741761121	-	7.26e-04	GO:0044381	glucose import in response to insulin stimulus	BP
1	2	9.42741761121	-	1.45e-03	GO:0098868	bone growth	BP
1	2	9.42741761121	-	1.45e-03	GO:1901374	acetate ester transport	BP
1	2	9.42741761121	-	1.45e-03	GO:0072604	interleukin-6 secretion	BP
1	2	9.42741761121	-	1.45e-03	GO:0032817	regulation of natural killer cell proliferation	BP
1	2	9.42741761121	-	1.45e-03	GO:0032615	interleukin-12 production	BP
1	2	9.42741761121	-	1.45e-03	GO:1990051	activation of protein kinase C activity	BP
1	2	9.42741761121	-	7.26e-04	GO:0005451	monovalent cation:proton antiporter activity	MF
1	2	9.42741761121	-	1.45e-03	GO:0047322	[hydroxymethylglutaryl-CoA reductase (NADPH)] kinase activity	MF
1	2	9.42741761121	-	1.45e-03	GO:0050405	[acetyl-CoA carboxylase] kinase activity	MF
2	5	9.10548951633	-	4.74e-06	GO:0046618	drug export	BP
1	3	8.84245511049	-	7.26e-04	GO:0042269	regulation of natural killer cell mediated cytotoxicity	BP
1	3	8.84245511049	-	2.18e-03	GO:0015874	norepinephrine transport	BP
1	3	8.84245511049	-	2.18e-03	GO:2000366	positive regulation of STAT protein import into nucleus	BP
1	3	8.84245511049	-	2.18e-03	GO:0006114	glycerol biosynthetic process	BP
1	3	8.84245511049	-	2.18e-03	GO:0070093	negative regulation of glucagon secretion	BP
1	3	8.84245511049	-	2.18e-03	GO:0001936	regulation of endothelial cell proliferation	BP
1	3	8.84245511049	-	2.18e-03	GO:0032310	prostaglandin secretion	BP
1	3	8.84245511049	-	1.45e-03	GO:0005277	acetylcholine transmembrane transporter activity	MF
1	3	8.84245511049	-	2.18e-03	GO:0005333	norepinephrine transmembrane transporter activity	MF
1	3	8.84245511049	-	2.18e-03	GO:0008513	secondary active organic cation transmembrane transporter activity	MF
2	7	8.62006268915	-	4.74e-06	GO:0015238	drug transmembrane transporter activity	MF
1	4	8.42741761121	-	2.18e-03	GO:0072606	interleukin-8 secretion	BP
1	4	8.42741761121	-	2.18e-03	GO:0051055	negative regulation of lipid biosynthetic process	BP
1	4	8.42741761121	-	2.90e-03	GO:2000491	positive regulation of hepatic stellate cell activation	BP
1	4	8.42741761121	-	2.90e-03	GO:0035404	histone-serine phosphorylation	BP
1	4	8.42741761121	-	2.90e-03	GO:0033686	positive regulation of luteinizing hormone secretion	BP
1	4	8.42741761121	-	2.90e-03	GO:0038108	negative regulation of appetite by leptin-mediated signaling pathway	BP
1	4	8.42741761121	-	2.90e-03	GO:0045906	negative regulation of vasoconstriction	BP
1	4	8.42741761121	-	2.90e-03	GO:0051645	Golgi localization	BP
1	4	8.42741761121	-	2.90e-03	GO:0005329	dopamine transmembrane transporter activity	MF
1	5	8.10548951633	-	1.45e-03	GO:0043270	positive regulation of ion transport	BP
1	5	8.10548951633	-	2.90e-03	GO:0035630	bone mineralization involved in bone maturation	BP
1	5	8.10548951633	-	2.90e-03	GO:0030300	regulation of intestinal cholesterol absorption	BP
1	5	8.10548951633	-	3.63e-03	GO:0015697	quaternary ammonium group transport	BP
1	5	8.10548951633	-	3.63e-03	GO:0090335	regulation of brown fat cell differentiation	BP
1	5	8.10548951633	-	3.63e-03	GO:1900015	regulation of cytokine production involved in inflammatory response	BP
1	5	8.10548951633	-	3.63e-03	GO:0048639	positive regulation of developmental growth	BP
1	5	8.10548951633	-	3.63e-03	GO:0035174	histone serine kinase activity	MF
1	5	8.10548951633	-	3.63e-03	GO:0015651	quaternary ammonium group transmembrane transporter activity	MF
1	6	7.84245511049	-	3.63e-03	GO:0061037	negative regulation of cartilage development	BP
1	6	7.84245511049	-	3.63e-03	GO:0046850	regulation of bone remodeling	BP
1	6	7.84245511049	-	4.35e-03	GO:0060770	negative regulation of epithelial cell proliferation involved in prostate gland development	BP
1	6	7.84245511049	-	4.35e-03	GO:0045639	positive regulation of myeloid cell differentiation	BP
1	6	7.84245511049	-	4.35e-03	GO:0071470	cellular response to osmotic stress	BP
1	6	7.84245511049	-	4.35e-03	GO:0046881	positive regulation of follicle-stimulating hormone secretion	BP
1	6	7.84245511049	-	4.35e-03	GO:0033210	leptin-mediated signaling pathway	BP
1	6	7.84245511049	-	4.35e-03	GO:0030275	LRR domain binding	MF
2	13	7.72697789307	-	2.60e-05	GO:0046628	positive regulation of insulin receptor signaling pathway	BP
1	7	7.62006268915	-	4.35e-03	GO:0015872	dopamine transport	BP
1	7	7.62006268915	-	5.07e-03	GO:0050810	regulation of steroid biosynthetic process	BP
1	7	7.62006268915	-	5.07e-03	GO:0035360	positive regulation of peroxisome proliferator activated receptor signaling pathway	BP
1	7	7.62006268915	-	2.18e-03	GO:0015101	organic cation transmembrane transporter activity	MF
1	7	7.62006268915	-	5.07e-03	GO:0004679	AMP-activated protein kinase activity	MF
3	22	7.5529484933	-	2.24e-07	GO:0006855	drug transmembrane transport	BP
2	15	7.5205270156	-	1.33e-05	GO:0015695	organic cation transport	BP
1	8	7.42741761121	-	4.35e-03	GO:0006704	glucocorticoid biosynthetic process	BP
1	8	7.42741761121	-	5.07e-03	GO:0001542	ovulation from ovarian follicle	BP
1	8	7.42741761121	-	5.07e-03	GO:0045059	positive thymic T cell selection	BP
1	8	7.42741761121	-	5.80e-03	GO:0071493	cellular response to UV-B	BP
1	8	7.42741761121	-	5.80e-03	GO:0010888	negative regulation of lipid storage	BP
1	8	7.42741761121	-	5.80e-03	GO:0014909	smooth muscle cell migration	BP
1	9	7.25749260977	-	4.35e-03	GO:0051896	regulation of protein kinase B signaling	BP
1	9	7.25749260977	-	4.35e-03	GO:0042448	progesterone metabolic process	BP
1	9	7.25749260977	-	4.35e-03	GO:0032099	negative regulation of appetite	BP
1	9	7.25749260977	-	5.07e-03	GO:0010907	positive regulation of glucose metabolic process	BP
1	9	7.25749260977	-	5.80e-03	GO:0019953	sexual reproduction	BP
1	9	7.25749260977	-	5.80e-03	GO:0006111	regulation of gluconeogenesis	BP
1	9	7.25749260977	-	5.80e-03	GO:0097484	dendrite extension	BP
1	9	7.25749260977	-	6.52e-03	GO:0042304	regulation of fatty acid biosynthetic process	BP
1	9	7.25749260977	-	6.52e-03	GO:0032000	positive regulation of fatty acid beta-oxidation	BP
1	9	7.25749260977	-	3.63e-03	GO:0055056	D-glucose transmembrane transporter activity	MF
1	10	7.10548951633	-	4.35e-03	GO:0008343	adult feeding behavior	BP
1	10	7.10548951633	-	4.35e-03	GO:0002021	response to dietary excess	BP
1	10	7.10548951633	-	5.80e-03	GO:0046325	negative regulation of glucose import	BP
1	10	7.10548951633	-	5.80e-03	GO:0003300	cardiac muscle hypertrophy	BP
1	10	7.10548951633	-	7.24e-03	GO:0044320	cellular response to leptin stimulus	BP
1	10	7.10548951633	-	6.52e-03	GO:0051428	peptide hormone receptor binding	MF
1	11	6.96798599258	-	5.07e-03	GO:0006702	androgen biosynthetic process	BP
1	11	6.96798599258	-	5.80e-03	GO:0031639	plasminogen activation	BP
1	11	6.96798599258	-	7.24e-03	GO:0001944	vasculature development	BP
1	11	6.96798599258	-	7.24e-03	GO:0007260	tyrosine phosphorylation of STAT protein	BP
1	11	6.96798599258	-	7.24e-03	GO:0042445	hormone metabolic process	BP
1	11	6.96798599258	-	7.96e-03	GO:0043276	anoikis	BP
1	11	6.96798599258	-	7.96e-03	GO:0033197	response to vitamin E	BP
1	11	6.96798599258	-	7.96e-03	GO:0006853	carnitine shuttle	BP
1	11	6.96798599258	-	7.24e-03	GO:0005068	transmembrane receptor protein tyrosine kinase adaptor activity	MF
1	12	6.84245511049	-	3.63e-03	GO:0042446	hormone biosynthetic process	BP
1	12	6.84245511049	-	5.07e-03	GO:0046323	glucose import	BP
1	12	6.84245511049	-	7.24e-03	GO:0008206	bile acid metabolic process	BP
1	12	6.84245511049	-	7.96e-03	GO:0031669	cellular response to nutrient levels	BP
1	12	6.84245511049	-	7.96e-03	GO:2000505	regulation of energy homeostasis	BP
1	12	6.84245511049	-	8.68e-03	GO:0021954	central nervous system neuron development	BP
1	13	6.72697789307	-	6.52e-03	GO:0072488	ammonium transmembrane transport	BP
