# num of genes	num of total genes	Log of odds ratio	P-value	Adjusted p-value	GO term ID	GO term name	GO type
5	5	3.3218233202	-	9.94e-06	GO:1900015	regulation of cytokine production involved in inflammatory response	BP
5	5	3.3218233202	-	9.94e-06	GO:0071681	cellular response to indole-3-methanol	BP
4	4	3.3218233202	-	9.96e-05	GO:0035791	platelet-derived growth factor receptor-beta signaling pathway	BP
4	4	3.3218233202	-	9.96e-05	GO:0051098	regulation of binding	BP
3	3	3.3218233202	-	9.98e-04	GO:1903243	negative regulation of cardiac muscle hypertrophy in response to stress	BP
3	3	3.3218233202	-	9.98e-04	GO:0001827	inner cell mass cell fate commitment	BP
3	3	3.3218233202	-	9.98e-04	GO:0070141	response to UV-A	BP
3	3	3.3218233202	-	9.98e-04	GO:0006549	isoleucine metabolic process	BP
3	3	3.3218233202	-	9.98e-04	GO:0000255	allantoin metabolic process	BP
3	3	3.3218233202	-	9.98e-04	GO:0019724	B cell mediated immunity	BP
3	3	3.3218233202	-	9.98e-04	GO:0002902	regulation of B cell apoptotic process	BP
3	3	3.3218233202	-	9.98e-04	GO:0021781	glial cell fate commitment	BP
3	3	3.3218233202	-	9.98e-04	GO:1990785	response to water-immersion restraint stress	BP
3	3	3.3218233202	-	9.98e-04	GO:2000973	regulation of pro-B cell differentiation	BP
3	3	3.3218233202	-	9.98e-04	GO:1902174	positive regulation of keratinocyte apoptotic process	BP
3	3	3.3218233202	-	9.98e-04	GO:0007176	regulation of epidermal growth factor-activated receptor activity	BP
3	3	3.3218233202	-	9.98e-04	GO:0061198	fungiform papilla formation	BP
3	3	3.3218233202	-	9.98e-04	GO:0033003	regulation of mast cell activation	BP
3	3	3.3218233202	-	9.98e-04	GO:0042512	negative regulation of tyrosine phosphorylation of Stat1 protein	BP
3	3	3.3218233202	-	9.98e-04	GO:0030801	positive regulation of cyclic nucleotide metabolic process	BP
3	3	3.3218233202	-	9.98e-04	GO:0038145	macrophage colony-stimulating factor signaling pathway	BP
3	3	3.3218233202	-	9.98e-04	GO:0021697	cerebellar cortex formation	BP
3	3	3.3218233202	-	9.98e-04	GO:0031281	positive regulation of cyclase activity	BP
2	2	3.3218233202	-	9.99e-03	GO:0030832	regulation of actin filament length	BP
2	2	3.3218233202	-	9.99e-03	GO:0001865	NK T cell differentiation	BP
2	2	3.3218233202	-	9.99e-03	GO:0060667	branch elongation involved in salivary gland morphogenesis	BP
2	2	3.3218233202	-	9.99e-03	GO:0060661	submandibular salivary gland formation	BP
2	2	3.3218233202	-	9.99e-03	GO:0071221	cellular response to bacterial lipopeptide	BP
2	2	3.3218233202	-	9.99e-03	GO:0060595	fibroblast growth factor receptor signaling pathway involved in mammary gland specification	BP
