# num of genes	num of total genes	Log of odds ratio	P-value	Adjusted p-value	GO term ID	GO term name	GO type
3	3	6.09092468158	-	3.11e-06	GO:0030801	positive regulation of cyclic nucleotide metabolic process	BP
2	2	6.09092468158	-	2.14e-04	GO:0098868	bone growth	BP
2	2	6.09092468158	-	2.14e-04	GO:0090218	positive regulation of lipid kinase activity	BP
2	2	6.09092468158	-	2.14e-04	GO:0032615	interleukin-12 production	BP
2	2	6.09092468158	-	2.14e-04	GO:0005986	sucrose biosynthetic process	BP
1	1	6.09092468158	-	1.47e-02	GO:2000646	positive regulation of receptor catabolic process	BP
1	1	6.09092468158	-	1.47e-02	GO:0061582	intestinal epithelial cell migration	BP
1	1	6.09092468158	-	1.47e-02	GO:0032361	pyridoxal phosphate catabolic process	BP
1	1	6.09092468158	-	1.47e-02	GO:1904206	positive regulation of skeletal muscle hypertrophy	BP
1	1	6.09092468158	-	1.47e-02	GO:0010021	amylopectin biosynthetic process	BP
1	1	6.09092468158	-	1.47e-02	GO:0043610	regulation of carbohydrate utilization	BP
1	1	6.09092468158	-	1.47e-02	GO:0002840	regulation of T cell mediated immune response to tumor cell	BP
1	1	6.09092468158	-	1.47e-02	GO:0035711	T-helper 1 cell activation	BP
1	1	6.09092468158	-	1.47e-02	GO:2000486	negative regulation of glutamine transport	BP
1	1	6.09092468158	-	1.47e-02	GO:0051446	positive regulation of meiotic cell cycle	BP
1	1	6.09092468158	-	1.47e-02	GO:0043371	negative regulation of CD4-positive, alpha-beta T cell differentiation	BP
1	1	6.09092468158	-	1.47e-02	GO:0032072	regulation of restriction endodeoxyribonuclease activity	BP
1	1	6.09092468158	-	1.47e-02	GO:0000097	sulfur amino acid biosynthetic process	BP
1	1	6.09092468158	-	1.47e-02	GO:0033028	myeloid cell apoptotic process	BP
1	1	6.09092468158	-	1.47e-02	GO:1990774	tumor necrosis factor secretion	BP
1	1	6.09092468158	-	1.47e-02	GO:1904651	positive regulation of fat cell apoptotic process	BP
1	1	6.09092468158	-	1.47e-02	GO:0060709	glycogen cell differentiation involved in embryonic placenta development	BP
1	1	6.09092468158	-	1.47e-02	GO:0036399	TCR signalosome assembly	BP
1	1	6.09092468158	-	1.47e-02	GO:1905045	negative regulation of Schwann cell proliferation involved in axon regeneration	BP
1	1	6.09092468158	-	1.47e-02	GO:2000655	negative regulation of cellular response to testosterone stimulus	BP
1	1	6.09092468158	-	1.47e-02	GO:1903755	positive regulation of SUMO transferase activity	BP
1	1	6.09092468158	-	1.47e-02	GO:1904000	positive regulation of eating behavior	BP
1	1	6.09092468158	-	1.47e-02	GO:0032814	regulation of natural killer cell activation	BP
1	1	6.09092468158	-	1.47e-02	GO:1904213	negative regulation of iodide transmembrane transport	BP
1	1	6.09092468158	-	1.47e-02	GO:2000753	positive regulation of glucosylceramide catabolic process	BP
1	1	6.09092468158	-	1.47e-02	GO:2000755	positive regulation of sphingomyelin catabolic process	BP
1	1	6.09092468158	-	1.47e-02	GO:0048611	embryonic ectodermal digestive tract development	BP
1	1	6.09092468158	-	1.47e-02	GO:0060587	regulation of lipoprotein lipid oxidation	BP
1	1	6.09092468158	-	1.47e-02	GO:1990264	peptidyl-tyrosine dephosphorylation involved in inactivation of protein kinase activity	BP
1	1	6.09092468158	-	1.47e-02	GO:0046318	negative regulation of glucosylceramide biosynthetic process	BP
1	1	6.09092468158	-	1.47e-02	GO:1905208	negative regulation of cardiocyte differentiation	BP
1	1	6.09092468158	-	1.47e-02	GO:0003409	optic cup structural organization	BP
1	1	6.09092468158	-	1.47e-02	GO:1900163	positive regulation of phospholipid scramblase activity	BP
1	1	6.09092468158	-	1.47e-02	GO:0006343	establishment of chromatin silencing	BP
1	1	6.09092468158	-	1.47e-02	GO:0002316	follicular B cell differentiation	BP
1	1	6.09092468158	-	1.47e-02	GO:0035409	histone H3-Y41 phosphorylation	BP
1	1	6.09092468158	-	1.47e-02	GO:0072428	signal transduction involved in intra-S DNA damage checkpoint	BP
1	1	6.09092468158	-	1.47e-02	GO:1903926	cellular response to bisphenol A	BP
1	1	6.09092468158	-	1.47e-02	GO:0098968	neurotransmitter receptor transport postsynaptic membrane to endosome	BP
1	1	6.09092468158	-	1.47e-02	GO:1904197	positive regulation of granulosa cell proliferation	BP
1	1	6.09092468158	-	1.47e-02	GO:1904193	negative regulation of cholangiocyte apoptotic process	BP
1	1	6.09092468158	-	1.47e-02	GO:1904056	positive regulation of cholangiocyte proliferation	BP
1	1	6.09092468158	-	1.47e-02	GO:0051463	negative regulation of cortisol secretion	BP
1	1	6.09092468158	-	1.47e-02	GO:1901563	response to camptothecin	BP
1	1	6.09092468158	-	1.47e-02	GO:1901976	regulation of cell cycle checkpoint	BP
1	1	6.09092468158	-	1.47e-02	GO:0003311	pancreatic D cell differentiation	BP
1	1	6.09092468158	-	1.47e-02	GO:1904639	cellular response to resveratrol	BP
1	1	6.09092468158	-	1.47e-02	GO:1904635	positive regulation of glomerular visceral epithelial cell apoptotic process	BP
1	1	6.09092468158	-	1.47e-02	GO:0090104	pancreatic epsilon cell differentiation	BP
1	1	6.09092468158	-	1.47e-02	GO:2000118	regulation of sodium-dependent phosphate transport	BP
1	1	6.09092468158	-	1.47e-02	GO:2000808	negative regulation of synaptic vesicle clustering	BP
1	1	6.09092468158	-	1.47e-02	GO:0070512	positive regulation of histone H4-K20 methylation	BP
1	1	6.09092468158	-	1.47e-02	GO:0071441	negative regulation of histone H3-K14 acetylation	BP
1	1	6.09092468158	-	1.47e-02	GO:0071873	response to norepinephrine	BP
1	1	6.09092468158	-	1.47e-02	GO:0071250	cellular response to nitrite	BP
1	1	6.09092468158	-	1.47e-02	GO:0100002	negative regulation of protein kinase activity by protein phosphorylation	BP
1	1	6.09092468158	-	1.47e-02	GO:0031658	negative regulation of cyclin-dependent protein serine/threonine kinase activity involved in G1/S transition of mitotic cell cycle	BP
1	1	6.09092468158	-	1.47e-02	GO:0035491	positive regulation of leukotriene production involved in inflammatory response	BP
1	1	6.09092468158	-	1.47e-02	GO:0061044	negative regulation of vascular wound healing	BP
1	1	6.09092468158	-	1.47e-02	GO:0048241	epinephrine transport	BP
1	1	6.09092468158	-	1.47e-02	GO:0006043	glucosamine catabolic process	BP
1	1	6.09092468158	-	1.47e-02	GO:2000184	positive regulation of progesterone biosynthetic process	BP
1	1	6.09092468158	-	1.47e-02	GO:0051389	inactivation of MAPKK activity	BP
1	1	6.09092468158	-	1.47e-02	GO:0032535	regulation of cellular component size	BP
1	1	6.09092468158	-	1.47e-02	GO:0071298	cellular response to L-ascorbic acid	BP
1	1	6.09092468158	-	1.47e-02	GO:1901860	positive regulation of mitochondrial DNA metabolic process	BP
1	1	6.09092468158	-	1.47e-02	GO:1901863	positive regulation of muscle tissue development	BP
1	1	6.09092468158	-	1.47e-02	GO:1900148	negative regulation of Schwann cell migration	BP
3	3	6.09092468158	-	3.11e-06	GO:0031800	type 3 metabotropic glutamate receptor binding	MF
3	3	6.09092468158	-	3.11e-06	GO:0031997	N-terminal myristoylation domain binding	MF
2	2	6.09092468158	-	2.14e-04	GO:0047322	[hydroxymethylglutaryl-CoA reductase (NADPH)] kinase activity	MF
2	2	6.09092468158	-	2.14e-04	GO:0042132	fructose 1,6-bisphosphate 1-phosphatase activity	MF
2	2	6.09092468158	-	2.14e-04	GO:0050405	[acetyl-CoA carboxylase] kinase activity	MF
1	1	6.09092468158	-	1.47e-02	GO:0001093	TFIIB-class transcription factor binding	MF
1	1	6.09092468158	-	1.47e-02	GO:0001011	transcription factor activity, sequence-specific DNA binding, RNA polymerase recruiting	MF
1	1	6.09092468158	-	1.47e-02	GO:0035033	histone deacetylase regulator activity	MF
1	1	6.09092468158	-	1.47e-02	GO:0004508	steroid 17-alpha-monooxygenase activity	MF
1	1	6.09092468158	-	1.47e-02	GO:0002135	CTP binding	MF
1	1	6.09092468158	-	1.47e-02	GO:0001087	transcription factor activity, TFIIB-class binding	MF
1	1	6.09092468158	-	1.47e-02	GO:0050462	N-acetylneuraminate synthase activity	MF
1	1	6.09092468158	-	1.47e-02	GO:0047444	N-acylneuraminate-9-phosphate synthase activity	MF
1	1	6.09092468158	-	1.47e-02	GO:0047442	17-alpha-hydroxyprogesterone aldolase activity	MF
