# num of genes	num of total genes	Log of odds ratio	P-value	Adjusted p-value	GO term ID	GO term name	GO type
11	11	3.3218233202	-	9.65e-12	GO:0060968	regulation of gene silencing	BP
5	5	3.3218233202	-	9.94e-06	GO:0071681	cellular response to indole-3-methanol	BP
5	5	3.3218233202	-	9.94e-06	GO:0035519	protein K29-linked ubiquitination	BP
4	4	3.3218233202	-	9.96e-05	GO:0090400	stress-induced premature senescence	BP
4	4	3.3218233202	-	9.96e-05	GO:0030578	PML body organization	BP
4	4	3.3218233202	-	9.96e-05	GO:0042345	regulation of NF-kappaB import into nucleus	BP
4	4	3.3218233202	-	9.96e-05	GO:0097300	programmed necrotic cell death	BP
4	4	3.3218233202	-	9.96e-05	GO:1903377	negative regulation of oxidative stress-induced neuron intrinsic apoptotic signaling pathway	BP
4	4	3.3218233202	-	9.96e-05	GO:0018393	internal peptidyl-lysine acetylation	BP
4	4	3.3218233202	-	9.96e-05	GO:0051098	regulation of binding	BP
4	4	3.3218233202	-	9.96e-05	GO:0071218	cellular response to misfolded protein	BP
3	3	3.3218233202	-	9.98e-04	GO:0070562	regulation of vitamin D receptor signaling pathway	BP
3	3	3.3218233202	-	9.98e-04	GO:0090261	positive regulation of inclusion body assembly	BP
3	3	3.3218233202	-	9.98e-04	GO:1903202	negative regulation of oxidative stress-induced cell death	BP
3	3	3.3218233202	-	9.98e-04	GO:1905426	positive regulation of Wnt-mediated midbrain dopaminergic neuron differentiation	BP
3	3	3.3218233202	-	9.98e-04	GO:1902803	regulation of synaptic vesicle transport	BP
3	3	3.3218233202	-	9.98e-04	GO:0032202	telomere assembly	BP
3	3	3.3218233202	-	9.98e-04	GO:0060745	mammary gland branching involved in pregnancy	BP
3	3	3.3218233202	-	9.98e-04	GO:1990737	response to manganese-induced endoplasmic reticulum stress	BP
3	3	3.3218233202	-	9.98e-04	GO:0045604	regulation of epidermal cell differentiation	BP
3	3	3.3218233202	-	9.98e-04	GO:0010725	regulation of primitive erythrocyte differentiation	BP
3	3	3.3218233202	-	9.98e-04	GO:0090258	negative regulation of mitochondrial fission	BP
3	3	3.3218233202	-	9.98e-04	GO:0070141	response to UV-A	BP
3	3	3.3218233202	-	9.98e-04	GO:0003157	endocardium development	BP
3	3	3.3218233202	-	9.98e-04	GO:1903378	positive regulation of oxidative stress-induced neuron intrinsic apoptotic signaling pathway	BP
3	3	3.3218233202	-	9.98e-04	GO:0001922	B-1 B cell homeostasis	BP
3	3	3.3218233202	-	9.98e-04	GO:1903551	regulation of extracellular exosome assembly	BP
3	3	3.3218233202	-	9.98e-04	GO:0000819	sister chromatid segregation	BP
3	3	3.3218233202	-	9.98e-04	GO:0070424	regulation of nucleotide-binding oligomerization domain containing signaling pathway	BP
3	3	3.3218233202	-	9.98e-04	GO:0061198	fungiform papilla formation	BP
3	3	3.3218233202	-	9.98e-04	GO:2001141	regulation of RNA biosynthetic process	BP
3	3	3.3218233202	-	9.98e-04	GO:0030801	positive regulation of cyclic nucleotide metabolic process	BP
3	3	3.3218233202	-	9.98e-04	GO:0090063	positive regulation of microtubule nucleation	BP
