# num of genes	num of total genes	Log of odds ratio	P-value	Adjusted p-value	GO term ID	GO term name	GO type
3	3	6.64061170756	-	9.85e-07	GO:0045604	regulation of epidermal cell differentiation	BP
2	2	6.64061170756	-	9.97e-05	GO:0072709	cellular response to sorbitol	BP
1	1	6.64061170756	-	1.00e-02	GO:0061085	regulation of histone H3-K27 methylation	BP
1	1	6.64061170756	-	1.00e-02	GO:0070303	negative regulation of stress-activated protein kinase signaling cascade	BP
1	1	6.64061170756	-	1.00e-02	GO:1903788	positive regulation of glutathione biosynthetic process	BP
1	1	6.64061170756	-	1.00e-02	GO:0003138	primary heart field specification	BP
1	1	6.64061170756	-	1.00e-02	GO:1903944	negative regulation of hepatocyte apoptotic process	BP
1	1	6.64061170756	-	1.00e-02	GO:1900276	regulation of proteinase activated receptor activity	BP
1	1	6.64061170756	-	1.00e-02	GO:0000117	regulation of transcription involved in G2/M transition of mitotic cell cycle	BP
1	1	6.64061170756	-	1.00e-02	GO:0060709	glycogen cell differentiation involved in embryonic placenta development	BP
1	1	6.64061170756	-	1.00e-02	GO:0006948	induction by virus of host cell-cell fusion	BP
1	1	6.64061170756	-	1.00e-02	GO:0042431	indole metabolic process	BP
1	1	6.64061170756	-	1.00e-02	GO:1990442	intrinsic apoptotic signaling pathway in response to nitrosative stress	BP
1	1	6.64061170756	-	1.00e-02	GO:1905042	negative regulation of epithelium regeneration	BP
1	1	6.64061170756	-	1.00e-02	GO:0072432	response to G1 DNA damage checkpoint signaling	BP
1	1	6.64061170756	-	1.00e-02	GO:0051904	pigment granule transport	BP
1	1	6.64061170756	-	1.00e-02	GO:1900737	negative regulation of phospholipase C-activating G-protein coupled receptor signaling pathway	BP
1	1	6.64061170756	-	1.00e-02	GO:0052182	modification by host of symbiont morphology or physiology via secreted substance	BP
1	1	6.64061170756	-	1.00e-02	GO:0061026	cardiac muscle tissue regeneration	BP
1	1	6.64061170756	-	1.00e-02	GO:0070845	polyubiquitinated misfolded protein transport	BP
1	1	6.64061170756	-	1.00e-02	GO:1905208	negative regulation of cardiocyte differentiation	BP
1	1	6.64061170756	-	1.00e-02	GO:0090282	positive regulation of transcription involved in G2/M transition of mitotic cell cycle	BP
1	1	6.64061170756	-	1.00e-02	GO:2001031	positive regulation of cellular glucuronidation	BP
1	1	6.64061170756	-	1.00e-02	GO:2000120	positive regulation of sodium-dependent phosphate transport	BP
1	1	6.64061170756	-	1.00e-02	GO:0097473	retinal rod cell apoptotic process	BP
1	1	6.64061170756	-	1.00e-02	GO:0002572	pro-T cell differentiation	BP
1	1	6.64061170756	-	1.00e-02	GO:0019935	cyclic-nucleotide-mediated signaling	BP
1	1	6.64061170756	-	1.00e-02	GO:0099509	regulation of presynaptic cytosolic calcium ion concentration	BP
1	1	6.64061170756	-	1.00e-02	GO:2000703	negative regulation of fibroblast growth factor receptor signaling pathway involved in ureteric bud formation	BP
1	1	6.64061170756	-	1.00e-02	GO:0052213	interaction with symbiont via secreted substance involved in symbiotic interaction	BP
1	1	6.64061170756	-	1.00e-02	GO:0003185	sinoatrial valve morphogenesis	BP
1	1	6.64061170756	-	1.00e-02	GO:0046223	aflatoxin catabolic process	BP
1	1	6.64061170756	-	1.00e-02	GO:0001806	type IV hypersensitivity	BP
1	1	6.64061170756	-	1.00e-02	GO:1901976	regulation of cell cycle checkpoint	BP
1	1	6.64061170756	-	1.00e-02	GO:0045209	MAPK phosphatase export from nucleus, leptomycin B sensitive	BP
1	1	6.64061170756	-	1.00e-02	GO:1901684	arsenate ion transmembrane transport	BP
1	1	6.64061170756	-	1.00e-02	GO:0035967	cellular response to topologically incorrect protein	BP
1	1	6.64061170756	-	1.00e-02	GO:1903055	positive regulation of extracellular matrix organization	BP
1	1	6.64061170756	-	1.00e-02	GO:1901292	nucleoside phosphate catabolic process	BP
1	1	6.64061170756	-	1.00e-02	GO:1901128	gentamycin metabolic process	BP
1	1	6.64061170756	-	1.00e-02	GO:0071486	cellular response to high light intensity	BP
1	1	6.64061170756	-	1.00e-02	GO:0097403	cellular response to raffinose	BP
1	1	6.64061170756	-	1.00e-02	GO:1905341	negative regulation of protein localization to kinetochore	BP
1	1	6.64061170756	-	1.00e-02	GO:2000734	negative regulation of glial cell-derived neurotrophic factor receptor signaling pathway involved in ureteric bud formation	BP
1	1	6.64061170756	-	1.00e-02	GO:1902426	deactivation of mitotic spindle assembly checkpoint	BP
1	1	6.64061170756	-	1.00e-02	GO:0070846	Hsp90 deacetylation	BP
1	1	6.64061170756	-	1.00e-02	GO:0100002	negative regulation of protein kinase activity by protein phosphorylation	BP
1	1	6.64061170756	-	1.00e-02	GO:2000683	regulation of cellular response to X-ray	BP
1	1	6.64061170756	-	1.00e-02	GO:0072286	metanephric connecting tubule development	BP
1	1	6.64061170756	-	1.00e-02	GO:0035898	parathyroid hormone secretion	BP
1	1	6.64061170756	-	1.00e-02	GO:2000187	positive regulation of phosphate transmembrane transport	BP
1	1	6.64061170756	-	1.00e-02	GO:2000607	negative regulation of cell proliferation involved in mesonephros development	BP
1	1	6.64061170756	-	1.00e-02	GO:0014866	skeletal myofibril assembly	BP
1	1	6.64061170756	-	1.00e-02	GO:0008545	JUN kinase kinase activity	MF
1	1	6.64061170756	-	1.00e-02	GO:0042012	interleukin-16 receptor activity	MF
1	1	6.64061170756	-	1.00e-02	GO:0042011	interleukin-16 binding	MF
1	1	6.64061170756	-	1.00e-02	GO:1990439	MAP kinase serine/threonine phosphatase activity	MF
1	1	6.64061170756	-	1.00e-02	GO:0018423	protein C-terminal leucine carboxyl O-methyltransferase activity	MF
3	4	6.22557420828	-	3.91e-06	GO:0010499	proteasomal ubiquitin-independent protein catabolic process	BP
4	6	6.05564920684	-	1.43e-07	GO:0035897	proteolysis in other organism	BP
2	3	6.05564920684	-	2.97e-04	GO:0070141	response to UV-A	BP
2	3	6.05564920684	-	2.97e-04	GO:0050717	positive regulation of interleukin-1 alpha secretion	BP
2	3	6.05564920684	-	2.97e-04	GO:0039689	negative stranded viral RNA replication	BP
2	3	6.05564920684	-	2.97e-04	GO:0070458	cellular detoxification of nitrogen compound	BP
2	3	6.05564920684	-	2.97e-04	GO:0008330	protein tyrosine/threonine phosphatase activity	MF
2	3	6.05564920684	-	2.97e-04	GO:0004699	calcium-independent protein kinase C activity	MF
3	5	5.90364611339	-	9.71e-06	GO:0034349	glial cell apoptotic process	BP
6	10	5.90364611339	-	1.85e-10	GO:0097200	cysteine-type endopeptidase activity involved in execution phase of apoptosis	MF
3	5	5.90364611339	-	9.71e-06	GO:0030235	nitric-oxide synthase regulator activity	MF
2	4	5.64061170756	-	2.97e-04	GO:0061739	protein lipidation involved in autophagosome assembly	BP
