# num of genes	num of total genes	Log of odds ratio	P-value	Adjusted p-value	GO term ID	GO term name	GO type
1	1	10.4272080694	-	7.26e-04	GO:1903788	positive regulation of glutathione biosynthetic process	BP
1	1	10.4272080694	-	7.26e-04	GO:0070845	polyubiquitinated misfolded protein transport	BP
1	1	10.4272080694	-	7.26e-04	GO:0070846	Hsp90 deacetylation	BP
1	1	10.4272080694	-	7.26e-04	GO:0035967	cellular response to topologically incorrect protein	BP
2	4	9.42720806945	-	2.85e-06	GO:0010499	proteasomal ubiquitin-independent protein catabolic process	BP
1	2	9.42720806945	-	7.26e-04	GO:0014835	myoblast differentiation involved in skeletal muscle regeneration	BP
1	2	9.42720806945	-	1.45e-03	GO:0043241	protein complex disassembly	BP
1	2	9.42720806945	-	1.45e-03	GO:0043335	protein unfolding	BP
1	2	9.42720806945	-	1.45e-03	GO:0010727	negative regulation of hydrogen peroxide metabolic process	BP
1	2	9.42720806945	-	1.45e-03	GO:0090042	tubulin deacetylation	BP
1	2	9.42720806945	-	1.45e-03	GO:0060632	regulation of microtubule-based movement	BP
1	2	9.42720806945	-	1.45e-03	GO:0090035	positive regulation of chaperone-mediated protein complex assembly	BP
1	2	9.42720806945	-	7.26e-04	GO:0003955	NAD(P)H dehydrogenase (quinone) activity	MF
1	2	9.42720806945	-	1.45e-03	GO:0004667	prostaglandin-D synthase activity	MF
1	2	9.42720806945	-	1.45e-03	GO:0016005	phospholipase A2 activator activity	MF
1	2	9.42720806945	-	1.45e-03	GO:0042903	tubulin deacetylase activity	MF
1	3	8.84224556873	-	1.45e-03	GO:2000255	negative regulation of male germ cell proliferation	BP
1	3	8.84224556873	-	2.18e-03	GO:0045604	regulation of epidermal cell differentiation	BP
1	3	8.84224556873	-	2.18e-03	GO:1904753	negative regulation of vascular associated smooth muscle cell migration	BP
1	3	8.84224556873	-	2.18e-03	GO:0051788	response to misfolded protein	BP
1	3	8.84224556873	-	2.18e-03	GO:1902037	negative regulation of hematopoietic stem cell differentiation	BP
1	3	8.84224556873	-	2.18e-03	GO:2001184	positive regulation of interleukin-12 secretion	BP
1	3	8.84224556873	-	2.18e-03	GO:0061684	chaperone-mediated autophagy	BP
1	3	8.84224556873	-	2.18e-03	GO:0070458	cellular detoxification of nitrogen compound	BP
1	3	8.84224556873	-	2.18e-03	GO:0031281	positive regulation of cyclase activity	BP
1	3	8.84224556873	-	2.18e-03	GO:0018916	nitrobenzene metabolic process	BP
1	4	8.42720806945	-	2.90e-03	GO:0090400	stress-induced premature senescence	BP
1	4	8.42720806945	-	2.90e-03	GO:0043242	negative regulation of protein complex disassembly	BP
1	4	8.42720806945	-	2.90e-03	GO:1905323	telomerase holoenzyme complex assembly	BP
1	4	8.42720806945	-	2.90e-03	GO:1901300	positive regulation of hydrogen peroxide-mediated programmed cell death	BP
1	4	8.42720806945	-	2.90e-03	GO:0071218	cellular response to misfolded protein	BP
1	5	8.10527997456	-	3.63e-03	GO:0034349	glial cell apoptotic process	BP
1	5	8.10527997456	-	3.63e-03	GO:0061734	parkin-mediated stimulation of mitophagy in response to mitochondrial depolarization	BP
1	5	8.10527997456	-	3.63e-03	GO:0036091	positive regulation of transcription from RNA polymerase II promoter in response to oxidative stress	BP
1	5	8.10527997456	-	3.63e-03	GO:0070842	aggresome assembly	BP
1	5	8.10527997456	-	3.63e-03	GO:0051354	negative regulation of oxidoreductase activity	BP
1	5	8.10527997456	-	3.63e-03	GO:0070201	regulation of establishment of protein localization	BP
1	5	8.10527997456	-	3.63e-03	GO:0045040	protein import into mitochondrial outer membrane	BP
1	5	8.10527997456	-	3.63e-03	GO:1900015	regulation of cytokine production involved in inflammatory response	BP
1	5	8.10527997456	-	2.90e-03	GO:0097153	cysteine-type endopeptidase activity involved in apoptotic process	MF
1	5	8.10527997456	-	3.63e-03	GO:0051525	NFAT protein binding	MF
1	5	8.10527997456	-	3.63e-03	GO:0004784	superoxide dismutase activity	MF
1	5	8.10527997456	-	3.63e-03	GO:0030911	TPR domain binding	MF
1	6	7.84224556873	-	4.35e-03	GO:0036003	positive regulation of transcription from RNA polymerase II promoter in response to stress	BP
1	6	7.84224556873	-	4.35e-03	GO:0032025	response to cobalt ion	BP
1	6	7.84224556873	-	4.35e-03	GO:0048668	collateral sprouting	BP
1	6	7.84224556873	-	4.35e-03	GO:1990782	protein tyrosine kinase binding	MF
1	6	7.84224556873	-	4.35e-03	GO:0001221	transcription cofactor binding	MF
1	7	7.61985314739	-	3.63e-03	GO:0090336	positive regulation of brown fat cell differentiation	BP
1	7	7.61985314739	-	4.35e-03	GO:2000121	regulation of removal of superoxide radicals	BP
1	7	7.61985314739	-	4.35e-03	GO:0034983	peptidyl-lysine deacetylation	BP
1	7	7.61985314739	-	5.07e-03	GO:0071499	cellular response to laminar fluid shear stress	BP
1	7	7.61985314739	-	5.07e-03	GO:1903071	positive regulation of ER-associated ubiquitin-dependent protein catabolic process	BP
1	7	7.61985314739	-	5.07e-03	GO:0010870	positive regulation of receptor biosynthetic process	BP
1	7	7.61985314739	-	5.07e-03	GO:0042178	xenobiotic catabolic process	BP
1	7	7.61985314739	-	5.07e-03	GO:0038066	p38MAPK cascade	BP
1	7	7.61985314739	-	4.35e-03	GO:0004128	cytochrome-b5 reductase activity, acting on NAD(P)H	MF
3	22	7.55273895153	-	3.64e-07	GO:1901687	glutathione derivative biosynthetic process	BP
