#Gene with GO attribute	Gene weight
A1BG	2
A1CF	3
A2M	4
A2ML1	5
A4GALT	6
A4GNT	7
AAAS	8
AACS	9
AADAC	10
AADACL2	11
AADACL3	12
AADACL4	13
AADAT	14
AAGAB	15
AAK1	16
AAMDC	17
AAMP	18
AANAT	19
AARD	20
AARS	21
AARS2	22
AARSD1	23
AASDH	24
AASDHPPT	25
AASS	26
AATF	27
AATK	28
ABAT	29
ABCA1	30
ABCA10	31
ABCA12	32
ABCA13	33
ABCA2	34
ABCA3	35
ABCA4	36
ABCA5	37
ABCA6	38
ABCA7	39
ABCA8	40
ABCA9	41
ABCB1	42
ABCB10	43
ABCB11	44
ABCB4	45
ABCB5	46
ABCB6	47
ABCB7	48
ABCB8	49
ABCB9	50
ABCC1	51
ABCC10	52
ABCC11	1
ABCC12	2
ABCC2	3
ABCC3	4
ABCC4	5
ABCC5	6
ABCC6	7
ABCC8	8
ABCC9	9
ABCD1	10
ABCD2	11
ABCD3	12
ABCD4	13
ABCE1	14
ABCF1	15
ABCF2	16
ABCF3	17
ABCG1	18
ABCG2	19
ABCG4	20
ABCG5	21
ABCG8	22
ABHD1	23
ABHD10	24
ABHD11	25
ABHD12	26
ABHD12B	27
ABHD13	28
ABHD14A	29
ABHD14B	30
ABHD15	31
ABHD16A	32
ABHD16B	33
ABHD17A	34
ABHD17B	35
ABHD17C	36
ABHD2	37
ABHD3	38
ABHD4	39
ABHD5	40
ABHD6	41
ABHD8	42
ABI1	43
ABI2	44
ABI3	45
ABI3BP	46
ABL1	47
ABL2	48
ABLIM1	49
ABLIM2	50
ABLIM3	51
ABO	52
ABR	1
ABRA	2
ABT1	3
ABTB1	4
ABTB2	5
ACAA1	6
ACAA2	7
ACACA	8
ACACB	9
ACAD10	10
ACAD11	11
ACAD8	12
ACAD9	13
ACADL	14
ACADM	15
ACADS	16
ACADSB	17
ACADVL	18
ACAP1	19
ACAP2	20
ACAP3	21
ACAT1	22
ACAT2	23
ACBD3	24
ACBD4	25
ACBD5	26
ACBD6	27
ACBD7	28
ACCS	29
ACCSL	30
ACD	31
ACE	32
ACE2	33
ACER1	34
ACER2	35
ACER3	36
ACHE	37
ACIN1	38
ACKR2	39
ACKR3	40
ACKR4	41
ACLY	42
ACMSD	43
ACN9	44
ACO1	45
ACO2	46
ACOT1	47
ACOT11	48
ACOT12	49
ACOT13	50
ACOT2	51
ACOT4	52
ACOT6	1
ACOT7	1
ACOT8	1
ACOT9	1
ACOX1	1
ACOX2	1
ACOX3	1
ACOXL	1
ACP1	1
ACP2	1
ACP5	1
ACP6	1
ACPL2	1
ACPP	1
ACPT	1
ACR	1
ACRBP	1
ACRC	1
ACRV1	1
ACSBG1	1
ACSBG2	1
ACSF2	1
ACSF3	1
ACSL1	1
ACSL3	1
ACSL4	1
ACSL5	1
ACSL6	1
ACSM1	1
ACSM2A	1
ACSM2B	1
ACSM3	1
ACSM4	1
ACSM5	1
ACSS1	1
ACSS2	1
ACSS3	1
ACTA1	1
ACTA2	1
ACTB	1
ACTBL2	1
ACTC1	1
ACTG1	1
ACTG2	1
ACTL6A	1
ACTL6B	1
ACTL7A	1
ACTL7B	1
ACTL8	1
ACTL9	1
ACTN1	1
ACTN2	1
ACTN4	1
ACTR10	1
ACTR1A	1
ACTR1B	1
ACTR2	1
ACTR3	1
ACTR3B	1
ACTR3C	1
ACTR5	1
ACTR6	1
ACTR8	1
ACTRT1	1
ACTRT2	1
ACTRT3	1
ACVR1	1
ACVR1B	1
ACVR1C	1
ACVR2A	1
ACVR2B	1
ACVRL1	1
ACY1	1
ACY3	1
ACYP1	1
ACYP2	1
ADA	1
