#Id	Score
185	1.0
5368	0.903235
11255	0.781086
50632	0.781086
5149	0.499313
85406	0.474675
3357	0.41278
4295	0.348076
183	0.326809
157	0.298605
255061	0.244648
2916	0.240456
624	0.224607
885	0.207866
144125	0.203844
4991	0.203844
9737	0.200732
623	0.171966
9630	0.163053
2692	0.162014
6361	0.157986
2776	0.156965
4987	0.156794
57085	0.145835
137872	0.142776
9283	0.140235
2867	0.134886
51083	0.132339
7064	0.130619
134	0.130543
2701	0.127213
4922	0.126969
1907	0.124423
6866	0.123226
2864	0.122968
6003	0.122593
4142	0.121781
6870	0.120232
6865	0.120232
3990	0.120198
51738	0.119534
339403	0.116855
1908	0.116493
8811	0.115981
2796	0.115755
6863	0.11536
2862	0.115163
2028	0.114915
100	0.110969
56853	0.110733
23150	0.108709
255928	0.106982
59340	0.106214
10287	0.105986
5868	0.10582
8490	0.103375
5973	0.103077
4846	0.102275
6367	0.100643
1636	0.098891
1325	0.098862
858	0.098469
51251	0.097879
643	0.097002
7316	0.095734
6869	0.095382
55188	0.094315
2767	0.094026
6343	0.093647
5739	0.093566
1910	0.092784
59339	0.090554
5020	0.090523
7704	0.090487
186	0.09006
3265	0.089788
7187	0.089103
6348	0.08811
259249	0.087749
147	0.087321
2769	0.087019
1129	0.086785
6750	0.086587
4994	0.086498
156	0.085854
3717	0.085067
2869	0.084894
551	0.083587
5335	0.083542
8787	0.083441
1133	0.083123
7122	0.082453
53637	0.082285
408	0.082181
6295	0.081473
1394	0.081413
7253	0.081303
1233	0.080065
4886	0.079906
1906	0.079906
5894	0.079658
1909	0.079557
57146	0.078513
2775	0.078486
10399	0.078223
409	0.078016
9294	0.078005
2914	0.077969
3358	0.077271
6714	0.076868
2770	0.076343
8995	0.075737
81552	0.075655
6334	0.07521
10076	0.075062
2870	0.075031
79971	0.074809
1903	0.074714
4254	0.074525
160622	0.074394
152	0.074388
2922	0.074296
4985	0.074267
1956	0.074032
2868	0.074001
23236	0.073394
5999	0.073113
3356	0.072768
9595	0.072689
414062	0.072302
2912	0.07183
7200	0.071103
26034	0.070544
5330	0.070353
6004	0.070348
54331	0.070344
2037	0.070327
26958	0.070176
6001	0.070116
3779	0.069842
4060	0.069807
2778	0.0692
7350	0.068922
4988	0.068921
10636	0.068723
10672	0.068377
6360	0.067617
6915	0.06716
4706	0.067107
3816	0.067038
5122	0.066689
3827	0.066569
150	0.066116
259232	0.065963
84818	0.065742
9265	0.065483
134391	0.065442
2587	0.065442
64407	0.065384
